N,n,q,h,all,tune,hold,both
40,10,0.2,3,6.401296418800695,4.725337398526808,10.144450449481202,True
40,10,0.2,5,10.057606927543583,11.117458285183535,7.784395743887673,True
40,10,0.2,7,8.802311653297634,10.237403452426763,5.74139747522695,True
40,10,0.2,10,8.593572815746375,8.58323826594718,8.616081962958578,True
40,10,0.2,14,9.397079946291132,10.063649453443556,7.959413777983548,True
40,10,0.25,3,5.641945799088233,3.1069815238227605,11.3801156033974,True
40,10,0.25,5,9.93521589419375,11.726083203769132,6.13391107780108,True
40,10,0.25,7,9.627201811418074,10.963434242587788,6.772676650479181,True
40,10,0.25,10,8.404049544887693,7.880064941597542,9.553963568645818,True
40,10,0.25,14,9.744747203994542,10.091723277291976,8.99291002406497,True
40,10,0.3333333333333333,3,3.652449408433789,5.6374220558391475,-0.5421580080974042,False
40,10,0.3333333333333333,5,10.251407653854084,13.570915389820026,3.3543186038678563,True
40,10,0.3333333333333333,7,11.944702490841607,14.930971204290987,5.707191048801641,True
40,10,0.3333333333333333,10,10.724049250806234,12.363015623900209,7.237086709736973,True
40,10,0.3333333333333333,14,12.6918065012968,14.116634213461431,9.650185768615916,True
40,10,0.4,3,5.063588543437514,3.7801334493434924,7.9137801476167,True
40,10,0.4,5,9.637376854170654,11.373630755045316,5.949386351415131,True
40,10,0.4,7,12.327034306695595,13.66482215823186,9.467936744415706,True
40,10,0.4,10,11.158898030528874,11.21870411901118,11.028768437507107,True
40,10,0.4,14,14.200709041093141,13.884667436021193,14.89199676637969,True
40,15,0.2,3,12.605641575075177,15.59352680731898,6.363386890180611,True
40,15,0.2,5,11.605822367695628,15.302116506296004,3.961179836466311,True
40,15,0.2,7,11.31239655343499,14.424945506113819,4.823969204624645,True
40,15,0.2,10,10.58976480258471,12.294831271520646,6.965655649479707,True
40,15,0.2,14,10.344052430648354,11.498119610559087,7.871982302750147,True
40,15,0.25,3,9.178521423809372,9.9063042849737,7.610246740900961,True
40,15,0.25,5,12.58008141757645,15.897233776139274,5.681077171389415,True
40,15,0.25,7,12.614183017796442,15.47607229291148,6.624822674360886,True
40,15,0.25,10,11.131124120640635,12.504473405808003,8.198084569860796,True
40,15,0.25,14,9.98125211285965,11.146751589215409,7.485235713076976,True
40,15,0.3333333333333333,3,9.09098967377533,8.752930306722684,9.830828432009442,True
40,15,0.3333333333333333,5,14.414981950217909,18.09451348266402,6.793833642638103,True
40,15,0.3333333333333333,7,16.38258548534306,19.730763961706653,9.41160757993391,True
