ladder of 7 daily tranches, each held 7 days; flat outside BEAR regimes; 12bp round trip,
actual funding (exact window), +1bp/day rebalancing on the baskets. Returns on the WHOLE account.

=== alt index (top-40)
  rule                                 lag    CAGR  TUNE/yr  HOLD/yr    DD  worst wk  Sharpe  in mkt   by year %
  control: long every bear day           0   +0.2%    +2.1%    -4.0%   62%    -29.7%    0.21     32%   20:+38 21:-17 22:-37 23:+17 24:+37 25:-22 26:+12
  LONG breadth < 20% (fixed)             0  +17.7%   +22.7%    +7.6%   28%    -14.4%    0.69     23%   20:+10 21:+30 22:+29 23:+15 24:+17 25:-4 26:+21
  LONG breadth < 20% (fixed)             1  +18.1%   +24.1%    +6.1%   31%    -15.0%    0.72     23%   20:+11 21:+27 22:+32 23:+20 24:+19 25:-3 26:+17
  LONG bottom third (expanding)          0  +12.2%   +13.0%   +10.4%   16%     -5.6%    0.77     11%   20:+0 21:+24 22:+17 23:+17 24:+3 25:+16 26:+6
  LONG bottom third (expanding)          1  +13.0%   +14.9%    +8.9%   13%     -4.9%    0.86     11%   20:+0 21:+24 22:+25 23:+18 24:+1 25:+12 26:+7
  SHORT top third (expanding)            0  +12.0%   +11.9%   +12.2%   23%     -9.0%    0.82     17%   20:+0 21:+15 22:+57 23:-4 24:-9 25:+25 26:+7
  SHORT top third (expanding)            1  +12.3%   +13.8%    +8.9%   20%     -9.5%    0.84     17%   20:+0 21:+19 22:+61 23:-6 24:-6 25:+18 26:+7
  LONG low + SHORT high (expanding)      0  +25.8%   +26.7%   +24.0%   21%     -9.0%    1.15     25%   20:+0 21:+43 22:+84 23:+12 24:-7 25:+45 26:+13
  LONG low + SHORT high (expanding)      1  +27.0%   +31.0%   +18.7%   20%     -9.5%    1.24     25%   20:+0 21:+48 22:+103 23:+12 24:-5 25:+33 26:+14

=== top-10 basket
  rule                                 lag    CAGR  TUNE/yr  HOLD/yr    DD  worst wk  Sharpe  in mkt   by year %
  control: long every bear day           0   -3.8%    -8.0%    +6.1%   75%    -29.1%    0.11     32%   20:+40 21:-26 22:-56 23:+14 24:+34 25:-24 26:+44
  LONG breadth < 20% (fixed)             0  +13.2%   +15.7%    +8.0%   29%    -13.8%    0.57     23%   20:+10 21:+20 22:+11 23:+17 24:+13 25:-11 26:+31
  LONG breadth < 20% (fixed)             1  +13.2%   +15.9%    +7.5%   31%    -14.6%    0.58     23%   20:+11 21:+14 22:+13 23:+19 24:+13 25:-11 26:+30
  LONG bottom third (expanding)          0   +9.6%    +9.3%   +10.5%   23%     -9.0%    0.65     11%   20:+0 21:+22 22:+4 23:+16 24:+1 25:+11 26:+10
  LONG bottom third (expanding)          1  +10.2%   +10.3%    +9.9%   21%     -9.1%    0.71     11%   20:+0 21:+21 22:+11 23:+17 24:-1 25:+7 26:+14
  SHORT top third (expanding)            0  +14.5%   +18.3%    +6.6%   20%     -7.6%    0.98     17%   20:+0 21:+20 22:+91 23:-0 24:-9 25:+22 26:-3
  SHORT top third (expanding)            1  +13.5%   +18.8%    +2.9%   18%     -7.7%    0.92     17%   20:+0 21:+22 22:+92 23:-3 24:-7 25:+15 26:-5
  LONG low + SHORT high (expanding)      0  +25.8%   +29.6%   +18.0%   21%     -9.0%    1.19     25%   20:+0 21:+47 22:+100 23:+16 24:-8 25:+36 26:+7
  LONG low + SHORT high (expanding)      1  +25.4%   +31.3%   +13.4%   21%     -9.1%    1.20     25%   20:+0 21:+47 22:+114 23:+13 24:-8 25:+23 26:+9

=== BTC
  rule                                 lag    CAGR  TUNE/yr  HOLD/yr    DD  worst wk  Sharpe  in mkt   by year %
  control: long every bear day           0   +9.4%   +11.6%    +4.9%   42%    -22.6%    0.46     32%   20:+35 21:-2 22:-19 23:+20 24:+31 25:-7 26:+15
  LONG breadth < 20% (fixed)             0  +14.6%   +19.2%    +5.0%   25%    -13.2%    0.74     23%   20:+16 21:+19 22:+20 23:+17 24:+13 25:+1 26:+10
  LONG breadth < 20% (fixed)             1  +13.9%   +18.3%    +4.9%   21%     -9.9%    0.74     23%   20:+15 21:+16 22:+20 23:+18 24:+13 25:+1 26:+10
  LONG bottom third (expanding)          0   +9.0%   +10.5%    +5.7%   18%     -5.5%    0.73     11%   20:+0 21:+19 22:+11 23:+17 24:+2 25:+10 26:+2
  LONG bottom third (expanding)          1   +8.9%   +11.2%    +4.0%   18%     -4.4%    0.74     11%   20:+0 21:+18 22:+15 23:+17 24:+2 25:+8 26:+1
  SHORT top third (expanding)            0   +5.2%    +6.9%    +1.5%   22%     -7.3%    0.52     17%   20:+0 21:+11 22:+32 23:-3 24:-8 25:+11 26:-3
  SHORT top third (expanding)            1   +5.6%    +7.9%    +0.8%   24%     -7.5%    0.56     17%   20:+0 21:+12 22:+38 23:-5 24:-6 25:+6 26:-2
  LONG low + SHORT high (expanding)      0  +14.7%   +18.3%    +7.3%   15%     -7.3%    0.92     25%   20:+0 21:+31 22:+46 23:+13 24:-6 25:+22 26:-2
  LONG low + SHORT high (expanding)      1  +15.1%   +20.1%    +4.9%   15%     -7.5%    0.95     25%   20:+0 21:+31 22:+59 23:+11 24:-5 25:+15 26:-1

