Building funding + SPOT + PERP panels (cached after first run)...
  24 coins with all three series, 1092 settlements (2024-11-14 .. 2026-09-11)

  basis change per 8h: sd 4.93bp, 99th pct |x| 17.3bp
  (this is the ONLY price risk left; compare to funding of 2-50bp/8h)
  funding: mean +0.25bp/8h, 90th +1.0bp, 99th +3.5bp

  k   hold    minF   fee |         1st half |         2nd half |                       FULL
                         |     n    bp   ann% |     n    bp   ann% |    ann%  maxDD%   MAR   Sh
  1    24h      0b    12 |   181 -20.2  -39.2 |   181 -22.6  -32.1 |   -35.0    54.0 -0.65-58.62
  1    72h      0b    12 |    60 -16.2  -12.7 |    60 -22.5  -12.1 |   -11.5    19.9 -0.58-17.97
  1   168h      0b    12 |    25  -9.5   -3.5 |    25 -21.5   -5.3 |    -4.4     8.2 -0.54-3.71
  3    24h      0b    12 |   181 -20.8  -40.1 |   181 -22.6  -32.1 |   -35.4    54.5 -0.65-79.43
  3    72h      0b    12 |    60 -17.0  -13.3 |    60 -21.2  -11.5 |   -12.1    20.7 -0.58-21.36
  3   168h      0b    12 |    25  -9.1   -3.4 |    25 -20.0   -4.9 |    -4.1     7.9 -0.52-4.90
  5    24h      0b    12 |   181 -21.1  -40.4 |   181 -22.5  -32.0 |   -35.5    54.6 -0.65-88.95
  5    72h      0b    12 |    60 -16.9  -13.2 |    60 -21.3  -11.5 |   -12.0    20.6 -0.58-21.88
  5   168h      0b    12 |    25  -9.5   -3.5 |    25 -19.9   -4.9 |    -4.2     7.9 -0.53-5.36
  1    24h      0b     4 |   181  -4.2   -9.8 |   181  -6.6  -10.7 |   -10.3    18.2 -0.57-14.85
  1    72h      0b     4 |    60  -0.2   -0.2 |    60  -6.5   -3.6 |    -1.5     4.0 -0.36-2.15
  1   168h      0b     4 |    25  +6.5   +2.4 |    25  -5.5   -1.4 |    +0.2     1.8  0.10 0.15
  3    24h      0b     4 |   181  -4.8  -11.2 |   181  -6.6  -10.7 |   -10.9    19.0 -0.57-20.92
  3    72h      0b     4 |    60  -1.0   -0.8 |    60  -5.2   -3.0 |    -2.1     4.9 -0.43-3.50
  3   168h      0b     4 |    25  +6.9   +2.6 |    25  -4.0   -1.0 |    +0.5     1.4  0.33 0.54
  5    24h      0b     4 |   181  -5.1  -11.7 |   181  -6.5  -10.5 |   -11.0    19.0 -0.58-23.62
  5    72h      0b     4 |    60  -0.9   -0.7 |    60  -5.3   -3.0 |    -2.0     4.8 -0.42-3.49
  5   168h      0b     4 |    25  +6.5   +2.4 |    25  -3.9   -1.0 |    +0.4     1.2  0.34 0.54

nothing positive in BOTH halves.
