phase 0 done
phase 1 done
phase 2 done
phase 3 done

EXCESS over the same ordering's uniform-bet-size frontier, %/mo (haircut): mean +- se (wins/20); nan = drawdown outside the frontier's range
  config                            phase 0 TUNE                HOLD          phase 1 TUNE                HOLD          phase 2 TUNE                HOLD          phase 3 TUNE                HOLD   verdict
  anchor 14d                   +0.24+-0.04 (20)     +0.60+-0.03 (20)     +0.31+-0.03 (19)     +0.61+-0.02 (20)     +0.39+-0.04 (20)     +0.70+-0.05 (20)     +0.40+-0.02 (20)     +0.65+-0.03 (19)   PASS all 4 phases, both halves
  anchor 21d                   +0.22+-0.04 (19)     +0.73+-0.05 (20)     +0.31+-0.03 (19)     +0.72+-0.04 (20)     +0.57+-0.04 (20)     +0.76+-0.07 (20)     +0.48+-0.03 (20)     +0.73+-0.03 (19)   PASS all 4 phases, both halves
  anchor 30d                   +0.14+-0.05 (13)     +0.69+-0.06 (20)     +0.28+-0.05 (19)     +0.65+-0.07 (20)     +0.64+-0.05 (20)     +0.63+-0.08 (20)     +0.46+-0.03 (20)     +0.67+-0.03 (19)   PASS all 4 phases, both halves
  anchor 45d                   -0.06+-0.05 ( 8)     +0.82+-0.08 (20)     +0.13+-0.09 (10)     +0.65+-0.08 (20)     +0.48+-0.05 (19)     +0.56+-0.10 (19)     +0.32+-0.04 (19)     +0.69+-0.04 (19)   fails
  anchor 60d                   -0.16+-0.06 ( 4)     +0.89+-0.09 (20)     +0.07+-0.10 (10)     +0.59+-0.10 (19)     +0.39+-0.06 (18)     +0.47+-0.10 (19)     +0.26+-0.05 (19)     +0.65+-0.05 (19)   fails
  streak 1h N15 0.75 half      +0.64+-0.10 (18)     -0.11+-0.17 ( 9)     -0.07+-0.10 ( 8)     -1.09+-0.17 ( 2)     +0.07+-0.10 (12)     -1.52+-0.17 ( 1)     +0.66+-0.08 (19)     -0.93+-0.19 ( 5)   fails
  streak 1h N15 0.8 half       +0.64+-0.10 (18)     -0.11+-0.17 ( 9)     -0.07+-0.10 ( 8)     -1.09+-0.17 ( 2)     +0.07+-0.10 (12)     -1.52+-0.17 ( 1)     +0.66+-0.08 (19)     -0.93+-0.19 ( 5)   fails
  streak 1h N15 0.85 half      +0.16+-0.13 (13)     -0.88+-0.23 ( 4)     -0.47+-0.12 ( 5)     -1.87+-0.19 ( 0)     -0.34+-0.12 ( 4)     -2.18+-0.18 ( 0)     +0.31+-0.08 (17)     -1.74+-0.20 ( 1)   fails
  streak 1h N20 0.75 half      +0.52+-0.11 (18)     +0.64+-0.21 (13)     -0.02+-0.11 (12)     -0.39+-0.16 ( 5)     -0.07+-0.10 ( 9)     -1.05+-0.19 ( 2)     +0.52+-0.08 (18)     -0.64+-0.21 ( 5)   fails
  streak 1h N20 0.8 half       +0.48+-0.11 (17)     +0.30+-0.20 (12)     -0.26+-0.11 ( 8)     -0.77+-0.17 ( 4)     -0.05+-0.11 (10)     -1.39+-0.19 ( 2)     +0.55+-0.07 (19)     -0.93+-0.20 ( 4)   fails
  streak 1h N20 0.85 half      +0.73+-0.12 (19)     -1.02+-0.19 ( 1)     -0.06+-0.10 ( 7)     -1.59+-0.18 ( 1)     -0.06+-0.11 (10)     -1.89+-0.18 ( 0)     +0.80+-0.07 (20)     -1.58+-0.17 ( 0)   fails
  streak 1h N25 0.75 half      +0.85+-0.11 (19)     +0.12+-0.29 (11)     +0.23+-0.11 (16)     -0.70+-0.18 ( 3)     -0.05+-0.09 (11)     -1.13+-0.19 ( 2)     +0.79+-0.08 (20)     -0.77+-0.22 ( 5)   fails
  streak 1h N25 0.8 half       +0.55+-0.12 (18)     +0.09+-0.29 (11)     -0.09+-0.11 ( 7)     -0.75+-0.18 ( 3)     -0.29+-0.10 ( 5)     -1.18+-0.19 ( 2)     +0.63+-0.07 (19)     -0.82+-0.22 ( 5)   fails
  streak 1h N25 0.85 half      +0.17+-0.11 (12)     -1.31+-0.19 ( 1)     -0.50+-0.10 ( 4)     -2.08+-0.17 ( 0)     -0.87+-0.08 ( 0)     -2.39+-0.18 ( 0)     -0.23+-0.08 ( 4)     -2.01+-0.18 ( 0)   fails
  streak 1h N30 0.75 half      -0.02+-0.12 (11)     +0.08+-0.28 (11)     -0.61+-0.13 ( 3)     -0.90+-0.18 ( 3)     -0.62+-0.11 ( 2)     -1.14+-0.18 ( 2)     -0.08+-0.08 (11)     -0.86+-0.22 ( 5)   fails
  streak 1h N30 0.8 half       +0.71+-0.11 (19)     -0.04+-0.29 (10)     -0.06+-0.11 ( 8)     -1.11+-0.18 ( 3)     -0.25+-0.10 ( 5)     -1.53+-0.19 ( 2)     +0.65+-0.07 (19)     -1.14+-0.22 ( 2)   fails
  streak 1h N30 0.85 half      +0.09+-0.17 (12)     -1.02+-0.21 ( 2)     -0.39+-0.10 ( 3)     -2.01+-0.17 ( 1)     +0.03+-0.13 (12)     -2.28+-0.19 ( 0)     +0.76+-0.07 (20)     -1.89+-0.19 ( 0)   fails
