sym,cls,prior,first,t0,pair,short,btc,pl60,pl120,pl180
0GUSDT,NEW,0,2025-09-17,2025-09-24,0.42144725644363634,0.44263193575045123,-0.02118467930681491,0.08379013954581951,-0.2540921950540349,-0.14380110375971816
1000000BOBUSDT,NEW,0,2025-06-05,2025-06-12,-0.6035288801600457,-0.6026100799999999,-0.0009188001600458045,-0.4817242796261351,0.23208791281573654,0.2777291411529434
1000000MOGUSDT,OLD_OTHER,265,2024-11-07,2024-11-14,-0.3696190765980115,-0.46028373,0.09066465340198847,0.6686127028773625,0.2636200759679942,-0.4125761594184379
1000BONKUSDT,OLD_OTHER,323,2023-11-22,2023-11-29,-0.3811470923833704,-0.48866845999999997,0.10752136761662955,0.13757090112022033,0.3413179863169666,-0.45301694570563716
1000BTTCUSDT,NEW,0,2022-01-26,2022-02-02,0.20009705838499853,0.10703674391465678,0.09306031447034176,-0.10094646188405224,,
1000CATUSDT,OLD_OTHER,60,2024-10-21,2024-10-28,-0.20856644651446393,-0.48552291,0.27695646348553604,0.32733933388789777,0.23433592787356472,-0.27827125377346884
1000CHEEMSUSDT,NEW,0,2024-11-25,2024-12-02,-0.4776113334986888,-0.48895986999999974,0.011348536501310968,-0.5694657255195255,0.21681639829132185,0.11810228326570955
1000FLOKIUSDT,OLD_OTHER,597,2023-05-06,2023-05-13,0.38315560083605693,0.42254751492981013,-0.03939191409375323,0.1332743422414277,-0.051548091361765566,0.07474903320011651
1000LUNCUSDT,OLD_OTHER,106,2022-09-09,2022-09-16,-0.1295730068832892,-0.09151219573859232,-0.03806081114469688,0.12237198816916581,0.19279737256891794,0.3846656378096486
1000PEPEUSDT,NEW,0,2023-05-05,2023-05-12,-0.5145886376127375,-0.50600068,-0.008587957612737585,0.26899524964932464,0.03553791997829052,0.15071151820980333
1000RATSUSDT,NEW,0,2023-12-15,2023-12-22,0.2216190809683137,0.28981116828198855,-0.06819208731367485,-0.21245380930161226,0.2668095121154129,0.15393616948369482
1000SATSUSDT,NEW,0,2023-12-12,2023-12-19,0.12408818995112446,0.14024472960565043,-0.016156539654525976,-0.02425870435655758,0.32343389985996285,0.28716497045708633
1000SHIBUSDT,NEW,0,2021-05-10,2021-05-17,0.241631873748845,0.38559983408384046,-0.14396796033499545,0.3821438801517999,-0.5766445662301899,0.23861305669615185
1000WHYUSDT,OLD_OTHER,108,2024-11-25,2024-12-02,0.34267537471874493,0.3936788069656992,-0.05100343224695423,0.20504691175573797,0.45958820961471303,0.30591501529383486
1000XECUSDT,OLD_OTHER,77,2021-09-17,2021-09-24,0.5518227029195435,0.19921836590740905,0.35260433701213445,0.11405704921172674,0.13528688044815754,-0.34226635930263904
1000XUSDT,NEW,0,2024-11-13,2024-11-20,0.41643680417083095,0.37613494752805177,0.04030185664277919,0.611714805685553,-0.5100121184234112,0.3767624172923664
1INCHUSDT,NEW,0,2020-12-25,2021-01-01,-0.2727376962179982,-0.46756952999999996,0.19483183378200175,0.17048069084034886,-0.3916460589142381,0.12769491354699428
1MBABYDOGEUSDT,OLD_OTHER,1152,2024-09-16,2024-09-23,-0.5632972640475311,-0.5133675800000002,-0.04992968404753095,-0.3475793069868601,0.31093109903568494,0.03134140444243017
2ZUSDT,NEW,0,2025-10-02,2025-10-09,0.3909315118354179,0.556367150389623,-0.16543563855420512,-0.1794274334535536,0.11479515442375438,0.017767586969521895
42USDT,NEW,0,2025-10-27,2025-11-03,0.4082665449082552,0.5876560096475417,-0.17938946473928655,0.15363769200704247,0.10155792936266943,-0.007730348648948922
4USDT,NEW,0,2025-10-08,2025-10-15,0.6854965711864869,0.8079406023699032,-0.1224440311834163,0.017353069497531837,0.26745256993914485,-0.4686653441314007
A2ZUSDT,OLD_OTHER,1287,2025-07-30,2025-08-06,-0.47353904507262246,-0.5012954399999999,0.027756394927377498,0.3301789897774837,0.5383032477573287,0.10954823682091652
AAOIUSDT,NEW,0,2026-06-08,2026-06-15,0.2706539901640869,0.2863856550349055,-0.01573166487081858,0.3567509851913003,,
AAPLUSDT,NEW,0,2026-04-06,2026-04-13,0.014390704098187004,-0.12455748216582786,0.13894818626401487,-0.004271963989222969,0.18828929077614098,
AAVEUSDT,NEW,0,2020-10-16,2020-10-23,-0.3294176005562361,-0.5074051199999999,0.17798751944376384,0.5503465244820347,0.5566092475923601,-0.703046166036243
ACEUSDT,NEW,0,2023-12-18,2023-12-25,0.31842531444022115,0.40830646056032793,-0.08988114612010677,0.276544515987087,0.08252281729300046,0.23484689113417134
