Building funding + 8h price panels (cached after first run)...
  24 coins, 1092 8h settlements (2024-11-14 .. 2026-09-11)

signal     k  hold |               1st half |               2nd half | FULL
                   |     n  meanbp    CAGR% |     n  meanbp    CAGR% |  CAGR%   maxDD%   MAR  Sharpe
raw        2    8h |   544   -17.1    -72.7 |   544   -24.9    -72.5 |   -72.6    92.0  -0.79  -4.95
raw        2   24h |   181   -23.5    -46.0 |   181    -2.8     -8.5 |   -26.5    47.5  -0.56  -0.95
raw        2   72h |    60    -0.8     -4.5 |    60    -2.1     -3.8 |    +0.8    22.4   0.04   0.16
raw        3    8h |   544   -18.4    -74.9 |   544   -22.8    -69.1 |   -71.6    90.4  -0.79  -6.00
raw        3   24h |   181   -22.0    -43.1 |   181    -1.8     -4.9 |   -22.1    40.0  -0.55  -1.15
raw        3   72h |    60   -14.5    -13.6 |    60    -0.0     -2.4 |    -9.1    23.4  -0.39  -0.36
raw        5    8h |   544   -16.6    -70.9 |   544   -21.6    -67.1 |   -68.7    88.2  -0.78  -6.95
raw        5   24h |   181   -15.3    -32.2 |   181    -8.2    -14.2 |   -21.0    37.6  -0.56  -1.41
raw        5   72h |    60   -25.0    -20.3 |    60   -18.5    -11.2 |   -18.4    33.0  -0.56  -1.10
zscore     2    8h |   454   -23.7    -82.1 |   454   -22.6    -69.5 |   -75.2    91.3  -0.82  -4.76
zscore     2   24h |   151   -28.3    -50.4 |   151    -3.9    -10.7 |   -25.2    45.9  -0.55  -0.89
zscore     2   72h |    50   -45.6    -32.6 |    50   +11.6     +3.2 |   -22.3    36.5  -0.61  -1.09
zscore     3    8h |   454   -22.3    -80.0 |   454   -23.8    -70.5 |   -73.2    89.9  -0.81  -6.02
zscore     3   24h |   151   -29.2    -51.0 |   151   -12.7    -21.5 |   -32.2    48.9  -0.66  -1.74
zscore     3   72h |    50   -35.5    -26.1 |    50    +8.2     +2.8 |   -22.5    35.4  -0.64  -1.23
zscore     5    8h |   454   -20.7    -77.5 |   454   -22.3    -67.8 |   -71.2    88.3  -0.81  -7.85
zscore     5   24h |   151   -27.5    -48.7 |   151   -10.6    -17.8 |   -29.0    44.4  -0.65  -1.95
zscore     5   72h |    50   -48.0    -33.0 |    50    -8.1     -5.5 |   -20.8    33.1  -0.63  -1.43

Nothing positive in BOTH halves. Strategy rejected on first look.
