ASIAN-RANGE BREAKOUT at the London open, 15m bars 2022-2026, after spread. R per trade.
S1 stop at the other side of the range, S2 at its middle; X1 target 1R, X2 2R, X3 out at 20:00 UTC.
cell                   n   meanR      t  Holm p    TUNE    HOLD  win%    PF trades/yr  PASS?
EURUSD S1 X1         951  -0.054  -1.79   1.000  -0.046  -0.065    51  0.89       240  fail
EURUSD S1 X2         951  +0.001  +0.01   1.000  +0.013  -0.018    44  1.00       240  fail
EURUSD S1 X3         951  +0.000  +0.00   1.000  +0.017  -0.025    41  1.00       240  fail
EURUSD S2 X1         951  -0.213  -6.60   1.000  -0.235  -0.181    46  0.65       240  fail
EURUSD S2 X2         951  -0.181  -4.09   1.000  -0.196  -0.158    33  0.76       240  fail
EURUSD S2 X3         951  -0.153  -2.36   1.000  -0.180  -0.113    26  0.82       240  fail
GBPUSD S1 X1         960  -0.055  -1.85   1.000  -0.053  -0.059    50  0.88       242  fail
GBPUSD S1 X2         960  -0.007  -0.17   1.000  +0.004  -0.022    42  0.99       242  fail
GBPUSD S1 X3         960  +0.019  +0.39   1.000  +0.028  +0.005    41  1.03       242  fail
GBPUSD S2 X1         960  -0.193  -6.00   1.000  -0.187  -0.203    47  0.68       242  fail
GBPUSD S2 X2         960  -0.214  -4.93   1.000  -0.197  -0.239    32  0.72       242  fail
GBPUSD S2 X3         960  -0.100  -1.36   1.000  -0.076  -0.137    25  0.88       242  fail
USDJPY S1 X1         767  -0.003  -0.11   1.000  -0.008  +0.004    52  0.99       193  fail
USDJPY S1 X2         767  +0.037  +1.03   1.000  +0.043  +0.026    48  1.09       193  fail
USDJPY S1 X3         767  +0.062  +1.50   1.000  +0.050  +0.081    47  1.16       193  fail
USDJPY S2 X1         767  -0.131  -3.73   1.000  -0.152  -0.100    47  0.76       193  fail
USDJPY S2 X2         767  -0.042  -0.92   1.000  -0.057  -0.020    40  0.93       193  fail
USDJPY S2 X3         767  +0.053  +0.80   1.000  +0.040  +0.072    37  1.08       193  fail
XAUUSD S1 X1         857  +0.011  +0.38   1.000  -0.017  +0.053    51  1.03       205  fail
XAUUSD S1 X2         857  +0.001  +0.02   1.000  -0.039  +0.060    44  1.00       205  fail
XAUUSD S1 X3         857  +0.013  +0.31   1.000  -0.020  +0.063    43  1.03       205  fail
XAUUSD S2 X1         857  +0.001  +0.04   1.000  -0.019  +0.032    53  1.00       205  fail
XAUUSD S2 X2         857  -0.044  -0.97   1.000  -0.105  +0.046    37  0.93       205  fail
XAUUSD S2 X3         857  -0.045  -0.74   1.000  -0.135  +0.089    31  0.94       205  fail
