GRID BOT: unlevered return on ladder capital, simple (not compounded) sums
trend = tight book, entry-sized, raw monthly (5 orderings)

  coin       spacing  gate    ann %  maxDD %  mo up  Sharpe  corr w/ trend  in trend-down mo  by year (%)
  BTCUSDT       0.5%     -   -174.5     1180    20%   -1.67          -0.09           -14.12%  20:-332 21:-413 22:-170 23:-89 24:-101 25:-47 26:-20
  BTCUSDT       1.0%     -    -46.5      323    42%   -1.04          +0.06            -4.08%  20:-129 21:-114 22:-20 23:-7 24:-30 25:-8 26:-4
  BTCUSDT       1.0%    ER    -28.6      213    38%   -1.30          -0.05            -1.87%  20:-69 21:-91 22:+1 23:-14 24:-22 25:-9 26:+11
  BTCUSDT       2.0%     -    -14.7      123    53%   -0.44          +0.15            -2.12%  20:-66 21:-33 22:+30 23:-1 24:-1 25:-3 26:-25
  BTCUSDT       2.0%    ER    -11.8      114    52%   -0.66          +0.06            -1.24%  20:-29 21:-72 22:+6 23:-8 24:+2 25:+15 26:+6
  BTCUSDT       3.0%     -     +0.7      111    62%    0.02          +0.03            -2.33%  20:-99 21:+85 22:+34 23:-6 24:-45 25:+33 26:+2

  ETHUSDT       0.5%     -   -342.3     2301    10%   -1.95          -0.08           -22.96%  20:-583 21:-794 22:-404 23:-48 24:-168 25:-228 26:-75
  ETHUSDT       1.0%     -   -118.1      806    33%   -1.18          +0.01            -8.39%  20:-306 21:-294 22:-60 23:+11 24:-14 25:-134 26:+4
  ETHUSDT       1.0%    ER    -43.1      324    42%   -1.10          -0.23            -1.67%  20:-65 21:-176 22:-18 23:-8 24:-48 25:+27 26:-0
  ETHUSDT       2.0%     -    -63.4      434    48%   -0.82          +0.05            -5.29%  20:-176 21:-219 22:+10 23:+27 24:+10 25:-64 26:-14
  ETHUSDT       2.0%    ER     +6.3       58    60%    0.32          +0.02            -0.29%  20:+15 21:-31 22:-10 23:+0 24:+23 25:+31 26:+14
  ETHUSDT       3.0%     -    -43.6      294    46%   -0.89          +0.19            -4.82%  20:-151 21:-72 22:-27 23:+1 24:+22 25:-21 26:-45

  SOLUSDT       0.5%     -   -868.5     5193     4%   -2.56          -0.16           -40.52%  20:-515 21:-2138 22:-1180 23:-459 24:-430 25:-371 26:-133
  SOLUSDT       1.0%     -   -273.8     1639    25%   -1.79          -0.08            -8.24%  20:-138 21:-821 22:-381 23:-129 24:-59 25:-102 26:-17
  SOLUSDT       1.0%    ER   -173.6     1063    34%   -1.49          -0.14            -5.90%  20:-81 21:-675 22:-150 23:-31 24:-50 25:-60 26:+2
  SOLUSDT       2.0%     -   -108.0      654    38%   -1.34          +0.03            -5.56%  20:-62 21:-257 22:-184 23:-49 24:-35 25:-58 26:-5
  SOLUSDT       2.0%    ER    -65.5      463    40%   -1.18          -0.16            -4.79%  20:+39 21:-245 22:-80 23:-34 24:-30 25:-41 26:-3
  SOLUSDT       3.0%     -    -27.8      251    51%   -0.52          +0.08            -0.07%  20:-26 21:-72 22:-4 23:-115 24:-0 25:+37 26:+13

  XRPUSDT       0.5%     -   -664.6     4454     5%   -2.18          -0.23           -29.91%  20:-957 21:-1797 22:-403 23:-249 24:-518 25:-396 26:-139
  XRPUSDT       1.0%     -   -251.0     1689    23%   -1.89          -0.20            -7.83%  20:-428 21:-701 22:-152 23:-93 24:-139 25:-123 26:-47
  XRPUSDT       1.0%    ER   -104.4      715    27%   -1.53          -0.07            -5.03%  20:-121 21:-390 22:-30 23:-13 24:-56 25:-64 26:-26
  XRPUSDT       2.0%     -    -75.4      542    49%   -1.17          -0.13            -0.41%  20:-180 21:-205 22:-2 23:-46 24:-7 25:-74 26:+9
  XRPUSDT       2.0%    ER    -12.2      151    56%   -0.38          -0.02            -0.15%  20:+24 21:-108 22:+16 23:+23 24:-5 25:-40 26:+8
  XRPUSDT       3.0%     -    -24.8      186    62%   -0.43          -0.16            -0.06%  20:-53 21:-89 22:+49 23:+3 24:-58 25:-18 26:-0

  DOGEUSDT      0.5%     -  -1039.6     6425     4%   -1.58          -0.31           -33.91%  20:-245 21:-3801 22:-734 23:-280 24:-756 25:-506 26:-122
  DOGEUSDT      1.0%     -   -413.3     2611    27%   -1.17          -0.29           -10.23%  20:-45 21:-1789 22:-243 23:-38 24:-209 25:-252 26:+15
  DOGEUSDT      1.0%    ER   -195.2     1231    27%   -1.28          -0.31            -4.79%  20:-40 21:-858 22:-51 23:-30 24:-154 25:-83 26:+6
  DOGEUSDT      2.0%     -   -156.8     1015    41%   -0.87          -0.30            -2.36%  20:+4 21:-735 22:+5 23:+10 24:-119 25:-146 26:+9
  DOGEUSDT      2.0%    ER    -50.8      343    45%   -0.94          -0.05            -1.17%  20:-43 21:-219 22:-34 23:+25 24:-42 25:-7 26:+5
  DOGEUSDT      3.0%     -    -82.5      571    51%   -0.77          -0.22            -1.96%  20:+35 21:-360 22:-18 23:+2 24:-56 25:-132 26:+18

