clean,before 60s ticks,before 60s range,before 60s |move|,after 0-60s ticks,after 0-60s range,after 0-60s |move|,after 60-180s ticks,after 60-180s range,after 60-180s |move|,after 0-300s ticks,after 0-300s range,after 0-300s |move|
False,0.15,0.3,0.4,0.05,0.2,0.1,0.0,0.0,0.1,0.0,0.2,0.2
False,0.1,0.1,0.55,0.05,0.3,0.45,0.25,0.35,0.15,0.15,0.1,0.0
False,0.4,0.3,0.45,0.2,0.6,0.4,0.15,0.0,0.1,0.2,0.15,0.05
False,0.1,0.0,0.05,0.3,0.3,0.4,0.1,0.1,0.0,0.55,0.3,0.55
False,0.7,0.6,0.7,0.75,0.9,0.9,0.9,1.0,1.0,1.0,0.95,0.95
False,0.1,0.05,0.35,0.25,0.2,0.6,0.45,0.3,0.6,0.2,0.0,0.25
False,0.55,0.7,0.85,0.55,0.45,0.0,0.5,0.55,0.5,0.65,0.35,0.1
False,0.5,0.55,0.65,0.4,0.15,0.2,0.25,0.0,0.3,0.3,0.15,0.45
False,0.95,0.9,1.0,0.95,1.0,1.0,0.95,0.85,0.9,0.95,0.75,0.15
False,0.9,0.95,0.25,0.9,0.9,0.95,0.85,0.65,0.7,0.95,0.8,0.65
False,0.45,0.35,0.1,0.3,0.35,0.6,0.35,0.45,0.3,0.45,0.35,0.05
False,0.5,0.45,0.35,0.45,0.6,0.85,0.3,0.45,0.65,0.35,0.3,0.15
False,0.5,0.35,0.55,0.35,0.3,0.35,0.4,0.55,0.65,0.6,0.55,0.55
False,0.05,0.15,0.35,0.0,0.0,0.25,0.0,0.05,0.05,0.0,0.0,0.0
False,0.45,0.5,0.2,0.5,0.45,0.45,0.5,0.3,0.3,0.2,0.1,0.25
False,0.2,0.35,0.6,0.3,0.65,0.9,0.3,0.45,0.65,0.1,0.0,0.15
False,0.9,0.95,0.95,1.0,1.0,1.0,0.95,0.9,0.8,1.0,0.8,0.7
False,0.9,0.85,0.4,0.6,0.4,0.45,0.8,0.4,0.0,0.8,0.35,0.55
False,0.55,0.5,0.35,0.5,0.65,0.5,0.3,0.35,0.55,0.5,0.65,0.35
False,1.0,1.0,1.0,1.0,0.95,0.9,1.0,0.8,0.55,0.95,0.8,0.8
True,0.85,0.8,0.7,0.9,1.0,1.0,0.85,0.5,0.0,0.95,0.85,0.5
True,0.8,1.0,0.95,0.95,0.7,0.25,0.85,0.85,0.8,0.9,0.65,0.3
True,0.65,0.85,0.95,0.4,0.3,0.5,0.4,0.15,0.25,0.55,0.45,0.55
True,0.55,0.5,0.65,0.35,0.0,0.35,0.5,0.85,0.85,0.2,0.15,0.25
True,0.4,0.25,0.55,0.45,0.5,0.45,0.45,0.55,0.65,0.4,0.45,0.7
True,0.1,0.15,0.55,0.15,0.45,0.85,0.1,0.2,0.55,0.0,0.35,0.4
True,0.6,0.6,0.35,0.3,0.05,0.05,0.3,0.45,0.55,0.35,0.2,0.0
True,0.45,0.4,0.35,0.5,0.85,0.55,0.3,0.1,0.45,0.25,0.15,0.2
True,0.7,0.95,0.95,0.75,0.3,0.5,0.55,0.5,0.5,0.65,0.7,0.6
True,0.7,0.4,0.25,0.5,0.6,0.6,0.65,0.9,0.9,0.5,0.6,0.45
True,0.65,0.75,0.9,0.75,0.8,0.8,0.6,0.8,0.8,0.7,0.65,0.65
True,0.4,0.35,0.4,0.3,0.4,0.8,0.45,0.65,0.65,0.35,0.2,0.35
True,0.35,0.2,0.25,0.55,0.75,0.6,0.5,0.7,0.45,0.45,0.35,0.2
True,0.2,0.65,0.85,0.05,0.2,0.45,0.0,0.5,0.35,0.15,0.6,0.7
True,0.2,0.35,0.3,0.05,0.4,0.2,0.1,0.25,0.25,0.15,0.15,0.1
True,0.7,0.9,0.9,0.65,0.8,0.85,0.85,0.65,0.15,0.65,0.6,0.55
True,0.45,0.75,0.85,0.35,0.45,0.5,0.55,0.55,0.85,0.65,0.45,0.15
True,0.4,0.6,0.55,0.4,0.55,0.7,0.4,0.65,0.7,0.35,0.3,0.35
True,0.0,0.2,0.35,0.45,0.75,0.9,0.55,0.75,0.85,0.5,0.6,0.85
True,0.85,0.4,0.4,0.45,0.2,0.3,0.7,0.35,0.45,0.7,0.3,0.3
True,0.55,0.65,0.6,0.45,0.3,0.5,0.55,0.1,0.2,0.55,0.15,0.25
True,0.2,0.0,0.1,0.85,1.0,0.95,0.75,0.5,0.4,0.7,0.55,0.6
True,0.5,0.3,0.1,0.4,0.7,0.3,0.35,0.35,0.65,0.4,0.15,0.05
True,0.4,0.05,0.35,0.45,0.6,0.7,0.55,0.15,0.2,0.6,0.25,0.5
True,0.65,0.75,0.75,0.7,0.6,0.25,0.6,0.8,0.6,0.7,0.45,0.25
True,0.7,0.05,0.0,0.35,0.4,0.05,0.65,0.25,0.0,0.8,0.45,0.8
