f_move,f_eff,f_dip,f_retr,f_last5,f_quiet,f_step,f_upstep,f_fresh,c_wick,c_body,lvl25,rate30
0.4625,0.5,0.25,0.625,0.075,0.825,0.6375,0.625,0.1375,0.6,0.65,0.825,0.825
0.8,0.85,1.0,0.7625,0.975,0.9875,1.0,0.9,0.025,0.6,0.9625,0.15,0.9875
0.525,0.5,0.4625,0.06578947368421052,0.15,0.7875,0.2625,0.7125,0.625,0.8875,0.6875,0.2625,0.7875
0.35,0.375,0.075,0.8051948051948052,0.05,0.275,0.2875,0.55,0.4375,0.6875,0.8375,0.525,0.275
0.3375,0.325,0.1625,0.8354430379746836,0.2625,0.9,0.95,0.025,0.7375,0.33125,0.10625000000000001,0.6875,0.9
0.4875,0.475,0.65,0.6282051282051282,0.5375,0.1125,0.25,0.125,0.825,1.0,0.4875,0.375,0.1125
0.95,0.9125,0.0,0.6842105263157895,0.0125,0.9375,0.8,0.8875,0.1875,0.70625,0.93125,0.525,0.9375
0.45,0.45,0.1375,,0.9375,0.7375,0.9875,0.0875,0.0875,0.06875,0.7375,0.7625,0.7375
0.1625,0.1875,0.025,0.7,0.075,0.7,0.35,0.625,0.6875,0.00625,0.05625,0.2125,0.7
0.075,0.1125,0.675,0.02564102564102564,0.125,0.1125,0.1125,0.2625,0.5875,0.49374999999999997,0.6437499999999999,0.2625,0.1125
0.825,0.775,0.15,0.2375,0.9125,0.025,0.725,0.8875,0.575,0.8,0.325,0.9,0.025
0.675,0.625,0.275,0.4050632911392405,0.38125,0.075,0.1125,0.7375,0.675,0.675,0.2125,0.6375,0.075
0.65,0.6125,0.4625,0.125,0.0625,0.15,0.625,0.525,0.825,0.75,0.675,0.1375,0.15
0.7875,0.8,0.1625,0.2911392405063291,0.0,0.8125,0.3,0.8625,0.4875,0.8125,0.5125,0.65,0.8125
0.2,0.2,0.0875,0.8607594936708861,0.5,0.825,0.6875,0.65,0.6,0.475,0.1375,0.0875,0.825
0.35,0.35,0.28125,0.5897435897435898,0.04375,0.4,0.4,0.0875,0.625,0.7875,0.2875,0.675,0.4
0.4,0.4375,0.25625,0.8205128205128205,0.25625,0.5875,0.8,0.3875,0.4875,0.975,0.375,0.25625,0.5875
0.1625,0.1875,0.8624999999999999,0.9090909090909091,0.38125000000000003,0.7625,0.375,0.0875,0.95,0.325,0.8375,0.075,0.7625
0.725,0.7125,0.8125,0.8896103896103895,0.6,0.9875,0.2125,0.0875,0.525,0.34375,0.75625,0.06875,0.9875
0.025,0.0,0.3375,0.20512820512820512,0.8812500000000001,0.2375,0.8875,0.1375,0.975,0.7124999999999999,0.075,0.86875,0.2375
0.7625,0.775,0.3875,0.14864864864864866,0.375,0.1875,0.6375,0.275,0.2375,0.9874999999999999,0.5499999999999999,0.71875,0.1875
0.6749999999999999,0.7,0.06875,0.8076923076923077,0.425,0.2875,0.125,0.85,0.6375,0.125,0.3125,0.375,0.2875
0.375,0.4125,0.6687500000000001,0.5769230769230769,0.625,0.8375,0.9,0.1625,0.525,0.95,0.39375,0.575,0.8375
0.5625,0.525,0.69375,0.6075949367088608,0.33125,0.5625,1.0,0.6625,0.9375,0.925,0.29374999999999996,0.625,0.5625
0.90625,0.9125,0.40625,0.006756756756756757,0.2125,0.5875,0.675,0.375,0.4875,0.50625,0.4625,0.7562500000000001,0.5875
