f_move,f_eff,f_dip,f_retr,f_last5,f_quiet,f_step,f_upstep,f_fresh
0.5,0.55,0.3,0.5,0.1,0.3,0.55,0.8,0.2
0.9,0.65,1.0,0.8947368421052632,1.0,0.95,0.95,0.9,0.0
0.75,0.75,0.65,0.05263157894736842,0.25,0.8,0.2,0.85,0.4
0.25,0.1,0.1,0.9444444444444444,0.05,0.5,0.2,0.65,0.5
0.4,0.25,0.3,0.8,0.25,0.85,1.0,0.0,0.9
0.65,0.85,0.8,0.8421052631578947,0.65,0.25,0.15,0.15,0.8
0.9,0.95,0.05,0.5263157894736842,0.0,0.95,0.85,0.85,0.2
0.4,0.35,0.15,,0.85,0.65,1.0,0.25,0.3
0.05,0.05,0.0,0.7,0.1,0.8,0.35,0.6,0.9
0.0,0.0,0.55,0.05,0.0,0.4,0.2,0.5,0.55
1.0,0.8,0.1,0.45,0.9,0.2,0.75,0.7,0.4
0.6,0.65,0.1,0.4444444444444444,0.15,0.05,0.2,0.35,0.8
0.85,0.85,0.7,0.05,0.2,0.2,0.6,0.5,0.6
0.9,0.95,0.2,0.42105263157894735,0.0,0.75,0.05,0.95,0.25
0.35,0.6,0.0,0.85,0.7,0.85,0.7,0.55,0.65
0.45,0.5,0.15,0.4,0.0,0.35,0.6,0.55,0.55
0.3,0.35,0.15,0.7,0.25,0.65,0.85,0.35,0.35
0.25,0.15,0.85,0.5,0.3,0.6,0.15,0.15,0.9
0.6,0.55,0.65,0.85,0.6,0.95,0.5,0.45,0.65
0.4,0.45,0.45,0.15,0.8,0.15,0.75,0.45,0.85
0.7,0.65,0.4,0.5263157894736842,0.45,0.0,0.5,0.35,0.25
0.65,0.6,0.2,0.7894736842105263,0.525,0.4,0.4,0.85,0.45
0.7,0.7,0.65,0.6842105263157895,0.65,0.2,0.65,0.45,0.3
0.4,0.45,0.75,0.5555555555555556,0.5,0.85,0.9,0.6,0.95
0.95,0.65,0.65,0.0,0.35,0.45,0.65,0.55,0.15
