o,side,pts,mv,diff,mfe,mae,b_open,b_close,hold,net,contract,day
2026-01-02 13:51:10,SELL,38.25,2.900000000001455,35.349999999998545,5.740000000005239,-4.32999999999447,266.3799999999974,231.02999999999884,280.0,38.25,NASDAQ Mar,2026-01-02
2026-01-06 14:33:13,SELL,4.75,3.0899999999965075,1.6600000000034925,27.9800000000032,-16.849999999998545,264.1800000000003,262.5199999999968,183.0,4.75,NASDAQ Mar,2026-01-06
2026-01-16 14:45:05,SELL,7.0,5.599999999998545,1.4000000000014552,5.720000000001164,-4.680000000000291,-66.54000000000087,-67.94000000000233,26.0,14.0,NASDAQ Mar,2026-01-16
2026-01-19 13:54:21,BUY,48.0,-16.270000000004075,64.27000000000407,19.94000000000233,-20.5,82.20999999999913,146.4800000000032,776.0,48.0,NASDAQ Mar,2026-01-19
2026-01-21 13:52:45,BUY,13.75,6.220000000001164,7.529999999998836,7.200000000004366,-2.6699999999982538,315.6900000000023,323.22000000000116,41.0,41.25,NASDAQ Mar,2026-01-21
2026-01-26 14:19:54,BUY,5.0,-6.019999999996799,11.019999999996799,0.4900000000052387,-6.369999999995343,259.8000000000029,270.8199999999997,57.0,10.0,NASDAQ Mar,2026-01-26
2026-02-04 12:54:41,BUY,-7.5,-1.1000000000058208,-6.399999999994179,0.569999999999709,-2.180000000000291,47.30999999999767,40.91000000000349,10.0,-24.0,NASDAQ Mar,2026-02-04
2026-02-11 14:14:14,BUY,14.0,-1.5499999999992724,15.549999999999272,-0.00999999999839929,-3.2999999999956344,-192.09999999999854,-176.54999999999927,20.0,40.5,NASDAQ Mar,2026-02-11
2026-02-17 17:58:50,SELL,7.25,11.490000000005239,-4.240000000005239,11.62000000000262,-0.2900000000008731,228.66999999999825,232.9100000000035,12.0,33.75,NASDAQ Mar,2026-02-17
2026-02-17 17:59:11,SELL,4.5,-10.0,14.5,-0.31000000000494765,-18.9800000000032,224.51000000000204,210.01000000000204,19.0,20.0,NASDAQ Mar,2026-02-17
2026-02-20 14:01:48,BUY,1.25,-0.47999999999592546,1.7299999999959255,1.9600000000027649,-1.7299999999959255,348.01000000000204,349.73999999999796,18.0,3.75,NASDAQ Mar,2026-02-20
2026-02-20 14:02:15,SELL,19.5,-1.860000000000582,21.360000000000582,0.5900000000037835,-3.209999999999127,350.91999999999825,329.5599999999977,15.0,95.0,NASDAQ Mar,2026-02-20
2026-02-24 12:32:10,SELL,7.0,-5.049999999995634,12.049999999995634,0.2400000000016007,-5.049999999995634,70.23999999999796,58.19000000000233,22.0,45.5,NASDAQ Mar,2026-02-24
2026-02-25 17:51:18,BUY,3.0,5.639999999999418,-2.639999999999418,7.18999999999869,-6.259999999998399,37.340000000000146,34.70000000000073,586.0,12.5,NASDAQ Mar,2026-02-25
2026-02-27 18:15:09,BUY,3.5,-5.450000000004366,8.950000000004366,6.489999999997963,-7.060000000004948,28.30999999999767,37.26000000000204,143.0,9.0,NASDAQ Mar,2026-02-27
2026-03-02 18:02:40,BUY,5.25,-11.38999999999578,16.63999999999578,2.2400000000052387,-14.89999999999418,-69.83999999999651,-53.20000000000073,82.0,23.75,NASDAQ Mar,2026-03-02
2026-03-03 20:02:10,SELL,8.0,4.150000000001455,3.849999999998545,9.580000000001746,-1.2399999999979627,-43.87000000000262,-47.720000000001164,19.0,37.5,NASDAQ Mar,2026-03-03
2026-03-06 10:54:33,SELL,15.5,-2.650000000001455,18.150000000001455,1.7600000000020373,-5.669999999998254,-55.26000000000204,-73.41000000000349,47.0,15.0,NASDAQ Mar,2026-03-06
2026-03-16 16:04:28,BUY,16.25,-1.319999999999709,17.56999999999971,21.790000000000873,-16.80999999999767,-1.2799999999988358,16.290000000000873,647.0,63.0,NASDAQ Mar,2026-03-16
2026-03-31 19:58:14,BUY,9.0,12.190000000002328,-3.1900000000023283,13.12000000000262,-9.75,164.08000000000175,160.88999999999942,58.0,68.0,NASDAQ June,2026-03-31
2026-04-02 15:10:35,BUY,14.5,18.540000000000873,-4.040000000000873,33.07999999999811,-5.580000000001746,163.02999999999884,158.98999999999796,28.0,112.0,NASDAQ June,2026-04-02
2026-04-02 15:11:16,BUY,6.25,9.309999999997672,-3.0599999999976717,16.12000000000262,-11.650000000001455,161.63999999999942,158.58000000000175,77.0,28.75,NASDAQ June,2026-04-02
2026-04-06 15:38:36,BUY,12.5,16.290000000000873,-3.790000000000873,17.05000000000291,-2.7299999999995634,152.54000000000087,148.75,80.0,96.0,NASDAQ June,2026-04-06
2026-04-06 15:44:39,SELL,7.0,7.239999999997963,-0.23999999999796273,7.720000000001164,-1.9400000000023283,153.54000000000087,153.77999999999884,68.0,6.5,NASDAQ June,2026-04-06
