
ALL starts 2020-07..2025-09, 12-month horizon, $221, 3 orderings
  universe                                        risk  median x  P(>=2x)  P(>=5x)  RUINED  P(loss)
  PIT12                                           0.3%     2.20x      56%      22%      0%      13%
  PIT12                                           0.6%     2.57x      59%      28%      2%      21%
  PIT12 without MYX                               0.3%     1.97x      49%      14%      0%      14%
  PIT12 without MYX                               0.6%     2.04x      51%      17%      2%      25%
  PIT12 without top-3 ['BNBUSDT', 'BTCUSDT', 'MYXUSDT']  0.3%     1.85x      48%      12%      0%      26%
  PIT12 without top-3 ['BNBUSDT', 'BTCUSDT', 'MYXUSDT']  0.6%     1.47x      42%      17%      5%      38%
  BOOK12                                          0.3%     4.41x      90%      46%      0%       2%
  BOOK12                                          0.6%     6.50x      81%      55%      1%       3%
  BOOK12 without top-3 ['AVAXUSDT', 'SHIBUSDT', 'XRPUSDT']  0.3%     3.66x      70%      41%      0%       9%
  BOOK12 without top-3 ['AVAXUSDT', 'SHIBUSDT', 'XRPUSDT']  0.6%     3.77x      71%      44%      0%      13%

HOLDOUT starts 2024-09..2025-09, 12-month horizon, $221, 3 orderings
  universe                                        risk  median x  P(>=2x)  P(>=5x)  RUINED  P(loss)
  PIT12                                           0.3%     4.85x      85%      49%      0%      15%
  PIT12                                           0.6%     7.64x      82%      64%      0%       5%
  PIT12 without MYX                               0.3%     2.02x      51%       8%      0%      23%
  PIT12 without MYX                               0.6%     1.81x      44%      15%      0%      26%
  PIT12 without top-3 ['BNBUSDT', 'BTCUSDT', 'MYXUSDT']  0.3%     3.01x      62%      15%      0%      18%
  PIT12 without top-3 ['BNBUSDT', 'BTCUSDT', 'MYXUSDT']  0.6%     2.88x      64%      15%      0%      23%
  BOOK12                                          0.3%     4.36x      92%      38%      0%       0%
  BOOK12                                          0.6%     5.51x      90%      51%      3%       3%
  BOOK12 without top-3 ['AVAXUSDT', 'SHIBUSDT', 'XRPUSDT']  0.3%     4.56x     100%      41%      0%       0%
  BOOK12 without top-3 ['AVAXUSDT', 'SHIBUSDT', 'XRPUSDT']  0.6%     5.72x     100%      59%      0%       0%
