panel: 796 perps, 2020-01 .. 2026-09
regime days: chop 959  bull 882  bear 614

PIT top-60 | 30d momentum, rebalanced every 7d
  window               n    net/wk      ann Sharpe     gross funding   cost
  ALL                337   +1.130%    +79.6%   1.16   +0.938%  +0.252% +0.061%
  bull               124   +1.691%   +139.8%   1.47   +1.645%  +0.107% +0.060%
  bear                86   +0.244%    +13.5%   0.28   -0.132%  +0.437% +0.061%
  chop               127   +1.181%    +84.5%   1.39   +0.973%  +0.269% +0.061%
    2020              39   +1.915%   +168.8%   2.64   +1.836%  +0.133% +0.054%
    2021              52   +1.835%   +158.1%   1.41   +1.854%  +0.042% +0.062%
    2022              53   -0.124%     -6.3%  -0.18   -0.011%  -0.053% +0.060%
    2023              52   +0.341%    +19.4%   0.55   -0.083%  +0.485% +0.060%
    2024              52   -0.071%     -3.6%  -0.09   -0.048%  +0.039% +0.061%
    2025              52   +0.857%    +56.1%   1.31   +0.589%  +0.330% +0.062%
    2026              37   +4.287%   +792.2%   2.49   +3.376%  +0.973% +0.062%

PIT top-60 | 90d momentum, rebalanced every 7d
  window               n    net/wk      ann Sharpe     gross funding   cost
  ALL                331   +0.785%    +50.4%   0.75   +0.517%  +0.306% +0.038%
  bull               124   +0.787%    +50.5%   0.79   +0.794%  +0.032% +0.039%
  bear                79   +0.431%    +25.1%   0.44   -0.181%  +0.648% +0.036%
  chop               128   +1.003%    +68.2%   0.88   +0.679%  +0.361% +0.037%
    2020              34   +1.696%   +140.3%   2.04   +1.474%  +0.252% +0.031%
    2021              52   -0.282%    -13.7%  -0.20   -0.208%  -0.032% +0.042%
    2022              52   -0.248%    -12.2%  -0.45   -0.187%  -0.023% +0.038%
    2023              52   +1.231%    +89.3%   1.68   +0.826%  +0.441% +0.036%
    2024              52   +0.181%     +9.9%   0.26   +0.183%  +0.035% +0.036%
    2025              53   -0.091%     -4.6%  -0.09   -0.394%  +0.341% +0.038%
    2026              36   +4.478%   +881.9%   2.62   +3.054%  +1.466% +0.041%

PIT top-60 | 30d momentum, rebalanced every 14d
  window               n    net/wk      ann Sharpe     gross funding   cost
  ALL                168   +1.440%   +110.8%   1.06   +1.049%  +0.474% +0.083%
  bull                58   +1.358%   +102.0%   0.93   +1.242%  +0.200% +0.085%
  bear                44   -0.730%    -31.7%  -0.62   -1.576%  +0.926% +0.081%
  chop                66   +2.960%   +357.7%   2.16   +2.629%  +0.413% +0.083%
    2020              19   +2.601%   +281.4%   2.49   +2.469%  +0.208% +0.076%
    2021              26   +2.530%   +267.9%   1.54   +2.466%  +0.147% +0.083%
    2022              27   -0.991%    -40.5%  -1.16   -0.876%  -0.034% +0.081%
    2023              26   +0.982%    +66.5%   1.25   +0.335%  +0.730% +0.083%
    2024              26   +0.535%    +32.1%   0.80   +0.547%  +0.073% +0.084%
    2025              26   +2.344%   +234.7%   3.04   +1.823%  +0.605% +0.084%
    2026              18   +2.954%   +356.4%   0.98   +1.032%  +2.014% +0.092%

PIT top-60 | 30d momentum, weekly, RANKED ONE DAY BEFORE ENTRY (robustness)
  window               n    net/wk      ann Sharpe     gross funding   cost
  ALL                337   +1.021%    +69.8%   0.90   +0.819%  +0.261% +0.060%
  bull               124   +2.011%   +182.3%   1.86   +1.957%  +0.113% +0.060%
  bear                86   +0.239%    +13.3%   0.26   -0.164%  +0.461% +0.057%
  chop               127   +0.585%    +35.5%   0.45   +0.375%  +0.270% +0.061%
    2020              39   +1.404%   +106.9%   1.72   +1.311%  +0.150% +0.058%
    2021              52   +2.168%   +205.9%   1.97   +2.170%  +0.056% +0.058%
    2022              53   -0.212%    -10.5%  -0.28   -0.129%  -0.026% +0.057%
    2023              52   +0.667%    +41.4%   1.10   +0.284%  +0.444% +0.061%
    2024              52   +0.098%     +5.2%   0.13   +0.132%  +0.026% +0.060%
    2025              52   +0.230%    +12.7%   0.14   +0.028%  +0.263% +0.062%
    2026              37   +3.681%   +558.5%   2.05   +2.593%  +1.149% +0.061%

PIT top-100 | 30d momentum, rebalanced every 7d
  window               n    net/wk      ann Sharpe     gross funding   cost
  ALL                337   +1.051%    +72.5%   1.10   +0.865%  +0.244% +0.058%
  bull               124   +1.960%   +175.2%   1.54   +1.880%  +0.138% +0.058%
  bear                86   -0.350%    -16.7%  -0.43   -0.660%  +0.368% +0.058%
  chop               127   +1.113%    +78.1%   1.86   +0.907%  +0.265% +0.058%
    2020              39   +2.177%   +207.4%   2.94   +2.096%  +0.135% +0.054%
    2021              52   +1.189%    +85.2%   0.91   +1.220%  +0.027% +0.058%
    2022              53   -0.846%    -35.8%  -1.40   -0.731%  -0.055% +0.060%
    2023              52   +0.444%    +26.0%   1.08   +0.174%  +0.328% +0.058%
    2024              52   +0.183%    +10.0%   0.30   +0.211%  +0.031% +0.059%
    2025              52   +1.925%   +170.2%   1.36   +1.585%  +0.397% +0.057%
    2026              37   +3.236%   +426.3%   3.01   +2.233%  +1.061% +0.058%

  A book that does not care about direction must earn in bull AND bear AND chop.
