ts_utc,symbol,event,side,limit,fill,slip_bp,bars_waited,note
2026-09-11 21:29:06,SBTCSUSDT,POSTED,buy,77320.4,,,0,
2026-09-11 21:29:07,SETHSUSDT,POSTED,sell,2539.3,,,0,
2026-09-11 21:29:07,SXRPSUSDT,POSTED,sell,1.367,,,0,
2026-09-11 21:29:53,SBTCSUSDT,FILLED,buy,77320.4,77320.4,0.0,0,
2026-09-11 21:30:41,SBTCSUSDT,POSTED,sell,77375.3,,,0,
2026-09-11 21:45:22,SETHSUSDT,UNFILLED,sell,2539.3,,,4,expired
2026-09-11 21:45:23,SXRPSUSDT,UNFILLED,sell,1.367,,,4,expired
2026-09-11 21:50:01,SBTCSUSDT,UNFILLED,sell,77375.3,,,4,expired
2026-09-11 21:50:01,SETHSUSDT,POSTED,sell,2531.61,,,0,
2026-09-11 21:50:49,SXRPSUSDT,POSTED,sell,1.358,,,0,
2026-09-11 21:55:27,SBTCSUSDT,POSTED,sell,77228.6,,,0,
2026-09-11 22:10:08,SETHSUSDT,UNFILLED,sell,2531.61,,,4,expired
2026-09-11 22:10:09,SXRPSUSDT,UNFILLED,sell,1.358,,,4,expired
2026-09-11 22:15:32,SBTCSUSDT,UNFILLED,sell,77228.6,,,4,expired
2026-09-11 22:15:33,SETHSUSDT,POSTED,buy,2515.41,,,0,
2026-09-11 22:15:34,SXRPSUSDT,POSTED,buy,1.354,,,0,
2026-09-11 22:16:20,SXRPSUSDT,FILLED,buy,1.354,1.354,0.0,0,
2026-09-11 22:20:12,SBTCSUSDT,POSTED,buy,77106.9,,,0,
2026-09-11 22:20:13,SXRPSUSDT,POSTED,sell,1.356,,,0,
2026-09-11 22:21:45,SBTCSUSDT,FILLED,buy,77106.9,77106.9,0.0,0,
2026-09-11 22:22:32,SXRPSUSDT,FILLED,sell,1.356,1.356,-0.0,0,
2026-09-11 22:25:38,SBTCSUSDT,POSTED,buy,77115.0,,,0,
2026-09-11 22:25:39,SXRPSUSDT,POSTED,buy,1.353,,,0,
2026-09-11 22:28:43,SXRPSUSDT,FILLED,buy,1.353,1.353,0.0,0,
2026-09-11 22:29:30,SBTCSUSDT,FILLED,buy,77115.0,77115.0,0.0,0,
2026-09-11 22:30:17,SBTCSUSDT,POSTED,sell,77130.5,,,0,
2026-09-11 22:30:18,SXRPSUSDT,POSTED,sell,1.354,,,0,
2026-09-11 22:33:23,SETHSUSDT,FILLED,buy,2515.41,2515.41,0.0,3,
2026-09-11 22:33:23,SBTCSUSDT,FILLED,sell,77130.5,77130.5,-0.0,0,
2026-09-11 22:35:43,SBTCSUSDT,POSTED,sell,77035.5,,,0,
2026-09-11 22:35:44,SETHSUSDT,POSTED,sell,2513.41,,,0,
2026-09-11 22:36:30,SBTCSUSDT,FILLED,sell,77035.5,77035.5,-0.0,0,
2026-09-11 22:36:30,SETHSUSDT,UNFILLED,sell,2513.41,,,0,
2026-09-11 22:40:22,SBTCSUSDT,POSTED,buy,77084.5,,,0,
2026-09-11 22:40:23,SETHSUSDT,POSTED,buy,2515.51,,,0,
2026-09-11 22:45:01,SBTCSUSDT,FILLED,buy,77084.5,77084.5,0.0,0,
2026-09-11 22:45:47,SETHSUSDT,FILLED,buy,2515.51,2515.51,0.0,0,
2026-09-11 22:50:26,SBTCSUSDT,POSTED,sell,77068.8,,,0,
2026-09-11 22:50:27,SETHSUSDT,POSTED,sell,2514.02,,,0,
2026-09-11 22:50:28,SXRPSUSDT,UNFILLED,sell,1.354,,,4,expired
2026-09-11 22:51:13,SBTCSUSDT,FILLED,sell,77068.8,77068.8,-0.0,0,
2026-09-11 22:55:06,SBTCSUSDT,POSTED,buy,76983.8,,,0,
2026-09-11 22:55:07,SXRPSUSDT,POSTED,buy,1.347,,,0,
2026-09-11 22:56:39,SETHSUSDT,FILLED,sell,2514.02,2514.02,-0.0,1,
2026-09-11 23:00:33,SETHSUSDT,POSTED,sell,2513.86,,,0,
2026-09-11 23:15:14,SBTCSUSDT,UNFILLED,buy,76983.8,,,4,expired
2026-09-11 23:15:14,SXRPSUSDT,UNFILLED,buy,1.347,,,4,expired
2026-09-11 23:20:40,SBTCSUSDT,POSTED,buy,77068.2,,,0,
2026-09-11 23:20:40,SETHSUSDT,UNFILLED,sell,2513.86,,,4,expired
2026-09-11 23:20:41,SXRPSUSDT,POSTED,buy,1.352,,,0,
2026-09-11 23:25:19,SETHSUSDT,POSTED,sell,2511.95,,,0,
2026-09-11 23:26:52,SETHSUSDT,FILLED,sell,2511.95,2511.95,-0.0,0,
2026-09-11 23:30:45,SETHSUSDT,POSTED,buy,2507.71,,,0,
2026-09-11 23:40:01,SBTCSUSDT,UNFILLED,buy,77068.2,,,4,expired
2026-09-11 23:40:02,SXRPSUSDT,UNFILLED,buy,1.352,,,4,expired
2026-09-11 23:45:26,SBTCSUSDT,POSTED,sell,77184.7,,,0,
2026-09-11 23:45:27,SXRPSUSDT,POSTED,sell,1.356,,,0,
2026-09-11 23:46:59,SBTCSUSDT,FILLED,sell,77184.7,77184.7,-0.0,0,
2026-09-11 23:47:45,SXRPSUSDT,FILLED,sell,1.356,1.356,-0.0,0,
2026-09-11 23:50:05,SBTCSUSDT,POSTED,buy,77109.8,,,0,
2026-09-11 23:50:06,SETHSUSDT,UNFILLED,buy,2507.71,,,4,expired
2026-09-11 23:50:07,SXRPSUSDT,POSTED,buy,1.354,,,0,
2026-09-11 23:55:31,SETHSUSDT,POSTED,buy,2511.1,,,0,
2026-09-12 00:07:05,SETHSUSDT,FILLED,buy,2511.1,2511.1,0.0,2,
2026-09-12 00:07:51,SXRPSUSDT,FILLED,buy,1.354,1.354,0.0,3,
2026-09-12 00:10:11,SBTCSUSDT,UNFILLED,buy,77109.8,,,4,expired
2026-09-12 00:10:12,SETHSUSDT,POSTED,sell,2514.01,,,0,
2026-09-12 00:10:13,SXRPSUSDT,POSTED,sell,1.355,,,0,
