re-analysing 776,936 saved trades (1,387 frozen-price trades dropped)
776,936 trades; tune < 2024-02-21 <= holdout; 193,358 of them random-control

======================================================================================================================
ALL ENTRIES
======================================================================================================================
  family         tf      n coins   meanR    PF  t(mo)    tune    hold |  random  vs rand     t
  RANDOM         1h 145443        -0.056        -1.91  -0.085  -0.011 |
  ma_cross       1h  11785   344  +0.001  1.00  +0.01  -0.035  +0.052 |  -0.056   +0.057 +2.08
  donchian       1h  25357   346  -0.060  0.90  -1.57  -0.101  -0.001 |  -0.056   -0.004 -0.19
  rsi_mom        1h  37556   346  -0.045  0.93  -1.34  -0.077  +0.002 |  -0.056   +0.011 +1.01
  bb_break       1h  28069   346  -0.047  0.92  -1.34  -0.086  +0.010 |  -0.056   +0.009 +0.56
  macd           1h  40092   346  -0.043  0.93  -1.37  -0.073  +0.002 |  -0.056   +0.013 +1.64
  roc_mom        1h  30476   346  -0.056  0.91  -1.73  -0.091  -0.004 |  -0.056   +0.000 +0.00
  rsi_rev        1h  20428   345  -0.088  0.86  -2.51  -0.152  +0.012 |  -0.056   -0.032 -1.71
  bb_rev         1h  44118   346  -0.064  0.90  -2.04  -0.087  -0.028 |  -0.056   -0.008 -0.83
  supertrend     1h  20055   346  -0.066  0.89  -1.77  -0.101  -0.018 |  -0.056   -0.010 -0.55
  keltner_brk    1h  16948   345  -0.049  0.92  -1.10  -0.099  +0.020 |  -0.056   +0.007 +0.24
  squeeze_rel    1h  19948   346  -0.045  0.93  -1.27  -0.082  +0.008 |  -0.056   +0.010 +0.59
  psar           1h  41867   346  -0.048  0.92  -1.50  -0.081  +0.002 |  -0.056   +0.008 +1.09
  aroon          1h  27509   346  -0.060  0.90  -1.94  -0.087  -0.023 |  -0.056   -0.004 -0.29
  adx_dmi        1h  12591   344  -0.092  0.85  -2.46  -0.151  +0.000 |  -0.056   -0.036 -1.57
  ichimoku       1h  29552   346  -0.035  0.94  -1.05  -0.070  +0.015 |  -0.056   +0.021 +1.48
