ts_utc,event,symbol,side,lots,price,sl,tp,retcode,comment,balance,equity,profit,reason,deal
2026-09-10 05:45:09,OPEN:donchian_gold_m15,XAUUSDm,BUY,0.21,4428.793,4414.193540122208,4450.692189816687,10009,donchian_gold_m15,10000.1,10000.1,,,
2026-09-10 09:00:11,OPEN:macd_gold_h1,XAUUSDm,SELL,0.08,4395.315,4430.770573724897,4342.131639412653,10009,macd_gold_h1,9693.52,9693.52,,,
2026-09-10 13:54:29,CLOSE:donchian_gold_m15,XAUUSDm,SELL,0.21,4414.194,,,,[sl 4414.19400],10118.07,10118.07,-306.58,SL,1744706766
2026-09-10 13:54:29,CLOSE:macd_gold_h1,XAUUSDm,BUY,0.08,4342.132,,,,[tp 4342.13200],10118.07,10118.07,424.55,TP,1747423129
2026-09-11 13:00:07,OPEN:donchian_gold_m15,XAUUSDm,BUY,0.1,4389.581,4360.271804128277,4433.544793807585,10009,donchian_gold_m15,10118.07,10118.07,,,
2026-09-11 13:00:07,OPEN:donchian_nasdaq_h1,USTECm,BUY,1.79,29477.81,29308.435439271474,29731.87184109279,10009,donchian_nasdaq_h1,10118.07,10123.95,,,
2026-09-11 14:00:09,OPEN:donchian_btc_m30,BTCUSDm,BUY,0.3,79262.8,78238.87461394518,80798.68807908223,10009,donchian_btc_m30,10118.07,10184.47,,,
2026-09-11 15:13:09,CLOSE:donchian_gold_m15,XAUUSDm,SELL,0.1,4360.272,,,,[sl 4360.27200],9830.72,9471.91,-287.35,SL,1758372357
2026-09-11 15:51:43,CLOSE:donchian_btc_m30,BTCUSDm,SELL,0.3,78238.87,,,,[sl 78238.87],9521.71,9517.92,-309.01,SL,1758646165
2026-09-13 22:00:34,CLOSE:donchian_nasdaq_h1,USTECm,SELL,1.79,29119.88,,,,[sl 29308.44000],8881.46,8881.46,-640.25,SL,1761535024
