ts_utc,symbol,side,entry,exit,reason,R,pnl_pct,equity
2026-09-11 13:01:08,BTC/USDT:USDT,SHORT,76885.4,77682.499817,SL,-1.077,-1.077,989.23
2026-09-11 13:01:10,XRP/USDT:USDT,SHORT,1.3411,1.36627,SL,-1.043,-1.043,978.8
2026-09-11 13:01:11,AVAX/USDT:USDT,SHORT,7.416,7.567474,SL,-1.039,-1.039,968.41
2026-09-11 16:00:37,BTC/USDT:USDT,LONG,79214.6,78022.938313,SL,-1.053,-1.053,958.21
2026-09-11 16:00:37,ETH/USDT:USDT,LONG,2628.92,2570.090676,SL,-1.036,-1.036,948.18
2026-09-11 16:00:38,SOL/USDT:USDT,LONG,104.826,102.382316,SL,-1.034,-1.034,938.16
2026-09-13 07:00:36,AVAX/USDT:USDT,SHORT,7.361,7.452332,SL,-1.064,-1.064,928.18
2026-09-13 09:00:09,ETH/USDT:USDT,SHORT,2517.02,2489.490909,TP,1.445,1.445,941.59
2026-09-13 10:01:00,SOL/USDT:USDT,SHORT,101.29,99.624361,TP,1.464,1.464,955.32
2026-09-13 10:01:00,XRP/USDT:USDT,SHORT,1.3571,1.338131,TP,1.457,1.457,969.04
2026-09-13 11:02:00,BNB/USDT:USDT,SHORT,721.57,713.936328,TP,1.443,1.443,982.63
2026-09-13 17:00:06,SOL/USDT:USDT,SHORT,99.82,100.933937,SL,-1.072,-1.072,972.25
2026-09-13 19:01:40,XRP/USDT:USDT,SHORT,1.3438,1.35871,SL,-1.072,-1.072,961.86
2026-09-13 19:01:41,AVAX/USDT:USDT,SHORT,7.335,7.430491,SL,-1.061,-1.061,951.43
