ts_utc,symbol,side,entry,exit,reason,R,pnl_pct,equity
2026-09-11 11:00:25,AVAX/USDT:USDT,SHORT,7.592,7.367316,TP,1.48,0.74,1007.4
2026-09-11 13:01:08,BTC/USDT:USDT,SHORT,77234.2,78056.492979,SL,-1.075,-0.538,1002.02
2026-09-11 13:01:11,AVAX/USDT:USDT,SHORT,7.353,7.491187,SL,-1.043,-0.521,996.77
2026-09-11 14:00:15,XRP/USDT:USDT,SHORT,1.3534,1.379282,SL,-1.042,-0.521,991.56
2026-09-11 14:00:16,AVAX/USDT:USDT,SHORT,7.576,7.758406,SL,-1.033,-0.517,986.44
2026-09-11 16:00:37,BTC/USDT:USDT,LONG,78763.6,77454.728433,SL,-1.048,-0.524,981.27
2026-09-11 16:00:37,ETH/USDT:USDT,LONG,2628.92,2570.090676,SL,-1.036,-0.518,976.16
2026-09-11 19:00:01,SOL/USDT:USDT,LONG,103.223,100.526722,SL,-1.031,-0.515,971.13
2026-09-11 19:00:02,XRP/USDT:USDT,LONG,1.3943,1.354422,SL,-1.028,-0.514,966.11
2026-09-11 19:00:02,BNB/USDT:USDT,LONG,735.93,724.176045,SL,-1.05,-0.525,960.93
