ts_utc,symbol,side,entry,exit,reason,R,pnl_pct,equity
2026-09-11 11:00:25,AVAX/USDT:USDT,SHORT,7.592,7.367316,TP,1.48,1.48,1014.8
2026-09-11 13:01:08,BTC/USDT:USDT,SHORT,77234.2,78056.492979,SL,-1.075,-1.075,1004.05
2026-09-11 13:01:09,ETH/USDT:USDT,LONG,2468.25,2438.112113,SL,-1.066,-1.066,993.39
2026-09-11 13:01:09,SOL/USDT:USDT,SHORT,98.607,100.320225,SL,-1.046,-1.046,982.93
2026-09-11 13:01:10,BNB/USDT:USDT,SHORT,712.94,722.048092,SL,-1.063,-1.063,972.3
2026-09-11 13:01:11,AVAX/USDT:USDT,SHORT,7.353,7.491187,SL,-1.043,-1.043,961.72
2026-09-11 14:00:15,XRP/USDT:USDT,SHORT,1.3534,1.379282,SL,-1.042,-1.042,951.31
2026-09-11 14:00:16,AVAX/USDT:USDT,SHORT,7.576,7.758406,SL,-1.033,-1.033,941.48
2026-09-11 16:00:37,BTC/USDT:USDT,LONG,78763.6,77454.728433,SL,-1.048,-1.048,931.61
2026-09-11 16:00:37,ETH/USDT:USDT,LONG,2628.92,2570.090676,SL,-1.036,-1.036,921.86
2026-09-11 19:00:01,SOL/USDT:USDT,LONG,103.223,100.526722,SL,-1.031,-1.031,912.36
2026-09-11 19:00:02,XRP/USDT:USDT,LONG,1.3943,1.354422,SL,-1.028,-1.028,902.88
2026-09-11 19:00:02,BNB/USDT:USDT,LONG,735.93,724.176045,SL,-1.05,-1.05,892.99
