ts,bar,mkt_ret,eq_A_neutral@1x,eq_A_neutral@3x,eq_B_dispersion@1x,eq_B_dispersion@3x,eq_C_idxhedge@1x,eq_C_idxhedge@3x,eq_D_momsharpe@1x,eq_D_momsharpe@3x,eq_E_mom720@1x,eq_E_mom720@3x
2026-09-12 09:07:39,2026-09-12 08:00,0.00000000,9994.2566,9982.7690,10000.0000,10000.0000,9995.6109,9986.8321,9994.0684,9982.2049,9994.2602,9982.7798
2026-09-12 09:12:57,2026-09-12 08:00,0.00000000,9994.5133,9983.5380,10000.0000,10000.0000,9995.7931,9987.3784,9994.1368,9982.4098,9994.5205,9983.5596
2026-09-12 09:18:13,2026-09-12 08:00,0.00000000,9994.7699,9984.3070,10000.0000,10000.0000,9995.9754,9987.9249,9994.2051,9982.6147,9994.7807,9984.3395
2026-09-12 09:23:30,2026-09-12 08:00,0.00000000,9995.0265,9985.0762,10000.0000,10000.0000,9996.1577,9988.4713,9994.2735,9982.8196,9995.0410,9985.1194
2026-09-12 09:28:46,2026-09-12 08:00,0.00000000,9995.2832,9985.8454,10000.0000,10000.0000,9996.3400,9989.0178,9994.3419,9983.0245,9995.3012,9985.8994
2026-09-12 09:34:02,2026-09-12 08:00,0.00000000,9995.5399,9986.6146,10000.0000,10000.0000,9996.5223,9989.5643,9994.4103,9983.2294,9995.5615,9986.6795
2026-09-12 09:39:18,2026-09-12 08:00,0.00000000,9995.7965,9987.3839,10000.0000,10000.0000,9996.7046,9990.1108,9994.4787,9983.4343,9995.8218,9987.4596
2026-09-12 09:44:35,2026-09-12 08:00,0.00000000,9996.0532,9988.1533,10000.0000,10000.0000,9996.8869,9990.6574,9994.5470,9983.6392,9996.0821,9988.2398
2026-09-12 09:49:51,2026-09-12 08:00,0.00000000,9996.3099,9988.9227,10000.0000,10000.0000,9997.0692,9991.2040,9994.6154,9983.8442,9996.3423,9989.0201
2026-09-12 09:55:08,2026-09-12 08:00,0.00000000,9996.5666,9989.6922,10000.0000,10000.0000,9997.2516,9991.7506,9994.6838,9984.0491,9996.6026,9989.8004
2026-09-12 10:00:18,2026-09-12 09:00,-0.00005785,9985.2984,9955.9110,10000.0000,10000.0000,9989.8151,9969.4535,9982.9681,9948.9393,9992.9700,9978.9100
2026-09-12 10:05:28,2026-09-12 09:00,0.00000000,9985.2984,9955.9110,10000.0000,10000.0000,9989.8151,9969.4535,9982.9681,9948.9393,9992.9700,9978.9100
2026-09-12 10:10:38,2026-09-12 09:00,0.00000000,9985.2984,9955.9110,10000.0000,10000.0000,9989.8151,9969.4535,9982.9681,9948.9393,9992.9700,9978.9100
2026-09-12 10:15:46,2026-09-12 09:00,0.00000000,9985.2984,9955.9110,10000.0000,10000.0000,9989.8151,9969.4535,9982.9681,9948.9393,9992.9700,9978.9100
2026-09-12 10:20:56,2026-09-12 09:00,0.00000000,9985.2984,9955.9110,10000.0000,10000.0000,9989.8151,9969.4535,9982.9681,9948.9393,9992.9700,9978.9100
2026-09-12 10:26:06,2026-09-12 09:00,0.00000000,9985.2984,9955.9110,10000.0000,10000.0000,9989.8151,9969.4535,9982.9681,9948.9393,9992.9700,9978.9100
2026-09-12 10:31:14,2026-09-12 09:00,0.00000000,9985.2984,9955.9110,10000.0000,10000.0000,9989.8151,9969.4535,9982.9681,9948.9393,9992.9700,9978.9100
2026-09-12 10:36:24,2026-09-12 09:00,0.00000000,9985.2984,9955.9110,10000.0000,10000.0000,9989.8151,9969.4535,9982.9681,9948.9393,9992.9700,9978.9100
2026-09-12 10:41:34,2026-09-12 09:00,0.00000000,9985.2984,9955.9110,10000.0000,10000.0000,9989.8151,9969.4535,9982.9681,9948.9393,9992.9700,9978.9100
2026-09-12 10:46:43,2026-09-12 09:00,0.00000000,9985.2984,9955.9110,10000.0000,10000.0000,9989.8151,9969.4535,9982.9681,9948.9393,9992.9700,9978.9100
2026-09-12 10:51:53,2026-09-12 09:00,0.00000000,9985.2984,9955.9110,10000.0000,10000.0000,9989.8151,9969.4535,9982.9681,9948.9393,9992.9700,9978.9100
2026-09-12 10:57:02,2026-09-12 09:00,0.00000000,9985.2984,9955.9110,10000.0000,10000.0000,9989.8151,9969.4535,9982.9681,9948.9393,9992.9700,9978.9100
2026-09-12 11:02:11,2026-09-12 10:00,0.00096561,9990.6125,9971.8064,10000.0000,10000.0000,9990.6551,9971.9683,9985.6656,9957.0042,10004.4419,10013.2771
2026-09-12 11:07:20,2026-09-12 10:00,0.00000000,9990.6125,9971.8064,10000.0000,10000.0000,9990.6551,9971.9683,9985.6656,9957.0042,10004.4419,10013.2771
2026-09-12 11:12:28,2026-09-12 10:00,0.00000000,9990.6125,9971.8064,10000.0000,10000.0000,9990.6551,9971.9683,9985.6656,9957.0042,10004.4419,10013.2771
2026-09-12 11:17:37,2026-09-12 10:00,0.00000000,9990.6125,9971.8064,10000.0000,10000.0000,9990.6551,9971.9683,9985.6656,9957.0042,10004.4419,10013.2771
2026-09-12 11:22:46,2026-09-12 10:00,0.00000000,9990.6125,9971.8064,10000.0000,10000.0000,9990.6551,9971.9683,9985.6656,9957.0042,10004.4419,10013.2771
2026-09-12 11:27:56,2026-09-12 10:00,0.00000000,9990.6125,9971.8064,10000.0000,10000.0000,9990.6551,9971.9683,9985.6656,9957.0042,10004.4419,10013.2771
2026-09-12 11:33:05,2026-09-12 10:00,0.00000000,9990.6125,9971.8064,10000.0000,10000.0000,9990.6551,9971.9683,9985.6656,9957.0042,10004.4419,10013.2771
2026-09-12 11:38:14,2026-09-12 10:00,0.00000000,9990.6125,9971.8064,10000.0000,10000.0000,9990.6551,9971.9683,9985.6656,9957.0042,10004.4419,10013.2771
