ts,bar,book,turnover,cost_bp,equity,n_long,n_short
2026-09-12 09:07:09,2026-09-12 08,A_neutral@1x,1.0000,6.00,9994.0000,5,5
2026-09-12 09:07:09,2026-09-12 08,A_neutral@3x,1.0000,18.00,9982.0000,5,5
2026-09-12 09:07:09,2026-09-12 08,B_dispersion@1x,0.0000,0.00,10000.0000,0,0
2026-09-12 09:07:09,2026-09-12 08,B_dispersion@3x,0.0000,0.00,10000.0000,0,0
2026-09-12 09:07:09,2026-09-12 08,C_idxhedge@1x,0.7619,4.57,9995.4286,5,16
2026-09-12 09:07:09,2026-09-12 08,C_idxhedge@3x,0.7619,13.71,9986.2857,5,16
2026-09-12 09:07:09,2026-09-12 08,D_momsharpe@1x,1.0000,6.00,9994.0000,5,5
2026-09-12 09:07:09,2026-09-12 08,D_momsharpe@3x,1.0000,18.00,9982.0000,5,5
2026-09-12 09:07:09,2026-09-12 08,E_mom720@1x,1.0000,6.00,9994.0000,5,5
2026-09-12 09:07:09,2026-09-12 08,E_mom720@3x,1.0000,18.00,9982.0000,5,5
2026-09-13 09:04:41,2026-09-13 08,A_neutral@1x,1.0000,6.00,9951.2584,5,5
2026-09-13 09:04:41,2026-09-13 08,A_neutral@3x,1.0000,18.00,9853.8168,5,5
2026-09-13 09:04:41,2026-09-13 08,B_dispersion@1x,0.0000,0.00,10000.0000,0,0
2026-09-13 09:04:41,2026-09-13 08,B_dispersion@3x,0.0000,0.00,10000.0000,0,0
2026-09-13 09:04:41,2026-09-13 08,C_idxhedge@1x,0.4000,2.40,9954.6037,5,16
2026-09-13 09:04:41,2026-09-13 08,C_idxhedge@3x,0.4000,7.20,9864.1136,5,16
2026-09-13 09:04:41,2026-09-13 08,D_momsharpe@1x,0.6000,3.60,9971.5674,5,5
2026-09-13 09:04:41,2026-09-13 08,D_momsharpe@3x,0.6000,10.80,9914.4209,5,5
2026-09-13 09:04:41,2026-09-13 08,E_mom720@1x,0.4000,2.40,9955.1917,5,5
2026-09-13 09:04:41,2026-09-13 08,E_mom720@3x,0.4000,7.20,9865.3379,5,5
