t,fundingRate
2024-11-14 08:00:00.000,0.00013837
2024-11-14 16:00:00.000,0.0001
2024-11-15 00:00:00.000,0.0001
2024-11-15 08:00:00.000,0.0001
2024-11-15 16:00:00.000,0.0001
2024-11-16 00:00:00.001,0.0001
2024-11-16 08:00:00.001,0.0001
2024-11-16 16:00:00.000,0.00017766
2024-11-17 00:00:00.000,0.00020668
2024-11-17 08:00:00.000,0.0001
2024-11-17 16:00:00.001,0.00010269
2024-11-18 00:00:00.000,0.0001
2024-11-18 08:00:00.000,0.00016435
2024-11-18 16:00:00.000,0.00013207
2024-11-19 00:00:00.000,0.0002257
2024-11-19 08:00:00.000,0.00017812
2024-11-19 16:00:00.000,0.00021592
2024-11-20 00:00:00.003,0.0001
2024-11-20 08:00:00.000,0.0001514
2024-11-20 16:00:00.000,0.0001
2024-11-21 00:00:00.001,0.0001
2024-11-21 08:00:00.000,0.0001
2024-11-21 16:00:00.001,0.00014351
2024-11-22 00:00:00.000,0.00028682
2024-11-22 08:00:00.000,0.00016547
2024-11-22 16:00:00.001,0.00017847
2024-11-23 00:00:00.000,0.0001
2024-11-23 08:00:00.000,0.00033561
2024-11-23 16:00:00.000,0.00027517
2024-11-24 00:00:00.001,0.00017631
2024-11-24 08:00:00.000,0.00014602
2024-11-24 16:00:00.000,0.00016168
2024-11-25 00:00:00.000,0.00011779
2024-11-25 08:00:00.000,0.00034964
2024-11-25 16:00:00.000,0.00016318
2024-11-26 00:00:00.000,0.00018778
2024-11-26 08:00:00.000,0.0001
2024-11-26 16:00:00.000,0.0001
2024-11-27 00:00:00.000,0.0001
2024-11-27 08:00:00.000,0.00017408
2024-11-27 16:00:00.001,0.00022556
2024-11-28 00:00:00.000,0.00022887
2024-11-28 08:00:00.000,0.00016476
2024-11-28 16:00:00.000,0.00010067
2024-11-29 00:00:00.000,0.0001
2024-11-29 08:00:00.000,0.00019889
2024-11-29 16:00:00.000,0.00037936
2024-11-30 00:00:00.000,0.00038018
2024-11-30 08:00:00.000,0.00033421
2024-11-30 16:00:00.000,0.00026562
2024-12-01 00:00:00.000,0.00025277
2024-12-01 08:00:00.000,0.00018915
2024-12-01 16:00:00.000,0.00035558
2024-12-02 00:00:00.001,0.00018683
2024-12-02 08:00:00.001,0.00025043
2024-12-02 16:00:00.000,0.00025825
2024-12-03 00:00:00.000,0.00037731
2024-12-03 08:00:00.000,0.00042672
2024-12-03 16:00:00.000,0.00032307
2024-12-04 00:00:00.000,0.00032302
2024-12-04 08:00:00.000,0.00038444
2024-12-04 16:00:00.000,0.00043678
2024-12-05 00:00:00.001,0.00024708
2024-12-05 08:00:00.000,0.00056284
2024-12-05 16:00:00.000,0.00055493
2024-12-06 00:00:00.000,0.00048215
2024-12-06 08:00:00.000,0.00052751
2024-12-06 16:00:00.000,0.00034702
2024-12-07 00:00:00.000,0.00034112
2024-12-07 08:00:00.000,0.00040498
2024-12-07 16:00:00.000,0.00030747
2024-12-08 00:00:00.000,0.00041733
2024-12-08 08:00:00.000,0.00020215
2024-12-08 16:00:00.000,0.0002297
2024-12-09 00:00:00.000,0.00031074
2024-12-09 08:00:00.000,0.00033945
2024-12-09 16:00:00.001,0.00011608
2024-12-10 00:00:00.007,0.0001
2024-12-10 08:00:00.000,0.0001
2024-12-10 16:00:00.000,0.0001
2024-12-11 00:00:00.000,0.0001
2024-12-11 08:00:00.000,0.0001
2024-12-11 16:00:00.001,0.0001
2024-12-12 00:00:00.001,0.0001
2024-12-12 08:00:00.000,0.0001
2024-12-12 16:00:00.001,0.0001
2024-12-13 00:00:00.000,0.0001
2024-12-13 08:00:00.000,0.0001
2024-12-13 16:00:00.001,0.0001
2024-12-14 00:00:00.000,0.0001
2024-12-14 08:00:00.000,0.0001
2024-12-14 16:00:00.000,0.0001
2024-12-15 00:00:00.000,0.0001
2024-12-15 08:00:00.000,0.0001
2024-12-15 16:00:00.000,0.0001
2024-12-16 00:00:00.000,0.0001
2024-12-16 08:00:00.001,0.0001
2024-12-16 16:00:00.000,0.0001
2024-12-17 00:00:00.000,0.0001
2024-12-17 08:00:00.000,0.0001
2024-12-17 16:00:00.000,0.0001
2024-12-18 00:00:00.000,0.0001
2024-12-18 08:00:00.000,0.0001
2024-12-18 16:00:00.000,0.0001
2024-12-19 00:00:00.000,0.0001
2024-12-19 08:00:00.000,7.304e-05
2024-12-19 16:00:00.000,9.715e-05
2024-12-20 00:00:00.000,9.654e-05
2024-12-20 08:00:00.001,0.0001
2024-12-20 16:00:00.014,1.356e-05
2024-12-21 00:00:00.000,0.0001
2024-12-21 08:00:00.000,0.0001
2024-12-21 16:00:00.001,0.0001
2024-12-22 00:00:00.000,6.316e-05
2024-12-22 08:00:00.000,0.0001
2024-12-22 16:00:00.000,5.65e-05
2024-12-23 00:00:00.000,0.0001
2024-12-23 08:00:00.000,0.0001
2024-12-23 16:00:00.001,0.0001
2024-12-24 00:00:00.000,0.0001
2024-12-24 08:00:00.000,0.0001
2024-12-24 16:00:00.001,0.0001
2024-12-25 00:00:00.001,9.241e-05
2024-12-25 08:00:00.000,-2.8e-07
2024-12-25 16:00:00.000,0.0001
2024-12-26 00:00:00.000,0.0001
2024-12-26 08:00:00.000,0.0001
2024-12-26 16:00:00.000,0.0001
2024-12-27 00:00:00.000,0.0001
2024-12-27 08:00:00.000,0.0001
2024-12-27 16:00:00.000,0.0001
2024-12-28 00:00:00.001,8.987e-05
2024-12-28 08:00:00.000,5.9e-07
2024-12-28 16:00:00.000,7.141e-05
2024-12-29 00:00:00.000,0.0001
2024-12-29 08:00:00.000,0.0001
2024-12-29 16:00:00.000,0.0001
2024-12-30 00:00:00.000,0.0001
2024-12-30 08:00:00.001,9.652e-05
2024-12-30 16:00:00.000,0.0001
2024-12-31 00:00:00.000,0.0001
2024-12-31 08:00:00.000,6.415e-05
2024-12-31 16:00:00.000,0.0001
2025-01-01 00:00:00.015,0.0001
2025-01-01 08:00:00.000,0.0001
2025-01-01 16:00:00.001,0.0001
2025-01-02 00:00:00.000,0.0001
2025-01-02 08:00:00.006,0.0001
2025-01-02 16:00:00.000,0.0001
2025-01-03 00:00:00.000,0.0001
2025-01-03 08:00:00.000,0.0001
2025-01-03 16:00:00.000,0.0001
2025-01-04 00:00:00.000,0.0001
2025-01-04 08:00:00.000,0.0001
2025-01-04 16:00:00.000,0.0001
2025-01-05 00:00:00.000,0.0001
2025-01-05 08:00:00.000,0.0001
2025-01-05 16:00:00.000,0.0001
2025-01-06 00:00:00.000,0.0001
2025-01-06 08:00:00.001,0.0001
2025-01-06 16:00:00.000,0.0001
2025-01-07 00:00:00.000,0.0001
2025-01-07 08:00:00.000,0.0001
2025-01-07 16:00:00.008,0.0001
2025-01-08 00:00:00.001,0.0001
2025-01-08 08:00:00.000,0.0001
2025-01-08 16:00:00.000,7.882e-05
2025-01-09 00:00:00.000,-5.75e-06
2025-01-09 08:00:00.000,0.0001
2025-01-09 16:00:00.000,0.0001
2025-01-10 00:00:00.000,0.0001
2025-01-10 08:00:00.000,0.0001
2025-01-10 16:00:00.000,0.0001
2025-01-11 00:00:00.000,0.0001
2025-01-11 08:00:00.000,2.954e-05
2025-01-11 16:00:00.000,0.0001
2025-01-12 00:00:00.000,0.0001
2025-01-12 08:00:00.000,0.0001
2025-01-12 16:00:00.000,0.0001
2025-01-13 00:00:00.000,0.0001
2025-01-13 08:00:00.000,4.913e-05
2025-01-13 16:00:00.000,1.904e-05
2025-01-14 00:00:00.000,0.0001
2025-01-14 08:00:00.000,0.0001
2025-01-14 16:00:00.000,5.669e-05
2025-01-15 00:00:00.000,9.823e-05
2025-01-15 08:00:00.000,8.95e-05
2025-01-15 16:00:00.000,0.0001
2025-01-16 00:00:00.000,0.0001
2025-01-16 08:00:00.000,0.0001
2025-01-16 16:00:00.000,0.0001
2025-01-17 00:00:00.004,0.0001
2025-01-17 08:00:00.000,0.0001
2025-01-17 16:00:00.008,0.0001
2025-01-18 00:00:00.000,0.0001
2025-01-18 08:00:00.007,0.0001
2025-01-18 16:00:00.000,0.0001
2025-01-19 00:00:00.000,0.0001
2025-01-19 08:00:00.000,0.0001
2025-01-19 16:00:00.000,0.0001
2025-01-20 00:00:00.000,0.0001
2025-01-20 08:00:00.009,0.0001
2025-01-20 16:00:00.000,0.0001
2025-01-21 00:00:00.000,0.0001
2025-01-21 08:00:00.000,0.0001
2025-01-21 16:00:00.000,0.0001
2025-01-22 00:00:00.000,0.0001
2025-01-22 08:00:00.000,0.0001
2025-01-22 16:00:00.000,0.0001
2025-01-23 00:00:00.001,0.0001
2025-01-23 08:00:00.000,0.0001
2025-01-23 16:00:00.000,0.0001
2025-01-24 00:00:00.000,0.0001
2025-01-24 08:00:00.000,0.0001
2025-01-24 16:00:00.000,0.0001
2025-01-25 00:00:00.000,0.0001
2025-01-25 08:00:00.000,7.716e-05
2025-01-25 16:00:00.001,3.181e-05
2025-01-26 00:00:00.000,5.09e-05
2025-01-26 08:00:00.000,0.0001
2025-01-26 16:00:00.000,0.0001
