t,fundingRate
2024-11-14 08:00:00.000,0.0001
2024-11-14 16:00:00.000,0.0001
2024-11-15 00:00:00.000,0.0001
2024-11-15 08:00:00.000,0.0001
2024-11-15 16:00:00.000,0.0001
2024-11-16 00:00:00.001,0.0001
2024-11-16 08:00:00.001,0.0001
2024-11-16 16:00:00.000,0.0001
2024-11-17 00:00:00.000,0.0001
2024-11-17 08:00:00.000,2.453e-05
2024-11-17 16:00:00.001,0.0001
2024-11-18 00:00:00.000,3.7e-06
2024-11-18 08:00:00.000,4.178e-05
2024-11-18 16:00:00.000,0.0001
2024-11-19 00:00:00.000,2.196e-05
2024-11-19 08:00:00.000,-0.00034475
2024-11-19 16:00:00.000,-0.0001405
2024-11-20 00:00:00.003,7.188e-05
2024-11-20 08:00:00.000,-4.609e-05
2024-11-20 16:00:00.000,-2.436e-05
2024-11-21 00:00:00.001,-2.947e-05
2024-11-21 08:00:00.000,-3.47e-06
2024-11-21 16:00:00.001,0.0001
2024-11-22 00:00:00.000,0.0001
2024-11-22 08:00:00.000,0.0001
2024-11-22 16:00:00.001,0.0001
2024-11-23 00:00:00.000,0.0001
2024-11-23 08:00:00.000,-5.666e-05
2024-11-23 16:00:00.000,-0.00031076
2024-11-24 00:00:00.001,-0.00010984
2024-11-24 08:00:00.000,8.372e-05
2024-11-24 16:00:00.000,0.0001
2024-11-25 00:00:00.000,0.0001
2024-11-25 08:00:00.000,0.0001
2024-11-25 16:00:00.000,0.0001
2024-11-26 00:00:00.000,0.0001
2024-11-26 08:00:00.000,0.0001
2024-11-26 16:00:00.000,0.0001
2024-11-27 00:00:00.000,0.0001
2024-11-27 08:00:00.000,0.0001
2024-11-27 16:00:00.001,0.0001
2024-11-28 00:00:00.000,0.0001
2024-11-28 08:00:00.000,0.0001
2024-11-28 16:00:00.000,0.0001
2024-11-29 00:00:00.000,0.0001
2024-11-29 08:00:00.000,0.0001
2024-11-29 16:00:00.000,0.0001
2024-11-30 00:00:00.000,0.0001503
2024-11-30 08:00:00.000,0.00010281
2024-11-30 16:00:00.000,0.00010272
2024-12-01 00:00:00.000,0.0001
2024-12-01 08:00:00.000,0.0001
2024-12-01 16:00:00.000,0.00013416
2024-12-02 00:00:00.001,0.00022571
2024-12-02 08:00:00.001,0.0001
2024-12-02 16:00:00.000,0.0001
2024-12-03 00:00:00.000,0.00013656
2024-12-03 08:00:00.000,0.0003044
2024-12-03 16:00:00.000,0.0001
2024-12-04 00:00:00.000,0.00010764
2024-12-04 08:00:00.000,0.00029199
2024-12-04 16:00:00.000,0.00021004
2024-12-05 00:00:00.001,0.0001
2024-12-05 08:00:00.000,0.00036129
2024-12-05 16:00:00.000,0.00033642
2024-12-06 00:00:00.000,0.0001
2024-12-06 08:00:00.000,0.00020204
2024-12-06 16:00:00.000,0.0001
2024-12-07 00:00:00.000,0.00022177
2024-12-07 08:00:00.000,0.00019315
2024-12-07 16:00:00.000,0.00019847
2024-12-08 00:00:00.000,0.00022453
2024-12-08 08:00:00.000,0.0001
2024-12-08 16:00:00.000,0.00017527
2024-12-09 00:00:00.000,0.00012555
2024-12-09 08:00:00.000,0.0001
2024-12-09 16:00:00.001,0.0001
2024-12-10 00:00:00.007,0.0001
2024-12-10 08:00:00.000,0.0001
2024-12-10 16:00:00.000,0.0001
2024-12-11 00:00:00.000,0.0001
2024-12-11 08:00:00.000,0.0001
2024-12-11 16:00:00.001,0.0001
2024-12-12 00:00:00.001,2.92e-05
2024-12-12 08:00:00.000,0.0001
2024-12-12 16:00:00.001,0.0001
2024-12-13 00:00:00.000,0.0001
2024-12-13 08:00:00.000,0.0001
2024-12-13 16:00:00.001,6.256e-05
2024-12-14 00:00:00.000,9.116e-05
2024-12-14 08:00:00.000,-5.443e-05
2024-12-14 16:00:00.000,0.0001
2024-12-15 00:00:00.000,0.0001
2024-12-15 08:00:00.000,-7.672e-05
2024-12-15 16:00:00.000,0.0001
2024-12-16 00:00:00.000,0.0001
2024-12-16 08:00:00.001,0.0001
2024-12-16 16:00:00.000,0.0001
2024-12-17 00:00:00.000,0.0001
2024-12-17 08:00:00.000,0.0001
2024-12-17 16:00:00.000,0.0001
2024-12-18 00:00:00.000,0.0001
2024-12-18 08:00:00.000,0.0001
2024-12-18 16:00:00.000,0.0001
2024-12-19 00:00:00.000,-1.612e-05
2024-12-19 08:00:00.000,-0.0001765
2024-12-19 16:00:00.000,-0.00022799
2024-12-20 00:00:00.000,-0.00028586
2024-12-20 08:00:00.001,-1.386e-05
2024-12-20 16:00:00.014,-0.00021107
2024-12-21 00:00:00.000,0.0001
2024-12-21 08:00:00.000,0.0001
2024-12-21 16:00:00.001,0.0001
2024-12-22 00:00:00.000,2.99e-05
2024-12-22 08:00:00.000,8.231e-05
2024-12-22 16:00:00.000,-0.0001037
2024-12-23 00:00:00.000,-1.812e-05
2024-12-23 08:00:00.000,4.853e-05
2024-12-23 16:00:00.001,-6.778e-05
2024-12-24 00:00:00.000,-1.973e-05
2024-12-24 08:00:00.000,-7.48e-06
2024-12-24 16:00:00.001,2.34e-06
2024-12-25 00:00:00.001,8.48e-05
2024-12-25 08:00:00.000,-0.00010604
2024-12-25 16:00:00.000,-0.0001585
2024-12-26 00:00:00.000,-0.00011308
2024-12-26 08:00:00.000,-4.371e-05
2024-12-26 16:00:00.000,-3.739e-05
2024-12-27 00:00:00.000,4.818e-05
2024-12-27 08:00:00.000,-5.684e-05
2024-12-27 16:00:00.000,-0.0001194
2024-12-28 00:00:00.001,-0.00012149
2024-12-28 08:00:00.000,-0.00015908
2024-12-28 16:00:00.000,-0.00011897
2024-12-29 00:00:00.000,5.603e-05
2024-12-29 08:00:00.000,0.0001
2024-12-29 16:00:00.000,8.831e-05
2024-12-30 00:00:00.000,-9.887e-05
2024-12-30 08:00:00.001,-6.88e-06
2024-12-30 16:00:00.000,-3.722e-05
2024-12-31 00:00:00.000,7.425e-05
2024-12-31 08:00:00.000,5.704e-05
2024-12-31 16:00:00.000,0.0001
2025-01-01 00:00:00.015,0.0001
