t,fundingRate
2024-11-14 08:00:00.000,0.0001
2024-11-14 16:00:00.000,0.0001
2024-11-15 00:00:00.000,0.0001
2024-11-15 08:00:00.000,0.0001
2024-11-15 16:00:00.000,0.0001
2024-11-16 00:00:00.001,0.0001
2024-11-16 08:00:00.001,0.0001
2024-11-16 16:00:00.000,0.0001
2024-11-17 00:00:00.000,0.0001
2024-11-17 08:00:00.000,0.0001
2024-11-17 16:00:00.001,0.0001
2024-11-18 00:00:00.000,0.0001
2024-11-18 08:00:00.000,0.0001
2024-11-18 16:00:00.000,0.0001
2024-11-19 00:00:00.000,0.0001
2024-11-19 08:00:00.000,0.0001
2024-11-19 16:00:00.000,0.0001
2024-11-20 00:00:00.003,0.0001
2024-11-20 08:00:00.000,0.0001
2024-11-20 16:00:00.000,0.0001
2024-11-21 00:00:00.001,0.0001
2024-11-21 08:00:00.000,0.0001
2024-11-21 16:00:00.001,0.0001
2024-11-22 00:00:00.000,0.0001008
2024-11-22 08:00:00.000,0.0002332
2024-11-22 16:00:00.001,0.00021227
2024-11-23 00:00:00.000,0.0001
2024-11-23 08:00:00.000,0.00023183
2024-11-23 16:00:00.000,0.00022532
2024-11-24 00:00:00.001,0.00029352
2024-11-24 08:00:00.000,0.0001
2024-11-24 16:00:00.000,0.00015419
2024-11-25 00:00:00.000,0.0001
2024-11-25 08:00:00.000,0.00011569
2024-11-25 16:00:00.000,0.00015812
2024-11-26 00:00:00.000,0.00017839
2024-11-26 08:00:00.000,0.00018678
2024-11-26 16:00:00.000,0.0001
2024-11-27 00:00:00.000,0.0001
2024-11-27 08:00:00.000,0.00011872
2024-11-27 16:00:00.001,0.0001
2024-11-28 00:00:00.000,0.0001
2024-11-28 08:00:00.000,0.0001
2024-11-28 16:00:00.000,0.0001
2024-11-29 00:00:00.000,0.0001244
2024-11-29 08:00:00.000,0.0001974
2024-11-29 16:00:00.000,0.0001
2024-11-30 00:00:00.000,0.0001
2024-11-30 08:00:00.000,0.0001
2024-11-30 16:00:00.000,0.00018458
2024-12-01 00:00:00.000,0.0002388
2024-12-01 08:00:00.000,0.0001
2024-12-01 16:00:00.000,0.00034245
2024-12-02 00:00:00.001,0.00033207
2024-12-02 08:00:00.001,0.00010445
2024-12-02 16:00:00.000,0.00014907
2024-12-03 00:00:00.000,0.00031352
2024-12-03 08:00:00.000,0.00043146
2024-12-03 16:00:00.000,0.00020019
2024-12-04 00:00:00.000,0.0001
2024-12-04 08:00:00.000,0.00031763
2024-12-04 16:00:00.000,0.00047492
2024-12-05 00:00:00.001,0.00027969
2024-12-05 08:00:00.000,0.00034316
2024-12-05 16:00:00.000,0.00037713
2024-12-06 00:00:00.000,0.00041191
2024-12-06 08:00:00.000,0.00039989
2024-12-06 16:00:00.000,0.00018253
2024-12-07 00:00:00.000,0.00037654
2024-12-07 08:00:00.000,0.00029654
2024-12-07 16:00:00.000,0.00033696
2024-12-08 00:00:00.000,0.00045797
2024-12-08 08:00:00.000,0.00014297
2024-12-08 16:00:00.000,0.00023946
2024-12-09 00:00:00.000,0.00037232
2024-12-09 08:00:00.000,0.00031998
2024-12-09 16:00:00.001,0.0001
2024-12-10 00:00:00.007,0.0001
2024-12-10 08:00:00.000,0.0001
2024-12-10 16:00:00.000,0.0001
2024-12-11 00:00:00.000,9.222e-05
2024-12-11 08:00:00.000,0.0001
2024-12-11 16:00:00.001,7.44e-06
2024-12-12 00:00:00.001,0.0001
2024-12-12 08:00:00.000,0.0001
2024-12-12 16:00:00.001,0.0001
2024-12-13 00:00:00.000,0.0001
2024-12-13 08:00:00.000,0.0001
2024-12-13 16:00:00.001,0.0001
2024-12-14 00:00:00.000,0.0001
2024-12-14 08:00:00.000,0.0001
2024-12-14 16:00:00.000,0.0001
2024-12-15 00:00:00.000,0.0001
2024-12-15 08:00:00.000,0.0001
2024-12-15 16:00:00.000,0.0001
2024-12-16 00:00:00.000,0.0001
2024-12-16 08:00:00.001,0.0001
2024-12-16 16:00:00.000,0.0001
2024-12-17 00:00:00.000,0.0001
2024-12-17 08:00:00.000,0.0001
2024-12-17 16:00:00.000,0.0001
2024-12-18 00:00:00.000,0.0001
2024-12-18 08:00:00.000,0.0001
2024-12-18 16:00:00.000,0.0001
2024-12-19 00:00:00.000,0.0001
2024-12-19 08:00:00.000,9.686e-05
2024-12-19 16:00:00.000,0.0001
2024-12-20 00:00:00.000,5.33e-05
2024-12-20 08:00:00.001,0.0001
2024-12-20 16:00:00.014,-6.55e-06
2024-12-21 00:00:00.000,0.0001
2024-12-21 08:00:00.000,0.0001
2024-12-21 16:00:00.001,0.0001
2024-12-22 00:00:00.000,0.0001
2024-12-22 08:00:00.000,0.0001
2024-12-22 16:00:00.000,0.0001
2024-12-23 00:00:00.000,0.0001
2024-12-23 08:00:00.000,0.0001
2024-12-23 16:00:00.001,8.341e-05
2024-12-24 00:00:00.000,0.0001
2024-12-24 08:00:00.000,0.0001
2024-12-24 16:00:00.001,0.0001
2024-12-25 00:00:00.001,0.0001
2024-12-25 08:00:00.000,0.0001
2024-12-25 16:00:00.000,0.0001
2024-12-26 00:00:00.000,0.0001
2024-12-26 08:00:00.000,0.0001
2024-12-26 16:00:00.000,2.121e-05
2024-12-27 00:00:00.000,0.0001
2024-12-27 08:00:00.000,8.416e-05
2024-12-27 16:00:00.000,0.0001
2024-12-28 00:00:00.001,9.109e-05
2024-12-28 08:00:00.000,4.735e-05
2024-12-28 16:00:00.000,-1.873e-05
2024-12-29 00:00:00.000,0.0001
2024-12-29 08:00:00.000,0.0001
2024-12-29 16:00:00.000,9.098e-05
2024-12-30 00:00:00.000,3.786e-05
2024-12-30 08:00:00.001,0.0001
2024-12-30 16:00:00.000,-9.935e-05
2024-12-31 00:00:00.000,4.042e-05
2024-12-31 08:00:00.000,7.04e-05
2024-12-31 16:00:00.000,0.0001
2025-01-01 00:00:00.015,4.902e-05
2025-01-01 08:00:00.000,3.877e-05
2025-01-01 16:00:00.001,0.0001
2025-01-02 00:00:00.000,0.0001
2025-01-02 08:00:00.006,0.0001
