t,fundingRate
2024-11-14 08:00:00.000,0.00015786
2024-11-14 16:00:00.000,0.0001
2024-11-15 00:00:00.000,0.0001
2024-11-15 08:00:00.000,0.0001
2024-11-15 16:00:00.000,0.0001
2024-11-16 00:00:00.001,0.0001
2024-11-16 08:00:00.001,0.0001
2024-11-16 16:00:00.000,0.0002333
2024-11-17 00:00:00.000,0.00012286
2024-11-17 08:00:00.000,0.0001
2024-11-17 16:00:00.001,0.0001
2024-11-18 00:00:00.000,0.0001
2024-11-18 08:00:00.000,0.00034783
2024-11-18 16:00:00.000,0.00018817
2024-11-19 00:00:00.000,0.0001
2024-11-19 08:00:00.000,0.0001
2024-11-19 16:00:00.000,0.0001
2024-11-20 00:00:00.003,0.0001
2024-11-20 08:00:00.000,0.0001
2024-11-20 16:00:00.000,0.0001
2024-11-21 00:00:00.001,0.0001
2024-11-21 08:00:00.000,0.0001
2024-11-21 16:00:00.001,0.0001
2024-11-22 00:00:00.000,0.00014523
2024-11-22 08:00:00.000,0.00023609
2024-11-22 16:00:00.001,0.00024191
2024-11-23 00:00:00.000,0.0001
2024-11-23 08:00:00.000,0.0003369
2024-11-23 16:00:00.000,0.00026805
2024-11-24 00:00:00.001,0.00036364
2024-11-24 08:00:00.000,0.00038276
2024-11-24 16:00:00.000,0.00033635
2024-11-25 00:00:00.000,0.00028407
2024-11-25 08:00:00.000,0.00030576
2024-11-25 16:00:00.000,0.00019422
2024-11-26 00:00:00.000,0.00026291
2024-11-26 08:00:00.000,0.00022036
2024-11-26 16:00:00.000,0.00010024
2024-11-27 00:00:00.000,0.00014914
2024-11-27 08:00:00.000,0.00019811
2024-11-27 16:00:00.001,0.0001
2024-11-28 00:00:00.000,0.00022651
2024-11-28 08:00:00.000,0.00017652
2024-11-28 16:00:00.000,0.00014173
2024-11-29 00:00:00.000,0.00020893
2024-11-29 08:00:00.000,0.00016721
2024-11-29 16:00:00.000,0.00035023
2024-11-30 00:00:00.000,0.00028521
2024-11-30 08:00:00.000,0.00025135
2024-11-30 16:00:00.000,0.00021711
2024-12-01 00:00:00.000,0.00019369
2024-12-01 08:00:00.000,0.00016773
2024-12-01 16:00:00.000,0.00010836
2024-12-02 00:00:00.001,0.00041175
2024-12-02 08:00:00.001,0.00034002
2024-12-02 16:00:00.000,0.00032114
2024-12-03 00:00:00.000,0.00053972
2024-12-03 08:00:00.000,0.00051247
2024-12-03 16:00:00.000,0.00028863
2024-12-04 00:00:00.000,0.00034089
2024-12-04 08:00:00.000,0.00056003
2024-12-04 16:00:00.000,0.00044316
2024-12-05 00:00:00.001,0.00035004
2024-12-05 08:00:00.000,0.00058517
2024-12-05 16:00:00.000,0.00050843
