t,fundingRate
2024-11-14 08:00:00.000,0.0001
2024-11-14 16:00:00.000,0.0001
2024-11-15 00:00:00.000,0.0001
2024-11-15 08:00:00.000,0.0001
2024-11-15 16:00:00.000,0.0001
2024-11-16 00:00:00.001,0.0001
2024-11-16 08:00:00.001,0.0001
2024-11-16 16:00:00.000,0.0001
2024-11-17 00:00:00.000,0.00018837
2024-11-17 08:00:00.000,0.0001
2024-11-17 16:00:00.001,0.0001
2024-11-18 00:00:00.000,0.0001
2024-11-18 08:00:00.000,0.00017325
2024-11-18 16:00:00.000,0.0001
2024-11-19 00:00:00.000,0.00015265
2024-11-19 08:00:00.000,0.00015237
2024-11-19 16:00:00.000,0.00013221
2024-11-20 00:00:00.003,0.00011302
2024-11-20 08:00:00.000,0.0001
2024-11-20 16:00:00.000,0.0001
2024-11-21 00:00:00.001,0.0001
2024-11-21 08:00:00.000,0.0001
2024-11-21 16:00:00.001,0.0001
2024-11-22 00:00:00.000,0.00017677
2024-11-22 08:00:00.000,0.00016496
2024-11-22 16:00:00.001,0.00016244
2024-11-23 00:00:00.000,0.00016041
2024-11-23 08:00:00.000,0.00057097
2024-11-23 16:00:00.000,0.00042825
2024-11-24 00:00:00.001,0.00018834
2024-11-24 08:00:00.000,0.00030186
2024-11-24 16:00:00.000,0.00019646
2024-11-25 00:00:00.000,0.00012374
2024-11-25 08:00:00.000,0.00023054
2024-11-25 16:00:00.000,0.00017133
2024-11-26 00:00:00.000,0.00017012
2024-11-26 08:00:00.000,0.00015905
2024-11-26 16:00:00.000,0.0001
2024-11-27 00:00:00.000,0.00017919
2024-11-27 08:00:00.000,0.00017996
2024-11-27 16:00:00.001,0.00025728
2024-11-28 00:00:00.000,0.00028453
2024-11-28 08:00:00.000,0.00014389
2024-11-28 16:00:00.000,0.0001
2024-11-29 00:00:00.000,0.00014813
2024-11-29 08:00:00.000,0.00020769
2024-11-29 16:00:00.000,0.00025606
2024-11-30 00:00:00.000,0.00034168
2024-11-30 08:00:00.000,0.00017834
2024-11-30 16:00:00.000,0.0002029
2024-12-01 00:00:00.000,0.0002444
2024-12-01 08:00:00.000,0.00022414
2024-12-01 16:00:00.000,0.00032851
2024-12-02 00:00:00.001,0.00058787
2024-12-02 08:00:00.001,0.0002226
2024-12-02 16:00:00.000,0.00017643
2024-12-03 00:00:00.000,0.00034892
2024-12-03 08:00:00.000,0.00047181
2024-12-03 16:00:00.000,0.00033067
2024-12-04 00:00:00.000,0.00042263
2024-12-04 08:00:00.000,0.00041041
2024-12-04 16:00:00.000,0.00042323
2024-12-05 00:00:00.001,0.00031589
2024-12-05 08:00:00.000,0.00062247
2024-12-05 16:00:00.000,0.0006991
2024-12-06 00:00:00.000,0.00036856
2024-12-06 08:00:00.000,0.00035263
2024-12-06 16:00:00.000,0.00012061
2024-12-07 00:00:00.000,0.00041892
2024-12-07 08:00:00.000,0.00044986
2024-12-07 16:00:00.000,0.00035767
2024-12-08 00:00:00.000,0.00028075
2024-12-08 08:00:00.000,0.00019845
2024-12-08 16:00:00.000,0.00020362
2024-12-09 00:00:00.000,0.00031296
2024-12-09 08:00:00.000,0.0001831
2024-12-09 16:00:00.001,0.0001
2024-12-10 00:00:00.007,0.0001
2024-12-10 08:00:00.000,0.0001
2024-12-10 16:00:00.000,0.0001
2024-12-11 00:00:00.000,0.0001
2024-12-11 08:00:00.000,0.0001
2024-12-11 16:00:00.001,0.0001
2024-12-12 00:00:00.001,0.0001
2024-12-12 08:00:00.000,0.0001
2024-12-12 16:00:00.001,0.0001
2024-12-13 00:00:00.000,0.0001
2024-12-13 08:00:00.000,0.0001
2024-12-13 16:00:00.001,0.0001
2024-12-14 00:00:00.000,0.0001
2024-12-14 08:00:00.000,0.0001
2024-12-14 16:00:00.000,0.0001
2024-12-15 00:00:00.000,0.0001
2024-12-15 08:00:00.000,0.0001
2024-12-15 16:00:00.000,0.0001
2024-12-16 00:00:00.000,0.0001
2024-12-16 08:00:00.001,0.0001
2024-12-16 16:00:00.000,0.0001
2024-12-17 00:00:00.000,0.0001
2024-12-17 08:00:00.000,0.0001
2024-12-17 16:00:00.000,0.0001
2024-12-18 00:00:00.000,0.0001
2024-12-18 08:00:00.000,0.0001
2024-12-18 16:00:00.000,0.0001
2024-12-19 00:00:00.000,0.0001
2024-12-19 08:00:00.000,0.0001
2024-12-19 16:00:00.000,0.0001
2024-12-20 00:00:00.000,0.0001
2024-12-20 08:00:00.001,0.0001
2024-12-20 16:00:00.014,0.0001
2024-12-21 00:00:00.000,8.266e-05
2024-12-21 08:00:00.000,0.0001
2024-12-21 16:00:00.001,0.0001
2024-12-22 00:00:00.000,4.747e-05
2024-12-22 08:00:00.000,0.0001
2024-12-22 16:00:00.000,0.0001
2024-12-23 00:00:00.000,0.0001
2024-12-23 08:00:00.000,0.0001
2024-12-23 16:00:00.001,0.0001
2024-12-24 00:00:00.000,0.0001
2024-12-24 08:00:00.000,0.0001
2024-12-24 16:00:00.001,0.0001
2024-12-25 00:00:00.001,0.0001
2024-12-25 08:00:00.000,0.0001
2024-12-25 16:00:00.000,0.0001
2024-12-26 00:00:00.000,9.146e-05
2024-12-26 08:00:00.000,0.0001
2024-12-26 16:00:00.000,0.0001
2024-12-27 00:00:00.000,0.0001
2024-12-27 08:00:00.000,0.0001
2024-12-27 16:00:00.000,0.0001
2024-12-28 00:00:00.001,0.0001
2024-12-28 08:00:00.000,2.068e-05
2024-12-28 16:00:00.000,1.529e-05
2024-12-29 00:00:00.000,5.1e-05
2024-12-29 08:00:00.000,3.658e-05
2024-12-29 16:00:00.000,7.345e-05
2024-12-30 00:00:00.000,9.108e-05
2024-12-30 08:00:00.001,6.367e-05
2024-12-30 16:00:00.000,0.0001
2024-12-31 00:00:00.000,0.0001
2024-12-31 08:00:00.000,6.834e-05
2024-12-31 16:00:00.000,0.0001
2025-01-01 00:00:00.015,0.0001
2025-01-01 08:00:00.000,8.487e-05
2025-01-01 16:00:00.001,0.0001
2025-01-02 00:00:00.000,0.0001
2025-01-02 08:00:00.006,0.0001
