t,fundingRate
2024-11-14 08:00:00.000,0.00022462
2024-11-14 16:00:00.000,0.0001
2024-11-15 00:00:00.000,0.0001
2024-11-15 08:00:00.000,0.0001
2024-11-15 16:00:00.000,0.0001
2024-11-16 00:00:00.001,0.0001
2024-11-16 08:00:00.001,0.00023693
2024-11-16 16:00:00.000,0.00016028
2024-11-17 00:00:00.000,0.0001
2024-11-17 08:00:00.000,0.00044518
2024-11-17 16:00:00.001,0.00021627
2024-11-18 00:00:00.000,0.00023762
2024-11-18 08:00:00.000,0.0001653
2024-11-18 16:00:00.000,0.0002213
2024-11-19 00:00:00.000,0.00022018
2024-11-19 08:00:00.000,0.00019184
2024-11-19 16:00:00.000,0.00012644
2024-11-20 00:00:00.003,0.0001
2024-11-20 08:00:00.000,0.0001
2024-11-20 16:00:00.000,0.0001
2024-11-21 00:00:00.001,0.0001
2024-11-21 08:00:00.000,0.0001
2024-11-21 16:00:00.001,0.0001
2024-11-22 00:00:00.000,0.00043945
2024-11-22 08:00:00.000,0.00022593
2024-11-22 16:00:00.001,0.0001702
2024-11-23 00:00:00.000,0.0001
2024-11-23 08:00:00.000,0.00028946
2024-11-23 16:00:00.000,0.00025577
2024-11-24 00:00:00.001,0.00018175
2024-11-24 08:00:00.000,0.00033189
2024-11-24 16:00:00.000,0.00025244
2024-11-25 00:00:00.000,0.00014445
2024-11-25 08:00:00.000,0.00019888
2024-11-25 16:00:00.000,0.00010485
2024-11-26 00:00:00.000,0.0001
2024-11-26 08:00:00.000,0.0001
2024-11-26 16:00:00.000,0.0001
2024-11-27 00:00:00.000,0.0001
2024-11-27 08:00:00.000,0.0001
2024-11-27 16:00:00.001,0.0001
2024-11-28 00:00:00.000,0.0001
2024-11-28 08:00:00.000,0.0001
2024-11-28 16:00:00.000,0.0001
2024-11-29 00:00:00.000,0.0001
2024-11-29 08:00:00.000,0.0001
2024-11-29 16:00:00.000,0.0001
2024-11-30 00:00:00.000,0.0001
2024-11-30 08:00:00.000,0.0001
2024-11-30 16:00:00.000,0.0001
2024-12-01 00:00:00.000,0.00011575
2024-12-01 08:00:00.000,0.0001
2024-12-01 16:00:00.000,0.00021606
2024-12-02 00:00:00.001,0.00037518
2024-12-02 08:00:00.001,0.00025587
2024-12-02 16:00:00.000,0.00026772
2024-12-03 00:00:00.000,0.00032728
2024-12-03 08:00:00.000,0.00031454
2024-12-03 16:00:00.000,0.00030312
2024-12-04 00:00:00.000,0.00035501
2024-12-04 08:00:00.000,0.00023264
2024-12-04 16:00:00.000,0.00036215
2024-12-05 00:00:00.001,0.00027166
2024-12-05 08:00:00.000,0.00055995
2024-12-05 16:00:00.000,0.0005091
2024-12-06 00:00:00.000,0.00032251
2024-12-06 08:00:00.000,0.00032302
2024-12-06 16:00:00.000,0.00012425
2024-12-07 00:00:00.000,0.00041557
2024-12-07 08:00:00.000,0.00034529
2024-12-07 16:00:00.000,0.00038467
2024-12-08 00:00:00.000,0.00045069
2024-12-08 08:00:00.000,0.00019374
2024-12-08 16:00:00.000,0.00013754
2024-12-09 00:00:00.000,0.00025945
2024-12-09 08:00:00.000,0.00015891
2024-12-09 16:00:00.001,0.00012595
2024-12-10 00:00:00.007,0.0001
2024-12-10 08:00:00.000,0.0001
2024-12-10 16:00:00.000,0.0001
2024-12-11 00:00:00.000,0.0001
2024-12-11 08:00:00.000,0.0001
2024-12-11 16:00:00.001,0.0001
2024-12-12 00:00:00.001,0.0001
2024-12-12 08:00:00.000,0.0001
2024-12-12 16:00:00.001,0.0001
2024-12-13 00:00:00.000,0.0001
2024-12-13 08:00:00.000,0.0001
2024-12-13 16:00:00.001,0.0001
2024-12-14 00:00:00.000,0.0001
2024-12-14 08:00:00.000,0.0001
2024-12-14 16:00:00.000,0.0001
2024-12-15 00:00:00.000,0.0001
2024-12-15 08:00:00.000,6.761e-05
2024-12-15 16:00:00.000,0.0001
2024-12-16 00:00:00.000,0.0001
2024-12-16 08:00:00.001,0.0001
2024-12-16 16:00:00.000,0.0001
2024-12-17 00:00:00.000,0.0001
2024-12-17 08:00:00.000,4.064e-05
2024-12-17 16:00:00.000,0.0001
2024-12-18 00:00:00.000,0.0001
2024-12-18 08:00:00.000,9.102e-05
2024-12-18 16:00:00.000,6.23e-06
2024-12-19 00:00:00.000,-3.6e-05
2024-12-19 08:00:00.000,-1.903e-05
2024-12-19 16:00:00.000,1.572e-05
2024-12-20 00:00:00.000,-1.795e-05
2024-12-20 08:00:00.001,-2.757e-05
2024-12-20 16:00:00.014,-6.045e-05
2024-12-21 00:00:00.000,-0.00018625
2024-12-21 08:00:00.000,-0.00013946
2024-12-21 16:00:00.001,-4.2e-05
2024-12-22 00:00:00.000,-0.00011655
2024-12-22 08:00:00.000,2.97e-05
2024-12-22 16:00:00.000,-0.00010865
2024-12-23 00:00:00.000,-5.764e-05
2024-12-23 08:00:00.000,-2.514e-05
2024-12-23 16:00:00.001,-1.518e-05
2024-12-24 00:00:00.000,4.56e-06
2024-12-24 08:00:00.000,-8.87e-06
2024-12-24 16:00:00.001,-2.528e-05
2024-12-25 00:00:00.001,-1.032e-05
2024-12-25 08:00:00.000,-2.015e-05
2024-12-25 16:00:00.000,3.692e-05
2024-12-26 00:00:00.000,2.735e-05
2024-12-26 08:00:00.000,0.0001
2024-12-26 16:00:00.000,1.522e-05
2024-12-27 00:00:00.000,3.726e-05
2024-12-27 08:00:00.000,-2.625e-05
2024-12-27 16:00:00.000,-8.145e-05
2024-12-28 00:00:00.001,9.283e-05
2024-12-28 08:00:00.000,1.275e-05
2024-12-28 16:00:00.000,-9.03e-06
2024-12-29 00:00:00.000,7.78e-06
2024-12-29 08:00:00.000,-2.727e-05
2024-12-29 16:00:00.000,6.14e-05
2024-12-30 00:00:00.000,0.0001
2024-12-30 08:00:00.001,4.76e-05
2024-12-30 16:00:00.000,5.906e-05
2024-12-31 00:00:00.000,8.373e-05
2024-12-31 08:00:00.000,2.697e-05
2024-12-31 16:00:00.000,6.744e-05
2025-01-01 00:00:00.015,-5.587e-05
2025-01-01 08:00:00.000,-2.663e-05
2025-01-01 16:00:00.001,-1.487e-05
2025-01-02 00:00:00.000,0.0001
2025-01-02 08:00:00.006,0.0001
2025-01-02 16:00:00.000,9.337e-05
2025-01-03 00:00:00.000,0.0001
2025-01-03 08:00:00.000,-1.47e-05
2025-01-03 16:00:00.000,-7.967e-05
2025-01-04 00:00:00.000,-7.358e-05
2025-01-04 08:00:00.000,4.915e-05
2025-01-04 16:00:00.000,5.813e-05
