t,fundingRate
2024-11-14 08:00:00.000,0.0001
2024-11-14 16:00:00.000,0.0001
2024-11-15 00:00:00.000,0.00012768
2024-11-15 08:00:00.000,0.0001
2024-11-15 16:00:00.000,0.0001
2024-11-16 00:00:00.001,0.0001
2024-11-16 08:00:00.001,0.0001
2024-11-16 16:00:00.000,0.0001
2024-11-17 00:00:00.000,0.0001
2024-11-17 08:00:00.000,0.00013233
2024-11-17 16:00:00.001,0.00022751
2024-11-18 00:00:00.000,0.00016487
2024-11-18 08:00:00.000,0.00016708
2024-11-18 16:00:00.000,0.0001
2024-11-19 00:00:00.000,0.00023288
2024-11-19 08:00:00.000,0.00042458
2024-11-19 16:00:00.000,0.00015949
2024-11-20 00:00:00.003,0.00020062
2024-11-20 08:00:00.000,0.00022202
2024-11-20 16:00:00.000,0.0001
2024-11-21 00:00:00.001,9.931e-05
2024-11-21 08:00:00.000,0.0001
2024-11-21 16:00:00.001,0.0001
2024-11-22 00:00:00.000,0.00018524
2024-11-22 08:00:00.000,0.00025128
2024-11-22 16:00:00.001,0.00020255
2024-11-23 00:00:00.000,0.00011817
2024-11-23 08:00:00.000,0.0005532
2024-11-23 16:00:00.000,0.00044113
2024-11-24 00:00:00.001,0.00015682
2024-11-24 08:00:00.000,0.00036972
2024-11-24 16:00:00.000,0.0001
2024-11-25 00:00:00.000,0.00026519
2024-11-25 08:00:00.000,0.0001871
2024-11-25 16:00:00.000,0.0001
2024-11-26 00:00:00.000,0.0001
2024-11-26 08:00:00.000,0.0001
2024-11-26 16:00:00.000,0.0001
2024-11-27 00:00:00.000,0.0001
2024-11-27 08:00:00.000,0.0001
2024-11-27 16:00:00.001,0.0001
2024-11-28 00:00:00.000,0.0001
2024-11-28 08:00:00.000,0.0001
2024-11-28 16:00:00.000,0.0001
2024-11-29 00:00:00.000,0.0001
2024-11-29 08:00:00.000,0.0001
2024-11-29 16:00:00.000,0.0001
2024-11-30 00:00:00.000,0.00021851
2024-11-30 08:00:00.000,0.0002076
2024-11-30 16:00:00.000,0.0001
2024-12-01 00:00:00.000,0.00038608
2024-12-01 08:00:00.000,0.0001
2024-12-01 16:00:00.000,0.00036802
2024-12-02 00:00:00.001,0.00051878
2024-12-02 08:00:00.001,0.0001
2024-12-02 16:00:00.000,0.0001
2024-12-03 00:00:00.000,0.0002941
2024-12-03 08:00:00.000,0.0005569
2024-12-03 16:00:00.000,0.00024498
2024-12-04 00:00:00.000,0.0003838
2024-12-04 08:00:00.000,0.00024336
2024-12-04 16:00:00.000,0.00041268
2024-12-05 00:00:00.001,0.00012399
2024-12-05 08:00:00.000,0.00027465
2024-12-05 16:00:00.000,0.0001
2024-12-06 00:00:00.000,0.00047038
2024-12-06 08:00:00.000,0.00030621
2024-12-06 16:00:00.000,0.00024885
2024-12-07 00:00:00.000,0.00042474
2024-12-07 08:00:00.000,0.00033373
2024-12-07 16:00:00.000,0.00032807
2024-12-08 00:00:00.000,0.00055033
2024-12-08 08:00:00.000,0.00018242
2024-12-08 16:00:00.000,0.0001
2024-12-09 00:00:00.000,0.00032005
2024-12-09 08:00:00.000,0.00022178
2024-12-09 16:00:00.001,0.0001
2024-12-10 00:00:00.007,0.0001
2024-12-10 08:00:00.000,0.0001
2024-12-10 16:00:00.000,6.806e-05
2024-12-11 00:00:00.000,-0.00017787
2024-12-11 08:00:00.000,-1.475e-05
2024-12-11 16:00:00.001,-0.00015119
2024-12-12 00:00:00.001,0.0001
2024-12-12 08:00:00.000,0.0001
2024-12-12 16:00:00.001,0.0001
2024-12-13 00:00:00.000,0.0001
2024-12-13 08:00:00.000,0.0001
2024-12-13 16:00:00.001,3.187e-05
2024-12-14 00:00:00.000,0.0001
2024-12-14 08:00:00.000,9.074e-05
2024-12-14 16:00:00.000,7.937e-05
2024-12-15 00:00:00.000,3.559e-05
2024-12-15 08:00:00.000,8.857e-05
2024-12-15 16:00:00.000,-2.751e-05
2024-12-16 00:00:00.000,9.82e-05
2024-12-16 08:00:00.001,2.179e-05
2024-12-16 16:00:00.000,-2.065e-05
2024-12-17 00:00:00.000,0.0001
2024-12-17 08:00:00.000,0.0001
2024-12-17 16:00:00.000,0.0001
2024-12-18 00:00:00.000,0.0001
2024-12-18 08:00:00.000,5.356e-05
2024-12-18 16:00:00.000,1.322e-05
2024-12-19 00:00:00.000,-7.373e-05
2024-12-19 08:00:00.000,-0.00013661
2024-12-19 16:00:00.000,6.782e-05
2024-12-20 00:00:00.000,-0.00057416
2024-12-20 08:00:00.001,-9.592e-05
2024-12-20 16:00:00.014,-0.00038131
2024-12-21 00:00:00.000,0.0001
2024-12-21 08:00:00.000,0.0001
2024-12-21 16:00:00.001,0.0001
2024-12-22 00:00:00.000,-0.00025366
2024-12-22 08:00:00.000,-0.0003224
2024-12-22 16:00:00.000,-0.00051458
2024-12-23 00:00:00.000,-0.00027811
2024-12-23 08:00:00.000,-0.0003992
2024-12-23 16:00:00.001,-0.00033984
2024-12-24 00:00:00.000,-2.688e-05
2024-12-24 08:00:00.000,2.819e-05
2024-12-24 16:00:00.001,-7.497e-05
2024-12-25 00:00:00.001,-0.00020625
2024-12-25 08:00:00.000,-0.00017672
2024-12-25 16:00:00.000,-0.00034972
2024-12-26 00:00:00.000,-0.00013122
2024-12-26 08:00:00.000,-3.736e-05
2024-12-26 16:00:00.000,1.346e-05
2024-12-27 00:00:00.000,-0.00016133
2024-12-27 08:00:00.000,-0.00025695
2024-12-27 16:00:00.000,-0.00042029
2024-12-28 00:00:00.001,-4.045e-05
2024-12-28 08:00:00.000,-8.273e-05
2024-12-28 16:00:00.000,-0.00011548
2024-12-29 00:00:00.000,-4.247e-05
2024-12-29 08:00:00.000,9.206e-05
2024-12-29 16:00:00.000,0.0001
2024-12-30 00:00:00.000,0.0001
2024-12-30 08:00:00.001,5.503e-05
2024-12-30 16:00:00.000,4.305e-05
2024-12-31 00:00:00.000,-3.78e-05
2024-12-31 08:00:00.000,-0.00021269
2024-12-31 16:00:00.000,-0.00024266
2025-01-01 00:00:00.015,-0.00013119
