t,fundingRate
2024-11-14 08:00:00.000,0.00012866
2024-11-14 16:00:00.000,0.0001
2024-11-15 00:00:00.000,0.0001
2024-11-15 08:00:00.000,0.0001
2024-11-15 16:00:00.000,0.0001
2024-11-16 00:00:00.001,0.0001
2024-11-16 08:00:00.001,0.0001
2024-11-16 16:00:00.000,0.00023253
2024-11-17 00:00:00.000,0.00011629
2024-11-17 08:00:00.000,0.00026243
2024-11-17 16:00:00.001,0.0001
2024-11-18 00:00:00.000,0.00038856
2024-11-18 08:00:00.000,0.00027001
2024-11-18 16:00:00.000,0.00020578
2024-11-19 00:00:00.000,0.0001
2024-11-19 08:00:00.000,0.00043411
2024-11-19 16:00:00.000,0.0001
2024-11-20 00:00:00.003,0.0001
2024-11-20 08:00:00.000,0.0001
2024-11-20 16:00:00.000,0.0001
2024-11-21 00:00:00.001,0.0001
2024-11-21 08:00:00.000,0.0001
2024-11-21 16:00:00.001,0.0001
2024-11-22 00:00:00.000,0.0001
2024-11-22 08:00:00.000,0.0001
2024-11-22 16:00:00.001,0.00010391
2024-11-23 00:00:00.000,0.00018657
2024-11-23 08:00:00.000,0.00040225
2024-11-23 16:00:00.000,0.00041414
2024-11-24 00:00:00.001,0.00017491
2024-11-24 08:00:00.000,0.00046155
2024-11-24 16:00:00.000,0.0001
2024-11-25 00:00:00.000,0.00037801
2024-11-25 08:00:00.000,0.00022665
2024-11-25 16:00:00.000,0.0001
2024-11-26 00:00:00.000,0.0001
2024-11-26 08:00:00.000,0.0001
2024-11-26 16:00:00.000,0.0001
2024-11-27 00:00:00.000,0.0001
2024-11-27 08:00:00.000,0.0001
2024-11-27 16:00:00.001,0.00020384
2024-11-28 00:00:00.000,0.0001
2024-11-28 08:00:00.000,0.0001
2024-11-28 16:00:00.000,0.0001
2024-11-29 00:00:00.000,0.0001
2024-11-29 08:00:00.000,0.0001
2024-11-29 16:00:00.000,0.0001
2024-11-30 00:00:00.000,0.0001
2024-11-30 08:00:00.000,0.0001
2024-11-30 16:00:00.000,0.0001
2024-12-01 00:00:00.000,0.0001
2024-12-01 08:00:00.000,0.0001
2024-12-01 16:00:00.000,0.00032068
2024-12-02 00:00:00.001,0.0001
2024-12-02 08:00:00.001,0.00042369
2024-12-02 16:00:00.000,0.00030024
2024-12-03 00:00:00.000,0.0004335
2024-12-03 08:00:00.000,0.00051035
2024-12-03 16:00:00.000,0.00030379
2024-12-04 00:00:00.000,0.0003831
2024-12-04 08:00:00.000,0.0003874
2024-12-04 16:00:00.000,0.00059058
2024-12-05 00:00:00.001,0.00040976
2024-12-05 08:00:00.000,0.00061242
2024-12-05 16:00:00.000,0.00035533
2024-12-06 00:00:00.000,0.00048052
2024-12-06 08:00:00.000,0.00058151
2024-12-06 16:00:00.000,0.00024374
2024-12-07 00:00:00.000,0.00041718
2024-12-07 08:00:00.000,0.000386
2024-12-07 16:00:00.000,0.00044577
2024-12-08 00:00:00.000,0.00045958
2024-12-08 08:00:00.000,0.00034963
2024-12-08 16:00:00.000,0.00055086
2024-12-09 00:00:00.000,0.00059606
2024-12-09 08:00:00.000,0.0001414
2024-12-09 16:00:00.001,0.0001
2024-12-10 00:00:00.007,0.0001
2024-12-10 08:00:00.000,0.0001
2024-12-10 16:00:00.000,0.0001
2024-12-11 00:00:00.000,0.0001
2024-12-11 08:00:00.000,0.0001
2024-12-11 16:00:00.001,0.0001
2024-12-12 00:00:00.001,6.839e-05
2024-12-12 08:00:00.000,0.0001
2024-12-12 16:00:00.001,0.0001
2024-12-13 00:00:00.000,0.0001
2024-12-13 08:00:00.000,9.44e-05
2024-12-13 16:00:00.001,8.484e-05
2024-12-14 00:00:00.000,0.0001
2024-12-14 08:00:00.000,0.0001
2024-12-14 16:00:00.000,0.0001
2024-12-15 00:00:00.000,0.0001
2024-12-15 08:00:00.000,-9.803e-05
2024-12-15 16:00:00.000,0.0001
2024-12-16 00:00:00.000,0.0001
2024-12-16 08:00:00.001,0.0001
2024-12-16 16:00:00.000,6.058e-05
2024-12-17 00:00:00.000,0.0001
2024-12-17 08:00:00.000,2.762e-05
2024-12-17 16:00:00.000,9.636e-05
2024-12-18 00:00:00.000,-8.73e-06
2024-12-18 08:00:00.000,-5.224e-05
2024-12-18 16:00:00.000,1.551e-05
2024-12-19 00:00:00.000,-0.00032114
2024-12-19 08:00:00.000,0.0001
2024-12-19 16:00:00.000,0.0001
2024-12-20 00:00:00.000,-0.00013253
2024-12-20 08:00:00.001,-6.13e-05
2024-12-20 16:00:00.014,0.0001
2024-12-21 00:00:00.000,0.0001
2024-12-21 08:00:00.000,0.0001
2024-12-21 16:00:00.001,-0.00020414
2024-12-22 00:00:00.000,-0.00022421
2024-12-22 08:00:00.000,6.172e-05
2024-12-22 16:00:00.000,0.0001
2024-12-23 00:00:00.000,-7.682e-05
2024-12-23 08:00:00.000,0.0001
2024-12-23 16:00:00.001,0.0001
2024-12-24 00:00:00.000,0.0001
2024-12-24 08:00:00.000,0.0001
2024-12-24 16:00:00.001,0.0001
2024-12-25 00:00:00.001,0.0001
2024-12-25 08:00:00.000,0.0001
2024-12-25 16:00:00.000,0.0001
2024-12-26 00:00:00.000,0.0001
2024-12-26 08:00:00.000,9.77e-06
2024-12-26 16:00:00.000,8.943e-05
2024-12-27 00:00:00.000,0.0001
2024-12-27 08:00:00.000,0.0001
2024-12-27 16:00:00.000,0.0001
2024-12-28 00:00:00.001,0.0001
2024-12-28 08:00:00.000,-1.468e-05
