t,fundingRate
2024-11-14 08:00:00.000,0.0001
2024-11-14 16:00:00.000,0.0001
2024-11-15 00:00:00.000,0.0001
2024-11-15 08:00:00.000,0.0001
2024-11-15 16:00:00.000,0.0001
2024-11-16 00:00:00.001,0.0001
2024-11-16 08:00:00.001,0.0001
2024-11-16 16:00:00.000,0.00013577
2024-11-17 00:00:00.000,0.0001
2024-11-17 08:00:00.000,0.0001
2024-11-17 16:00:00.001,0.00016418
2024-11-18 00:00:00.000,0.0001
2024-11-18 08:00:00.000,0.00020489
2024-11-18 16:00:00.000,0.0001901
2024-11-19 00:00:00.000,0.00012388
2024-11-19 08:00:00.000,0.00029908
2024-11-19 16:00:00.000,0.00021138
2024-11-20 00:00:00.003,0.00011115
2024-11-20 08:00:00.000,0.0001
2024-11-20 16:00:00.000,0.0001
2024-11-21 00:00:00.001,0.0001
2024-11-21 08:00:00.000,0.0001
2024-11-21 16:00:00.001,0.0001
2024-11-22 00:00:00.000,0.0001
2024-11-22 08:00:00.000,0.00015695
2024-11-22 16:00:00.001,0.00020375
2024-11-23 00:00:00.000,0.00015673
2024-11-23 08:00:00.000,0.00034956
2024-11-23 16:00:00.000,0.00037251
2024-11-24 00:00:00.001,0.00028777
2024-11-24 08:00:00.000,0.00029738
2024-11-24 16:00:00.000,0.00020256
2024-11-25 00:00:00.000,0.00026497
2024-11-25 08:00:00.000,0.00018378
2024-11-25 16:00:00.000,0.00021439
2024-11-26 00:00:00.000,0.00018165
2024-11-26 08:00:00.000,0.0001
2024-11-26 16:00:00.000,0.0001
2024-11-27 00:00:00.000,0.00013925
2024-11-27 08:00:00.000,0.00017515
2024-11-27 16:00:00.001,0.00028864
2024-11-28 00:00:00.000,0.00019005
2024-11-28 08:00:00.000,0.0001
2024-11-28 16:00:00.000,0.0001
2024-11-29 00:00:00.000,0.00023229
2024-11-29 08:00:00.000,0.00022307
2024-11-29 16:00:00.000,0.00014661
2024-11-30 00:00:00.000,0.00016881
2024-11-30 08:00:00.000,0.00012541
2024-11-30 16:00:00.000,0.00010898
2024-12-01 00:00:00.000,0.00025219
2024-12-01 08:00:00.000,0.0001889
2024-12-01 16:00:00.000,0.00027384
2024-12-02 00:00:00.001,0.00037108
2024-12-02 08:00:00.001,0.0001706
2024-12-02 16:00:00.000,0.00029607
2024-12-03 00:00:00.000,0.00032871
2024-12-03 08:00:00.000,0.00029555
2024-12-03 16:00:00.000,0.00028507
2024-12-04 00:00:00.000,0.00045432
2024-12-04 08:00:00.000,0.00048495
2024-12-04 16:00:00.000,0.00043843
2024-12-05 00:00:00.001,0.00033262
2024-12-05 08:00:00.000,0.00051631
2024-12-05 16:00:00.000,0.00040979
2024-12-06 00:00:00.000,0.00036547
2024-12-06 08:00:00.000,0.00034272
2024-12-06 16:00:00.000,0.00023898
2024-12-07 00:00:00.000,0.00055069
2024-12-07 08:00:00.000,0.00029504
2024-12-07 16:00:00.000,0.00027345
2024-12-08 00:00:00.000,0.00038534
2024-12-08 08:00:00.000,0.00036933
2024-12-08 16:00:00.000,0.00038101
2024-12-09 00:00:00.000,0.00019938
2024-12-09 08:00:00.000,0.00029092
2024-12-09 16:00:00.001,0.0001
2024-12-10 00:00:00.007,0.0001
2024-12-10 08:00:00.000,0.0001
2024-12-10 16:00:00.000,0.0001
2024-12-11 00:00:00.000,0.0001
2024-12-11 08:00:00.000,0.0001
2024-12-11 16:00:00.001,0.0001
2024-12-12 00:00:00.001,0.0001
2024-12-12 08:00:00.000,0.0001
2024-12-12 16:00:00.001,0.0001
2024-12-13 00:00:00.000,0.0001
2024-12-13 08:00:00.000,0.0001
2024-12-13 16:00:00.001,0.0001
2024-12-14 00:00:00.000,0.0001
2024-12-14 08:00:00.000,0.0001
2024-12-14 16:00:00.000,0.0001
2024-12-15 00:00:00.000,0.0001
2024-12-15 08:00:00.000,0.0001
2024-12-15 16:00:00.000,0.0001
2024-12-16 00:00:00.000,0.0001
2024-12-16 08:00:00.001,0.0001
2024-12-16 16:00:00.000,0.0001
2024-12-17 00:00:00.000,0.0001
2024-12-17 08:00:00.000,0.0001
2024-12-17 16:00:00.000,0.0001
2024-12-18 00:00:00.000,0.0001
2024-12-18 08:00:00.000,0.0001
2024-12-18 16:00:00.000,0.0001
2024-12-19 00:00:00.000,0.0001
2024-12-19 08:00:00.000,0.0001
2024-12-19 16:00:00.000,0.0001
2024-12-20 00:00:00.000,0.0001
2024-12-20 08:00:00.001,0.0001
2024-12-20 16:00:00.014,9.169e-05
2024-12-21 00:00:00.000,0.0001
2024-12-21 08:00:00.000,0.0001
2024-12-21 16:00:00.001,0.0001
2024-12-22 00:00:00.000,1.048e-05
2024-12-22 08:00:00.000,4.283e-05
2024-12-22 16:00:00.000,2.815e-05
2024-12-23 00:00:00.000,9.693e-05
2024-12-23 08:00:00.000,0.0001
2024-12-23 16:00:00.001,6.243e-05
2024-12-24 00:00:00.000,0.0001
2024-12-24 08:00:00.000,0.0001
2024-12-24 16:00:00.001,0.0001
2024-12-25 00:00:00.001,0.0001
2024-12-25 08:00:00.000,0.0001
2024-12-25 16:00:00.000,7.476e-05
2024-12-26 00:00:00.000,5.336e-05
2024-12-26 08:00:00.000,0.0001
2024-12-26 16:00:00.000,7.551e-05
2024-12-27 00:00:00.000,1.041e-05
2024-12-27 08:00:00.000,9.573e-05
2024-12-27 16:00:00.000,0.0001
2024-12-28 00:00:00.001,0.0001
2024-12-28 08:00:00.000,0.0001
2024-12-28 16:00:00.000,0.0001
2024-12-29 00:00:00.000,0.0001
2024-12-29 08:00:00.000,0.0001
2024-12-29 16:00:00.000,0.0001
2024-12-30 00:00:00.000,0.0001
2024-12-30 08:00:00.001,0.0001
2024-12-30 16:00:00.000,0.0001
2024-12-31 00:00:00.000,0.0001
2024-12-31 08:00:00.000,0.0001
2024-12-31 16:00:00.000,0.0001
2025-01-01 00:00:00.015,0.0001
2025-01-01 08:00:00.000,0.0001
2025-01-01 16:00:00.001,0.0001
2025-01-02 00:00:00.000,0.0001
2025-01-02 08:00:00.006,0.0001
