t,fundingRate
2024-11-14 08:00:00.000,0.0001
2024-11-14 16:00:00.000,0.0001
2024-11-15 00:00:00.000,0.0001
2024-11-15 08:00:00.000,0.0001
2024-11-15 16:00:00.000,0.0001
2024-11-16 00:00:00.001,0.0001
2024-11-16 08:00:00.001,0.00012165
2024-11-16 16:00:00.000,0.00011073
2024-11-17 00:00:00.000,0.0001
2024-11-17 08:00:00.000,0.0001
2024-11-17 16:00:00.001,0.0001
2024-11-18 00:00:00.000,0.00014563
2024-11-18 08:00:00.000,0.0001
2024-11-18 16:00:00.000,0.0001
2024-11-19 00:00:00.000,0.0001
2024-11-19 08:00:00.000,0.0001
2024-11-19 16:00:00.000,0.00016732
2024-11-20 00:00:00.003,0.0001
2024-11-20 08:00:00.000,0.00012792
2024-11-20 16:00:00.000,0.0001
2024-11-21 00:00:00.001,0.0001
2024-11-21 08:00:00.000,0.0001
2024-11-21 16:00:00.001,0.0001
2024-11-22 00:00:00.000,0.0001
2024-11-22 08:00:00.000,0.00022714
2024-11-22 16:00:00.001,0.00010277
2024-11-23 00:00:00.000,0.0001
2024-11-23 08:00:00.000,0.00031023
2024-11-23 16:00:00.000,0.00037508
2024-11-24 00:00:00.001,0.00031439
2024-11-24 08:00:00.000,0.0001
2024-11-24 16:00:00.000,0.00031698
2024-11-25 00:00:00.000,-8.675e-05
2024-11-25 08:00:00.000,0.0001
2024-11-25 16:00:00.000,0.0001
2024-11-26 00:00:00.000,0.0001
2024-11-26 08:00:00.000,0.0001
2024-11-26 16:00:00.000,0.0001
2024-11-27 00:00:00.000,0.0001
2024-11-27 08:00:00.000,0.00019381
2024-11-27 16:00:00.001,-8.875e-05
2024-11-28 00:00:00.000,0.0001
2024-11-28 08:00:00.000,0.0001
2024-11-28 16:00:00.000,0.0001
2024-11-29 00:00:00.000,0.0001
2024-11-29 08:00:00.000,0.0001
2024-11-29 16:00:00.000,0.0001
2024-11-30 00:00:00.000,0.00027912
2024-11-30 08:00:00.000,0.0001
2024-11-30 16:00:00.000,-0.00024801
2024-12-01 00:00:00.000,0.0001
2024-12-01 08:00:00.000,0.0001
2024-12-01 16:00:00.000,0.0001
2024-12-02 00:00:00.001,0.00039572
2024-12-02 08:00:00.001,0.0001
2024-12-02 16:00:00.000,0.0001
2024-12-03 00:00:00.000,0.00013266
2024-12-03 08:00:00.000,0.00038509
2024-12-03 16:00:00.000,0.0001
2024-12-04 00:00:00.000,0.0001
2024-12-04 08:00:00.000,0.0001779
2024-12-04 16:00:00.000,0.00036713
2024-12-05 00:00:00.001,0.00030483
2024-12-05 08:00:00.000,0.00065087
2024-12-05 16:00:00.000,0.00064476
2024-12-06 00:00:00.000,0.00041207
2024-12-06 08:00:00.000,0.00065367
2024-12-06 16:00:00.000,0.00043847
2024-12-07 00:00:00.000,0.00039622
2024-12-07 08:00:00.000,0.00064924
2024-12-07 16:00:00.000,0.00059053
2024-12-08 00:00:00.000,0.00055449
2024-12-08 08:00:00.000,0.00031395
2024-12-08 16:00:00.000,0.00036102
2024-12-09 00:00:00.000,0.00052576
2024-12-09 08:00:00.000,0.00027807
2024-12-09 16:00:00.001,0.0001
2024-12-10 00:00:00.007,0.0001
2024-12-10 08:00:00.000,0.0001
2024-12-10 16:00:00.000,0.0001
2024-12-11 00:00:00.000,0.0001
2024-12-11 08:00:00.000,0.0001
2024-12-11 16:00:00.001,6.811e-05
2024-12-12 00:00:00.001,5.877e-05
2024-12-12 08:00:00.000,0.0001
2024-12-12 16:00:00.001,0.0001
2024-12-13 00:00:00.000,0.0001
2024-12-13 08:00:00.000,0.0001
2024-12-13 16:00:00.001,0.0001
2024-12-14 00:00:00.000,0.0001
2024-12-14 08:00:00.000,0.0001
2024-12-14 16:00:00.000,8.709e-05
2024-12-15 00:00:00.000,-6.732e-05
2024-12-15 08:00:00.000,0.0001
2024-12-15 16:00:00.000,0.0001
2024-12-16 00:00:00.000,0.0001
2024-12-16 08:00:00.001,0.0001
2024-12-16 16:00:00.000,0.0001
2024-12-17 00:00:00.000,0.0001
2024-12-17 08:00:00.000,0.0001
2024-12-17 16:00:00.000,0.0001
2024-12-18 00:00:00.000,0.0001
2024-12-18 08:00:00.000,-0.00022321
2024-12-18 16:00:00.000,0.0001
2024-12-19 00:00:00.000,-0.00011623
2024-12-19 08:00:00.000,3.474e-05
2024-12-19 16:00:00.000,7.01e-06
2024-12-20 00:00:00.000,-0.00070374
2024-12-20 08:00:00.001,1.796e-05
2024-12-20 16:00:00.014,-0.00014667
2024-12-21 00:00:00.000,0.0001
2024-12-21 08:00:00.000,0.0001
2024-12-21 16:00:00.001,5.075e-05
2024-12-22 00:00:00.000,4.06e-06
2024-12-22 08:00:00.000,0.0001
2024-12-22 16:00:00.000,8.369e-05
2024-12-23 00:00:00.000,0.0001
2024-12-23 08:00:00.000,9.053e-05
2024-12-23 16:00:00.001,6.695e-05
2024-12-24 00:00:00.000,0.0001
2024-12-24 08:00:00.000,0.0001
2024-12-24 16:00:00.001,0.0001
2024-12-25 00:00:00.001,0.0001
2024-12-25 08:00:00.000,0.0001
2024-12-25 16:00:00.000,0.0001
2024-12-26 00:00:00.000,0.0001
2024-12-26 08:00:00.000,0.0001
2024-12-26 16:00:00.000,9.794e-05
2024-12-27 00:00:00.000,0.0001
2024-12-27 08:00:00.000,0.0001
2024-12-27 16:00:00.000,2.798e-05
2024-12-28 00:00:00.001,0.0001
2024-12-28 08:00:00.000,0.0001
2024-12-28 16:00:00.000,0.0001
2024-12-29 00:00:00.000,0.0001
2024-12-29 08:00:00.000,0.0001
2024-12-29 16:00:00.000,0.0001
2024-12-30 00:00:00.000,0.0001
2024-12-30 08:00:00.001,0.0001
2024-12-30 16:00:00.000,9.005e-05
2024-12-31 00:00:00.000,0.0001
2024-12-31 08:00:00.000,0.0001
2024-12-31 16:00:00.000,0.0001
2025-01-01 00:00:00.015,0.0001
2025-01-01 08:00:00.000,-0.00011182
2025-01-01 16:00:00.001,-0.00027731
2025-01-02 00:00:00.000,0.0001
2025-01-02 08:00:00.006,0.0001
