t,fundingRate
2024-11-14 08:00:00.000,0.00011273
2024-11-14 16:00:00.000,0.00020405
2024-11-15 00:00:00.000,0.0001337
2024-11-15 08:00:00.000,0.0001
2024-11-15 16:00:00.000,0.0001
2024-11-16 00:00:00.001,0.0001
2024-11-16 08:00:00.001,0.0001
2024-11-16 16:00:00.000,0.00025348
2024-11-17 00:00:00.000,0.00013756
2024-11-17 08:00:00.000,0.00020468
2024-11-17 16:00:00.001,0.00021541
2024-11-18 00:00:00.000,0.00014936
2024-11-18 08:00:00.000,0.00017906
2024-11-18 16:00:00.000,0.0002213
2024-11-19 00:00:00.000,0.00016154
2024-11-19 08:00:00.000,0.00032269
2024-11-19 16:00:00.000,0.00012411
2024-11-20 00:00:00.003,0.00019145
2024-11-20 08:00:00.000,0.0001
2024-11-20 16:00:00.000,0.00013761
2024-11-21 00:00:00.001,0.0001
2024-11-21 08:00:00.000,0.0001
2024-11-21 16:00:00.001,0.0001
2024-11-22 00:00:00.000,0.00017976
2024-11-22 08:00:00.000,0.00042066
2024-11-22 16:00:00.001,0.0001
2024-11-23 00:00:00.000,0.000213
2024-11-23 08:00:00.000,0.00019987
2024-11-23 16:00:00.000,0.00029953
2024-11-24 00:00:00.001,0.0001
2024-11-24 08:00:00.000,0.0002623
2024-11-24 16:00:00.000,0.00023222
2024-11-25 00:00:00.000,0.0001
2024-11-25 08:00:00.000,0.0001
2024-11-25 16:00:00.000,0.0001607
2024-11-26 00:00:00.000,0.0001
2024-11-26 08:00:00.000,0.0001
2024-11-26 16:00:00.000,0.0001
2024-11-27 00:00:00.000,0.0001
2024-11-27 08:00:00.000,0.0001
2024-11-27 16:00:00.001,0.0001
2024-11-28 00:00:00.000,0.00029799
2024-11-28 08:00:00.000,0.00025844
2024-11-28 16:00:00.000,0.00012197
2024-11-29 00:00:00.000,0.00033036
2024-11-29 08:00:00.000,0.0002402
2024-11-29 16:00:00.000,0.00019614
2024-11-30 00:00:00.000,0.00011631
2024-11-30 08:00:00.000,0.0001
2024-11-30 16:00:00.000,0.0001834
2024-12-01 00:00:00.000,0.0001
2024-12-01 08:00:00.000,0.0001
2024-12-01 16:00:00.000,0.0001
2024-12-02 00:00:00.001,0.00038336
2024-12-02 08:00:00.001,0.00030395
2024-12-02 16:00:00.000,0.00012545
2024-12-03 00:00:00.000,0.0001
2024-12-03 08:00:00.000,0.0001094
2024-12-03 16:00:00.000,0.00031216
2024-12-04 00:00:00.000,0.0001
2024-12-04 08:00:00.000,0.0001
2024-12-04 16:00:00.000,0.00014023
2024-12-05 00:00:00.001,0.00035884
2024-12-05 08:00:00.000,0.00065561
2024-12-05 16:00:00.000,0.00067031
2024-12-06 00:00:00.000,0.00037393
2024-12-06 08:00:00.000,0.00040861
2024-12-06 16:00:00.000,0.00016716
2024-12-07 00:00:00.000,0.00032472
2024-12-07 08:00:00.000,0.00025537
2024-12-07 16:00:00.000,0.0003042
