t,open,high,low,close,vol
2026-08-08 05:50:00,0.201,0.2012,0.2009,0.201,746202.0
2026-08-08 05:55:00,0.2009,0.2013,0.2004,0.2005,1717089.0
2026-08-08 06:00:00,0.2005,0.2007,0.2003,0.2003,1176510.0
2026-08-08 06:05:00,0.2003,0.2004,0.2,0.2001,2065318.0
2026-08-08 06:10:00,0.2,0.2001,0.1998,0.1998,1609835.0
2026-08-08 06:15:00,0.1998,0.2,0.1996,0.1999,1730704.0
2026-08-08 06:20:00,0.1999,0.1999,0.1996,0.1997,994608.0
2026-08-08 06:25:00,0.1997,0.1998,0.1996,0.1997,1349734.0
2026-08-08 06:30:00,0.1998,0.2,0.1996,0.1998,809677.0
2026-08-08 06:35:00,0.1998,0.2001,0.1998,0.2001,843213.0
2026-08-08 06:40:00,0.2001,0.2001,0.1997,0.1998,1347545.0
2026-08-08 06:45:00,0.1998,0.1998,0.1995,0.1998,863467.0
2026-08-08 06:50:00,0.1997,0.1999,0.1996,0.1996,1037059.0
2026-08-08 06:55:00,0.1997,0.2,0.1996,0.1998,586479.0
2026-08-08 07:00:00,0.1997,0.1998,0.1997,0.1998,247501.0
2026-08-08 07:05:00,0.1997,0.2,0.1994,0.1997,2847438.0
2026-08-08 07:10:00,0.1998,0.1998,0.1994,0.1994,758793.0
2026-08-08 07:15:00,0.1994,0.1995,0.1992,0.1994,941622.0
2026-08-08 07:20:00,0.1993,0.1994,0.1988,0.199,2923116.0
2026-08-08 07:25:00,0.199,0.1993,0.199,0.1991,1565755.0
2026-08-08 07:30:00,0.1991,0.1992,0.1989,0.199,1010409.0
2026-08-08 07:35:00,0.199,0.1993,0.199,0.199,1390912.0
2026-08-08 07:40:00,0.1991,0.1992,0.1989,0.1989,890024.0
2026-08-08 07:45:00,0.199,0.1991,0.1989,0.1989,1498954.0
2026-08-08 07:50:00,0.1989,0.1993,0.1989,0.1993,627998.0
2026-08-08 07:55:00,0.1994,0.2001,0.1993,0.2001,1938117.0
2026-08-08 08:00:00,0.2,0.2002,0.1997,0.1997,2310717.0
2026-08-08 08:05:00,0.1997,0.1999,0.1996,0.1997,806901.0
2026-08-08 08:10:00,0.1997,0.2,0.1996,0.2,734758.0
