t,open,high,low,close,vol
2026-08-08 05:50:00,0.591,0.5913,0.59,0.5905,31228.5
2026-08-08 05:55:00,0.5905,0.5909,0.5899,0.5902,67872.0
2026-08-08 06:00:00,0.5902,0.5921,0.5902,0.5913,112542.1
2026-08-08 06:05:00,0.5913,0.5917,0.5907,0.5914,100620.7
2026-08-08 06:10:00,0.5914,0.5914,0.5911,0.5911,16337.3
2026-08-08 06:15:00,0.591,0.5911,0.5903,0.5904,43826.9
2026-08-08 06:20:00,0.5903,0.5905,0.5901,0.5905,32172.4
2026-08-08 06:25:00,0.5905,0.591,0.5905,0.5909,46485.3
2026-08-08 06:30:00,0.5909,0.5915,0.5907,0.5914,16960.4
2026-08-08 06:35:00,0.5914,0.5922,0.5912,0.5921,33706.3
2026-08-08 06:40:00,0.5921,0.5928,0.5921,0.5926,37080.4
2026-08-08 06:45:00,0.5926,0.594,0.5925,0.5937,108032.2
2026-08-08 06:50:00,0.5938,0.5946,0.5932,0.5933,38553.3
2026-08-08 06:55:00,0.5933,0.5941,0.5932,0.5936,37228.6
2026-08-08 07:00:00,0.5936,0.5944,0.5935,0.5943,33423.7
2026-08-08 07:05:00,0.5943,0.5947,0.5931,0.5933,161161.2
2026-08-08 07:10:00,0.5932,0.594,0.5918,0.5934,152655.4
2026-08-08 07:15:00,0.5934,0.5935,0.5924,0.5926,41150.1
2026-08-08 07:20:00,0.5927,0.5931,0.5924,0.5928,44901.7
2026-08-08 07:25:00,0.5929,0.5934,0.5928,0.5933,33995.1
2026-08-08 07:30:00,0.5933,0.5935,0.5922,0.5933,84448.8
2026-08-08 07:35:00,0.5933,0.5941,0.5931,0.5938,49632.7
2026-08-08 07:40:00,0.5939,0.5948,0.5939,0.5946,83827.1
2026-08-08 07:45:00,0.5946,0.5957,0.5945,0.5948,60786.9
2026-08-08 07:50:00,0.5949,0.5953,0.5945,0.5948,52717.8
2026-08-08 07:55:00,0.5948,0.5952,0.5946,0.5952,28404.1
2026-08-08 08:00:00,0.5952,0.5956,0.5946,0.5951,101741.7
2026-08-08 08:05:00,0.5951,0.5964,0.5945,0.5946,74790.6
2026-08-08 08:10:00,0.5946,0.5949,0.5938,0.5943,39455.7
2026-08-08 08:15:00,0.5942,0.5951,0.5942,0.595,37385.9
2026-08-08 08:20:00,0.595,0.5954,0.5944,0.5953,36818.7
2026-08-08 08:25:00,0.5953,0.5955,0.595,0.5951,17300.2
2026-08-08 08:30:00,0.595,0.5966,0.5948,0.5962,38389.2
