t,open,high,low,close,vol
2026-08-08 05:50:00,0.8221,0.8222,0.8207,0.821,38770.8
2026-08-08 05:55:00,0.8209,0.821,0.8182,0.8182,132829.8
2026-08-08 06:00:00,0.8182,0.8197,0.8179,0.818,113836.8
2026-08-08 06:05:00,0.818,0.8183,0.8174,0.8176,56996.3
2026-08-08 06:10:00,0.8177,0.8187,0.8177,0.8181,50230.6
2026-08-08 06:15:00,0.8181,0.8185,0.8175,0.8175,28459.9
2026-08-08 06:20:00,0.8175,0.8176,0.8173,0.8173,10691.4
2026-08-08 06:25:00,0.8174,0.818,0.8172,0.818,39303.3
2026-08-08 06:30:00,0.8179,0.8184,0.8178,0.8179,35873.2
2026-08-08 06:35:00,0.8179,0.8184,0.8179,0.8181,27243.4
2026-08-08 06:40:00,0.818,0.8199,0.8179,0.8197,166414.3
2026-08-08 06:45:00,0.8197,0.8203,0.819,0.819,37920.1
2026-08-08 06:50:00,0.819,0.8195,0.8189,0.819,19594.1
2026-08-08 06:55:00,0.8189,0.8192,0.8185,0.8185,10149.4
2026-08-08 07:00:00,0.8185,0.8194,0.8184,0.8185,64049.0
2026-08-08 07:05:00,0.8184,0.8191,0.818,0.8185,108358.8
2026-08-08 07:10:00,0.8184,0.819,0.8183,0.8186,37269.5
2026-08-08 07:15:00,0.8185,0.8185,0.8177,0.8179,25913.5
2026-08-08 07:20:00,0.8178,0.8181,0.8176,0.818,22547.6
2026-08-08 07:25:00,0.818,0.8182,0.8163,0.8166,99380.3
2026-08-08 07:30:00,0.8166,0.8172,0.8166,0.8172,33425.2
2026-08-08 07:35:00,0.8171,0.8173,0.817,0.8172,13067.3
2026-08-08 07:40:00,0.8172,0.8181,0.8171,0.8181,37858.4
2026-08-08 07:45:00,0.818,0.8189,0.818,0.8188,26286.0
2026-08-08 07:50:00,0.8189,0.8191,0.8181,0.8189,36529.1
2026-08-08 07:55:00,0.8189,0.819,0.8182,0.8189,37197.6
2026-08-08 08:00:00,0.8189,0.8194,0.8178,0.8178,90720.7
2026-08-08 08:05:00,0.8179,0.8179,0.8173,0.8178,37449.1
2026-08-08 08:10:00,0.8177,0.8189,0.8177,0.8187,40656.1
2026-08-08 08:15:00,0.8187,0.819,0.8183,0.8183,14240.0
2026-08-08 08:20:00,0.8183,0.8188,0.8183,0.8186,27691.8
2026-08-08 08:25:00,0.8186,0.8193,0.8185,0.8193,12391.4
2026-08-08 08:30:00,0.8192,0.8196,0.8189,0.8192,37513.4
2026-08-08 08:35:00,0.8191,0.82,0.8191,0.8195,38242.9
2026-08-08 08:40:00,0.8195,0.8197,0.8187,0.8194,40928.6
2026-08-08 08:45:00,0.8194,0.8195,0.8184,0.8188,72213.7
2026-08-08 08:50:00,0.8187,0.8188,0.8179,0.8179,131642.2
2026-08-08 08:55:00,0.8179,0.818,0.817,0.817,51097.2
2026-08-08 09:00:00,0.817,0.8178,0.8167,0.8167,91484.2
2026-08-08 09:05:00,0.8167,0.8183,0.8166,0.8177,195792.7
2026-08-08 09:10:00,0.8176,0.8177,0.8168,0.8168,32717.7
2026-08-08 09:15:00,0.8169,0.8172,0.8165,0.8165,41192.9
2026-08-08 09:20:00,0.8165,0.8166,0.8155,0.8157,121264.6
2026-08-08 09:25:00,0.8157,0.8159,0.8156,0.8158,58395.3
2026-08-08 09:30:00,0.8158,0.8178,0.8158,0.8167,108158.6
2026-08-08 09:35:00,0.8166,0.817,0.816,0.816,42639.4
2026-08-08 09:40:00,0.816,0.8164,0.8151,0.8154,57189.5
2026-08-08 09:45:00,0.8154,0.8155,0.8143,0.8145,120536.9
2026-08-08 09:50:00,0.8146,0.8157,0.8144,0.8156,39413.2
2026-08-08 09:55:00,0.8157,0.8164,0.8153,0.8158,79836.7
2026-08-08 10:00:00,0.8159,0.8175,0.8159,0.8175,71138.1
2026-08-08 10:05:00,0.8174,0.8174,0.8163,0.8166,95656.4
2026-08-08 10:10:00,0.8166,0.8171,0.8163,0.8171,28294.3
2026-08-08 10:15:00,0.8171,0.8176,0.8169,0.8169,23256.1
2026-08-08 10:20:00,0.817,0.8174,0.8165,0.817,36975.0
2026-08-08 10:25:00,0.817,0.8177,0.817,0.8173,34866.4
2026-08-08 10:30:00,0.8173,0.8187,0.8171,0.8187,44744.8
2026-08-08 10:35:00,0.8186,0.8187,0.818,0.8186,40573.8
2026-08-08 10:40:00,0.8187,0.8193,0.8186,0.8188,27105.5
2026-08-08 10:45:00,0.8189,0.8191,0.8181,0.8182,27715.9
2026-08-08 10:50:00,0.8182,0.8197,0.8181,0.8192,25270.6
2026-08-08 10:55:00,0.8191,0.8195,0.819,0.8193,25752.7
2026-08-08 11:00:00,0.8192,0.8196,0.818,0.8189,84683.9
2026-08-08 11:05:00,0.819,0.8193,0.8179,0.8185,51281.1
2026-08-08 11:10:00,0.8184,0.8201,0.8184,0.8192,39023.2
2026-08-08 11:15:00,0.8191,0.8192,0.8183,0.8185,15348.8
2026-08-08 11:20:00,0.8185,0.8191,0.8183,0.8187,21660.7
2026-08-08 11:25:00,0.8187,0.8194,0.8187,0.8194,19508.6
2026-08-08 11:30:00,0.8194,0.8195,0.8189,0.8192,22854.8
2026-08-08 11:35:00,0.8192,0.8197,0.8192,0.8194,29345.6
2026-08-08 11:40:00,0.8193,0.8195,0.8189,0.8191,13059.4
2026-08-08 11:45:00,0.8192,0.8192,0.8189,0.8192,23067.6
2026-08-08 11:50:00,0.8193,0.8193,0.8181,0.8182,22917.4
2026-08-08 11:55:00,0.8183,0.8195,0.8183,0.8194,25570.7
2026-08-08 12:00:00,0.8194,0.8225,0.8193,0.8223,383194.4
2026-08-08 12:05:00,0.8222,0.8229,0.8207,0.8211,201979.4
2026-08-08 12:10:00,0.821,0.8214,0.8196,0.8211,261693.6
2026-08-08 12:15:00,0.8211,0.8216,0.8205,0.8209,107332.9
2026-08-08 12:20:00,0.821,0.8215,0.821,0.8215,18192.4
2026-08-08 12:25:00,0.8215,0.8215,0.821,0.8211,10949.6
2026-08-08 12:30:00,0.821,0.8215,0.8205,0.8212,116730.9
2026-08-08 12:35:00,0.8212,0.8213,0.82,0.8209,151871.3
2026-08-08 12:40:00,0.8209,0.8218,0.8206,0.8206,80202.3
2026-08-08 12:45:00,0.8207,0.8207,0.8201,0.8202,14291.9
2026-08-08 12:50:00,0.8201,0.8207,0.8201,0.8205,81544.3
2026-08-08 12:55:00,0.8206,0.8206,0.8188,0.8198,169425.4
2026-08-08 13:00:00,0.8198,0.82,0.8187,0.8188,49092.2
2026-08-08 13:05:00,0.8188,0.8197,0.8186,0.8189,192092.5
2026-08-08 13:10:00,0.8189,0.8191,0.8181,0.8182,62427.0
2026-08-08 13:15:00,0.8183,0.8187,0.8165,0.8165,97977.7
2026-08-08 13:20:00,0.8165,0.8171,0.8162,0.817,153773.4
2026-08-08 13:25:00,0.8169,0.8172,0.8165,0.8165,37149.6
2026-08-08 13:30:00,0.8165,0.8165,0.8156,0.8156,44979.3
2026-08-08 13:35:00,0.8156,0.816,0.8145,0.8145,196848.9
2026-08-08 13:40:00,0.8146,0.8154,0.813,0.8137,239531.9
2026-08-08 13:45:00,0.8138,0.8145,0.8136,0.8144,109489.7
2026-08-08 13:50:00,0.8143,0.815,0.8143,0.8147,69409.7
2026-08-08 13:55:00,0.8147,0.8152,0.8146,0.8151,25816.2
2026-08-08 14:00:00,0.8151,0.8155,0.8132,0.8144,212821.0
2026-08-08 14:05:00,0.8143,0.8152,0.8141,0.8145,71730.8
2026-08-08 14:10:00,0.8145,0.8147,0.8134,0.814,157347.7
2026-08-08 14:15:00,0.814,0.8146,0.8139,0.8145,33128.9
2026-08-08 14:20:00,0.8146,0.8163,0.8146,0.816,78519.6
2026-08-08 14:25:00,0.816,0.8166,0.816,0.8163,52660.8
