t,open,high,low,close,vol
2026-08-08 05:50:00,8.261,8.265,8.256,8.257,19065.24
2026-08-08 05:55:00,8.256,8.266,8.256,8.263,20782.94
2026-08-08 06:00:00,8.263,8.265,8.255,8.255,10786.63
2026-08-08 06:05:00,8.255,8.265,8.253,8.264,11685.6
2026-08-08 06:10:00,8.265,8.267,8.258,8.261,13841.72
2026-08-08 06:15:00,8.26,8.265,8.257,8.257,7653.66
2026-08-08 06:20:00,8.257,8.261,8.255,8.261,8435.51
2026-08-08 06:25:00,8.262,8.262,8.256,8.259,11872.89
2026-08-08 06:30:00,8.259,8.259,8.25,8.253,7997.32
2026-08-08 06:35:00,8.253,8.254,8.251,8.253,3163.33
2026-08-08 06:40:00,8.252,8.257,8.251,8.257,9444.42
2026-08-08 06:45:00,8.257,8.264,8.254,8.258,25352.58
2026-08-08 06:50:00,8.259,8.259,8.251,8.252,7341.88
2026-08-08 06:55:00,8.252,8.254,8.249,8.25,8547.48
2026-08-08 07:00:00,8.25,8.257,8.249,8.25,8420.68
2026-08-08 07:05:00,8.251,8.255,8.246,8.248,18901.74
2026-08-08 07:10:00,8.249,8.249,8.241,8.248,16312.7
2026-08-08 07:15:00,8.247,8.251,8.245,8.246,7422.17
2026-08-08 07:20:00,8.247,8.253,8.247,8.248,4831.08
2026-08-08 07:25:00,8.249,8.252,8.244,8.246,11691.12
2026-08-08 07:30:00,8.245,8.248,8.24,8.243,19767.35
2026-08-08 07:35:00,8.243,8.243,8.235,8.238,11762.14
2026-08-08 07:40:00,8.238,8.25,8.237,8.249,13362.01
2026-08-08 07:45:00,8.249,8.257,8.249,8.251,16126.68
2026-08-08 07:50:00,8.252,8.253,8.248,8.253,5464.22
2026-08-08 07:55:00,8.252,8.259,8.252,8.259,3256.33
2026-08-08 08:00:00,8.259,8.263,8.256,8.257,13923.93
2026-08-08 08:05:00,8.257,8.261,8.253,8.253,9484.73
2026-08-08 08:10:00,8.253,8.259,8.253,8.259,6427.69
2026-08-08 08:15:00,8.259,8.259,8.252,8.252,4901.34
2026-08-08 08:20:00,8.252,8.254,8.251,8.254,1834.68
2026-08-08 08:25:00,8.253,8.261,8.253,8.261,3738.92
2026-08-08 08:30:00,8.261,8.27,8.258,8.27,44351.17
2026-08-08 08:35:00,8.269,8.27,8.266,8.27,13528.82
2026-08-08 08:40:00,8.269,8.271,8.262,8.27,12155.91
2026-08-08 08:45:00,8.27,8.27,8.257,8.261,10871.72
2026-08-08 08:50:00,8.26,8.263,8.26,8.261,2726.4
2026-08-08 08:55:00,8.261,8.263,8.257,8.263,10579.62
2026-08-08 09:00:00,8.262,8.267,8.26,8.265,14237.01
2026-08-08 09:05:00,8.266,8.27,8.263,8.269,18572.19
2026-08-08 09:10:00,8.268,8.276,8.267,8.271,14384.0
2026-08-08 09:15:00,8.272,8.287,8.272,8.28,24509.92
2026-08-08 09:20:00,8.28,8.283,8.273,8.278,13646.18
2026-08-08 09:25:00,8.277,8.28,8.277,8.279,4477.7
2026-08-08 09:30:00,8.278,8.309,8.278,8.296,115824.31
2026-08-08 09:35:00,8.295,8.295,8.288,8.29,12864.99
2026-08-08 09:40:00,8.29,8.294,8.289,8.294,13082.91
2026-08-08 09:45:00,8.294,8.3,8.288,8.289,12366.4
2026-08-08 09:50:00,8.289,8.3,8.287,8.295,125367.78
2026-08-08 09:55:00,8.296,8.301,8.291,8.293,237805.84
2026-08-08 10:00:00,8.292,8.317,8.292,8.315,50630.89
2026-08-08 10:05:00,8.315,8.315,8.302,8.308,39214.55
2026-08-08 10:10:00,8.308,8.308,8.298,8.302,11243.7
2026-08-08 10:15:00,8.302,8.309,8.301,8.308,8312.34
2026-08-08 10:20:00,8.308,8.328,8.302,8.322,83836.9
2026-08-08 10:25:00,8.323,8.325,8.31,8.318,17915.47
2026-08-08 10:30:00,8.317,8.331,8.316,8.323,27633.61
2026-08-08 10:35:00,8.323,8.357,8.322,8.35,155347.78
2026-08-08 10:40:00,8.35,8.354,8.34,8.341,47166.58
2026-08-08 10:45:00,8.341,8.344,8.339,8.341,19019.08
2026-08-08 10:50:00,8.342,8.352,8.34,8.349,17499.24
2026-08-08 10:55:00,8.35,8.35,8.34,8.343,39318.31
2026-08-08 11:00:00,8.343,8.356,8.34,8.349,47803.48
2026-08-08 11:05:00,8.349,8.35,8.334,8.334,17875.41
2026-08-08 11:10:00,8.334,8.351,8.334,8.347,22632.5
2026-08-08 11:15:00,8.347,8.356,8.336,8.346,50420.03
2026-08-08 11:20:00,8.346,8.346,8.338,8.338,29896.1
2026-08-08 11:25:00,8.339,8.344,8.339,8.34,11462.19
2026-08-08 11:30:00,8.339,8.34,8.323,8.324,32685.79
2026-08-08 11:35:00,8.323,8.33,8.319,8.327,23317.72
2026-08-08 11:40:00,8.327,8.33,8.316,8.318,12552.57
2026-08-08 11:45:00,8.317,8.323,8.316,8.323,16305.13
2026-08-08 11:50:00,8.323,8.324,8.312,8.317,24135.78
2026-08-08 11:55:00,8.317,8.334,8.316,8.326,20518.77
2026-08-08 12:00:00,8.325,8.334,8.322,8.332,22335.63
2026-08-08 12:05:00,8.332,8.335,8.315,8.323,20024.25
2026-08-08 12:10:00,8.324,8.34,8.323,8.34,21947.62
2026-08-08 12:15:00,8.339,8.339,8.334,8.335,9055.24
2026-08-08 12:20:00,8.334,8.334,8.326,8.328,12929.58
2026-08-08 12:25:00,8.329,8.329,8.316,8.321,10839.19
2026-08-08 12:30:00,8.32,8.321,8.314,8.321,18200.33
2026-08-08 12:35:00,8.321,8.328,8.32,8.323,20701.66
2026-08-08 12:40:00,8.323,8.323,8.317,8.318,13262.35
2026-08-08 12:45:00,8.318,8.319,8.316,8.318,5733.44
2026-08-08 12:50:00,8.317,8.321,8.315,8.319,11410.11
2026-08-08 12:55:00,8.319,8.319,8.306,8.309,8993.74
2026-08-08 13:00:00,8.309,8.313,8.302,8.308,17336.8
2026-08-08 13:05:00,8.308,8.315,8.306,8.309,29316.75
2026-08-08 13:10:00,8.308,8.312,8.3,8.302,10729.86
2026-08-08 13:15:00,8.301,8.311,8.301,8.308,10617.87
2026-08-08 13:20:00,8.308,8.32,8.307,8.318,11974.44
2026-08-08 13:25:00,8.317,8.326,8.317,8.324,11621.71
2026-08-08 13:30:00,8.323,8.323,8.318,8.319,6770.11
2026-08-08 13:35:00,8.318,8.323,8.318,8.322,4766.56
2026-08-08 13:40:00,8.321,8.329,8.321,8.328,10871.91
2026-08-08 13:45:00,8.328,8.331,8.321,8.325,11093.52
2026-08-08 13:50:00,8.325,8.329,8.323,8.329,8221.4
2026-08-08 13:55:00,8.328,8.334,8.326,8.326,12412.04
2026-08-08 14:00:00,8.325,8.331,8.324,8.329,16374.41
2026-08-08 14:05:00,8.33,8.345,8.33,8.331,29661.25
2026-08-08 14:10:00,8.331,8.339,8.329,8.332,68320.2
2026-08-08 14:15:00,8.332,8.337,8.327,8.337,41209.86
2026-08-08 14:20:00,8.336,8.349,8.336,8.345,29293.12
2026-08-08 14:25:00,8.346,8.349,8.342,8.347,20401.03
2026-08-08 14:30:00,8.347,8.364,8.343,8.362,57526.51
2026-08-08 14:35:00,8.363,8.376,8.351,8.353,98959.12
2026-08-08 14:40:00,8.353,8.358,8.348,8.35,26729.91
2026-08-08 14:45:00,8.35,8.36,8.35,8.36,16559.94
2026-08-08 14:50:00,8.36,8.367,8.359,8.363,26372.74
2026-08-08 14:55:00,8.363,8.372,8.354,8.36,49601.8
2026-08-08 15:00:00,8.36,8.377,8.358,8.37,62001.68
2026-08-08 15:05:00,8.37,8.371,8.36,8.365,32822.76
2026-08-08 15:10:00,8.365,8.397,8.364,8.383,108427.21
2026-08-08 15:15:00,8.383,8.384,8.369,8.372,35216.6
2026-08-08 15:20:00,8.372,8.373,8.345,8.346,121787.15
2026-08-08 15:25:00,8.346,8.348,8.337,8.341,28927.04
2026-08-08 15:30:00,8.34,8.34,8.335,8.337,21664.15
2026-08-08 15:35:00,8.336,8.34,8.335,8.338,16063.38
2026-08-08 15:40:00,8.338,8.34,8.33,8.335,25149.13
2026-08-08 15:45:00,8.335,8.337,8.329,8.337,15226.74
2026-08-08 15:50:00,8.337,8.341,8.331,8.34,23634.83
2026-08-08 15:55:00,8.341,8.347,8.339,8.34,16663.62
2026-08-08 16:00:00,8.339,8.35,8.337,8.347,29938.99
2026-08-08 16:05:00,8.347,8.364,8.346,8.353,25685.98
2026-08-08 16:10:00,8.354,8.363,8.353,8.359,11861.02
2026-08-08 16:15:00,8.358,8.361,8.348,8.348,7753.81
2026-08-08 16:20:00,8.348,8.348,8.342,8.343,8392.94
2026-08-08 16:25:00,8.342,8.343,8.331,8.337,83566.78
2026-08-08 16:30:00,8.337,8.337,8.332,8.335,17213.01
2026-08-08 16:35:00,8.335,8.336,8.329,8.333,8733.24
2026-08-08 16:40:00,8.333,8.335,8.332,8.333,3211.2
2026-08-08 16:45:00,8.333,8.337,8.333,8.337,8939.1
2026-08-08 16:50:00,8.337,8.339,8.332,8.339,10825.77
2026-08-08 16:55:00,8.338,8.339,8.334,8.339,5048.93
2026-08-08 17:00:00,8.339,8.342,8.334,8.337,10752.52
2026-08-08 17:05:00,8.338,8.34,8.328,8.34,19349.35
2026-08-08 17:10:00,8.339,8.344,8.337,8.34,11361.2
2026-08-08 17:15:00,8.339,8.343,8.338,8.338,7279.67
2026-08-08 17:20:00,8.338,8.34,8.332,8.332,5025.75
2026-08-08 17:25:00,8.332,8.342,8.331,8.34,7438.14
2026-08-08 17:30:00,8.339,8.346,8.338,8.346,6127.35
2026-08-08 17:35:00,8.346,8.349,8.343,8.348,9067.41
2026-08-08 17:40:00,8.347,8.347,8.342,8.343,6896.25
2026-08-08 17:45:00,8.342,8.342,8.338,8.341,7235.3
2026-08-08 17:50:00,8.341,8.346,8.336,8.336,15655.74
2026-08-08 17:55:00,8.335,8.336,8.332,8.333,4358.67
2026-08-08 18:00:00,8.332,8.333,8.327,8.333,11915.12
2026-08-08 18:05:00,8.333,8.335,8.329,8.331,2319.86
2026-08-08 18:10:00,8.331,8.335,8.329,8.335,2013.93
2026-08-08 18:15:00,8.334,8.335,8.323,8.324,25015.24
2026-08-08 18:20:00,8.324,8.33,8.318,8.324,38219.06
2026-08-08 18:25:00,8.324,8.328,8.323,8.324,14221.54
2026-08-08 18:30:00,8.323,8.325,8.32,8.325,7729.06
2026-08-08 18:35:00,8.324,8.33,8.323,8.326,8276.76
2026-08-08 18:40:00,8.326,8.332,8.325,8.331,3963.45
2026-08-08 18:45:00,8.331,8.331,8.327,8.328,3384.51
2026-08-08 18:50:00,8.328,8.328,8.324,8.324,5732.24
2026-08-08 18:55:00,8.325,8.328,8.324,8.326,8210.84
2026-08-08 19:00:00,8.325,8.329,8.321,8.324,12070.15
2026-08-08 19:05:00,8.324,8.326,8.32,8.324,12040.42
2026-08-08 19:10:00,8.325,8.327,8.324,8.325,1292.0
2026-08-08 19:15:00,8.324,8.324,8.32,8.322,9130.02
2026-08-08 19:20:00,8.323,8.324,8.321,8.321,4093.16
2026-08-08 19:25:00,8.321,8.324,8.32,8.321,4300.08
2026-08-08 19:30:00,8.32,8.323,8.319,8.323,5724.4
