t,open,high,low,close,vol
2026-08-08 05:55:00,45.51,45.53,45.47,45.48,1466.581
2026-08-08 06:00:00,45.47,45.51,45.46,45.46,2107.31
2026-08-08 06:05:00,45.46,45.48,45.45,45.47,782.574
2026-08-08 06:10:00,45.47,45.5,45.47,45.5,942.154
2026-08-08 06:15:00,45.49,45.53,45.49,45.52,932.591
2026-08-08 06:20:00,45.52,45.55,45.52,45.54,1857.635
2026-08-08 06:25:00,45.54,45.57,45.53,45.56,936.165
2026-08-08 06:30:00,45.57,45.57,45.54,45.55,484.604
2026-08-08 06:35:00,45.54,45.55,45.54,45.55,298.456
2026-08-08 06:40:00,45.55,45.57,45.54,45.55,783.328
2026-08-08 06:45:00,45.56,45.56,45.55,45.56,163.798
2026-08-08 06:50:00,45.55,45.57,45.54,45.54,479.339
2026-08-08 06:55:00,45.54,45.55,45.53,45.54,576.413
2026-08-08 07:00:00,45.55,45.55,45.52,45.53,839.119
2026-08-08 07:05:00,45.53,45.54,45.51,45.51,533.707
2026-08-08 07:10:00,45.52,45.54,45.51,45.52,1103.35
2026-08-08 07:15:00,45.53,45.53,45.51,45.52,346.817
2026-08-08 07:20:00,45.52,45.53,45.52,45.53,415.828
2026-08-08 07:25:00,45.53,45.54,45.51,45.52,1174.472
2026-08-08 07:30:00,45.53,45.54,45.52,45.52,499.106
2026-08-08 07:35:00,45.53,45.54,45.52,45.53,1013.632
2026-08-08 07:40:00,45.54,45.55,45.49,45.52,1823.777
2026-08-08 07:45:00,45.52,45.53,45.51,45.52,279.864
2026-08-08 07:50:00,45.52,45.53,45.5,45.53,1116.788
2026-08-08 07:55:00,45.53,45.53,45.49,45.51,2207.967
2026-08-08 08:00:00,45.51,45.51,45.48,45.48,1109.14
2026-08-08 08:05:00,45.48,45.49,45.47,45.48,850.543
2026-08-08 08:10:00,45.49,45.5,45.48,45.5,395.744
2026-08-08 08:15:00,45.5,45.5,45.48,45.48,294.024
2026-08-08 08:20:00,45.49,45.5,45.48,45.49,236.183
2026-08-08 08:25:00,45.49,45.59,45.49,45.58,1819.372
2026-08-08 08:30:00,45.59,45.61,45.58,45.59,1253.535
2026-08-08 08:35:00,45.6,45.6,45.57,45.6,2422.736
2026-08-08 08:40:00,45.59,45.59,45.53,45.55,2409.714
2026-08-08 08:45:00,45.55,45.55,45.52,45.52,295.432
2026-08-08 08:50:00,45.53,45.53,45.52,45.52,546.003
2026-08-08 08:55:00,45.52,45.55,45.52,45.53,1554.1
2026-08-08 09:00:00,45.53,45.57,45.53,45.55,1863.776
2026-08-08 09:05:00,45.54,45.55,45.54,45.55,219.089
2026-08-08 09:10:00,45.54,45.56,45.54,45.55,563.653
2026-08-08 09:15:00,45.54,45.57,45.54,45.56,555.514
2026-08-08 09:20:00,45.56,45.57,45.54,45.55,464.712
2026-08-08 09:25:00,45.54,45.55,45.52,45.53,978.151
2026-08-08 09:30:00,45.54,45.6,45.53,45.57,1607.868
2026-08-08 09:35:00,45.56,45.57,45.55,45.55,466.637
2026-08-08 09:40:00,45.56,45.56,45.51,45.52,551.202
2026-08-08 09:45:00,45.52,45.53,45.51,45.52,1093.025
2026-08-08 09:50:00,45.51,45.58,45.51,45.54,22926.744
2026-08-08 09:55:00,45.54,45.57,45.52,45.56,41126.721
2026-08-08 10:00:00,45.57,45.59,45.54,45.56,3202.251
2026-08-08 10:05:00,45.56,45.56,45.55,45.56,289.003
2026-08-08 10:10:00,45.55,45.56,45.51,45.51,726.266
2026-08-08 10:15:00,45.51,45.52,45.47,45.51,1672.183
2026-08-08 10:20:00,45.5,45.53,45.49,45.53,1114.143
2026-08-08 10:25:00,45.52,45.53,45.47,45.48,978.914
2026-08-08 10:30:00,45.48,45.52,45.47,45.5,950.247
2026-08-08 10:35:00,45.5,45.51,45.5,45.51,172.034
2026-08-08 10:40:00,45.5,45.51,45.5,45.5,297.753
2026-08-08 10:45:00,45.51,45.53,45.5,45.52,733.523
2026-08-08 10:50:00,45.52,45.53,45.52,45.53,166.718
2026-08-08 10:55:00,45.53,45.6,45.53,45.6,1824.422
2026-08-08 11:00:00,45.6,45.67,45.59,45.59,7303.55
2026-08-08 11:05:00,45.59,45.6,45.58,45.6,690.921
2026-08-08 11:10:00,45.59,45.64,45.59,45.61,1410.078
2026-08-08 11:15:00,45.61,45.62,45.56,45.59,8158.796
2026-08-08 11:20:00,45.58,45.59,45.55,45.55,1086.428
2026-08-08 11:25:00,45.55,45.57,45.53,45.56,1323.935
2026-08-08 11:30:00,45.56,45.56,45.54,45.54,282.391
2026-08-08 11:35:00,45.54,45.55,45.52,45.53,690.831
2026-08-08 11:40:00,45.54,45.54,45.49,45.5,2175.132
2026-08-08 11:45:00,45.5,45.54,45.5,45.53,872.721
2026-08-08 11:50:00,45.54,45.54,45.51,45.53,870.687
2026-08-08 11:55:00,45.53,45.55,45.52,45.54,1372.953
2026-08-08 12:00:00,45.54,45.55,45.51,45.51,3156.561
2026-08-08 12:05:00,45.52,45.52,45.47,45.5,1920.207
2026-08-08 12:10:00,45.5,45.55,45.49,45.54,1114.329
2026-08-08 12:15:00,45.55,45.58,45.54,45.57,964.416
2026-08-08 12:20:00,45.57,45.58,45.55,45.55,465.169
2026-08-08 12:25:00,45.56,45.58,45.56,45.58,404.16
2026-08-08 12:30:00,45.58,45.58,45.55,45.57,1671.903
2026-08-08 12:35:00,45.58,45.6,45.58,45.6,883.092
2026-08-08 12:40:00,45.6,45.63,45.59,45.61,2448.132
2026-08-08 12:45:00,45.62,45.62,45.58,45.58,2043.28
2026-08-08 12:50:00,45.59,45.64,45.59,45.62,1636.199
2026-08-08 12:55:00,45.61,45.62,45.59,45.59,1222.014
2026-08-08 13:00:00,45.6,45.61,45.58,45.59,1103.574
2026-08-08 13:05:00,45.6,45.63,45.59,45.62,1020.037
2026-08-08 13:10:00,45.62,45.63,45.61,45.61,947.368
2026-08-08 13:15:00,45.62,45.63,45.59,45.59,1833.526
2026-08-08 13:20:00,45.6,45.6,45.57,45.57,609.501
2026-08-08 13:25:00,45.58,45.63,45.58,45.61,1107.678
2026-08-08 13:30:00,45.62,45.62,45.6,45.6,452.358
2026-08-08 13:35:00,45.6,45.62,45.59,45.59,649.472
2026-08-08 13:40:00,45.6,45.62,45.59,45.59,1301.509
2026-08-08 13:45:00,45.6,45.63,45.6,45.63,1065.635
2026-08-08 13:50:00,45.62,45.63,45.6,45.62,1371.332
2026-08-08 13:55:00,45.62,45.63,45.61,45.62,1021.624
2026-08-08 14:00:00,45.62,45.64,45.61,45.63,1072.267
2026-08-08 14:05:00,45.63,45.64,45.62,45.62,811.088
2026-08-08 14:10:00,45.63,45.63,45.6,45.61,990.037
2026-08-08 14:15:00,45.61,45.62,45.6,45.61,482.107
2026-08-08 14:20:00,45.61,45.64,45.61,45.64,386.646
2026-08-08 14:25:00,45.63,45.66,45.63,45.66,1474.167
2026-08-08 14:30:00,45.66,45.71,45.64,45.68,5893.415
2026-08-08 14:35:00,45.68,45.74,45.68,45.68,5691.449
2026-08-08 14:40:00,45.69,45.69,45.67,45.69,1007.4
2026-08-08 14:45:00,45.68,45.72,45.68,45.7,1641.184
2026-08-08 14:50:00,45.72,45.74,45.7,45.73,1460.335
2026-08-08 14:55:00,45.73,45.81,45.72,45.77,6719.306
2026-08-08 15:00:00,45.78,45.85,45.76,45.78,5040.591
2026-08-08 15:05:00,45.78,45.8,45.76,45.77,1610.607
2026-08-08 15:10:00,45.77,45.81,45.77,45.77,2196.169
2026-08-08 15:15:00,45.77,45.78,45.75,45.76,1073.696
2026-08-08 15:20:00,45.76,45.78,45.75,45.77,703.6
2026-08-08 15:25:00,45.76,45.78,45.76,45.77,858.119
2026-08-08 15:30:00,45.77,45.78,45.73,45.75,1776.475
2026-08-08 15:35:00,45.75,45.77,45.73,45.73,801.786
2026-08-08 15:40:00,45.73,45.87,45.73,45.85,3472.848
2026-08-08 15:45:00,45.84,45.85,45.82,45.83,935.978
2026-08-08 15:50:00,45.83,45.87,45.83,45.87,622.093
2026-08-08 15:55:00,45.87,45.88,45.85,45.86,1160.883
2026-08-08 16:00:00,45.85,45.86,45.82,45.83,3476.371
2026-08-08 16:05:00,45.83,45.87,45.82,45.82,1410.177
2026-08-08 16:10:00,45.82,45.84,45.8,45.81,1300.525
2026-08-08 16:15:00,45.8,45.82,45.8,45.8,517.241
2026-08-08 16:20:00,45.8,45.88,45.78,45.8,6209.793
2026-08-08 16:25:00,45.8,45.82,45.78,45.8,4897.506
2026-08-08 16:30:00,45.81,45.82,45.8,45.82,661.937
2026-08-08 16:35:00,45.82,45.83,45.8,45.82,1326.981
2026-08-08 16:40:00,45.82,45.83,45.76,45.77,1599.291
2026-08-08 16:45:00,45.77,45.81,45.76,45.77,3577.511
2026-08-08 16:50:00,45.77,45.83,45.77,45.8,1742.757
2026-08-08 16:55:00,45.8,45.82,45.78,45.78,860.417
2026-08-08 17:00:00,45.79,45.82,45.78,45.78,2844.352
2026-08-08 17:05:00,45.79,45.79,45.75,45.78,4934.399
2026-08-08 17:10:00,45.78,45.81,45.77,45.81,570.472
2026-08-08 17:15:00,45.8,45.83,45.8,45.8,1275.72
2026-08-08 17:20:00,45.81,45.81,45.76,45.77,1428.431
2026-08-08 17:25:00,45.76,45.81,45.76,45.81,502.332
2026-08-08 17:30:00,45.81,45.84,45.8,45.84,943.108
2026-08-08 17:35:00,45.84,45.86,45.82,45.85,1134.013
2026-08-08 17:40:00,45.84,45.85,45.83,45.85,256.003
2026-08-08 17:45:00,45.84,45.86,45.84,45.85,368.998
2026-08-08 17:50:00,45.85,45.86,45.81,45.82,1726.571
2026-08-08 17:55:00,45.81,45.85,45.81,45.84,1046.855
2026-08-08 18:00:00,45.84,45.86,45.83,45.85,2244.377
2026-08-08 18:05:00,45.85,45.85,45.83,45.84,430.897
2026-08-08 18:10:00,45.84,45.87,45.84,45.87,798.674
2026-08-08 18:15:00,45.87,45.87,45.83,45.84,1745.736
2026-08-08 18:20:00,45.83,45.87,45.83,45.86,1635.907
2026-08-08 18:25:00,45.86,45.88,45.84,45.87,745.274
2026-08-08 18:30:00,45.88,45.88,45.86,45.88,993.857
2026-08-08 18:35:00,45.88,45.92,45.87,45.91,2536.888
2026-08-08 18:40:00,45.91,45.94,45.9,45.91,2318.633
2026-08-08 18:45:00,45.91,45.91,45.89,45.89,604.373
2026-08-08 18:50:00,45.89,45.91,45.86,45.9,4295.062
2026-08-08 18:55:00,45.89,45.93,45.89,45.91,1206.401
2026-08-08 19:00:00,45.91,45.92,45.89,45.9,889.491
2026-08-08 19:05:00,45.9,45.9,45.85,45.86,2749.886
2026-08-08 19:10:00,45.85,45.89,45.85,45.87,3581.443
2026-08-08 19:15:00,45.87,45.89,45.86,45.88,512.494
2026-08-08 19:20:00,45.88,45.88,45.87,45.88,205.481
2026-08-08 19:25:00,45.87,45.87,45.82,45.82,2137.375
2026-08-08 19:30:00,45.83,45.85,45.81,45.84,2438.783
2026-08-08 19:35:00,45.84,45.89,45.83,45.89,2697.771
2026-08-08 19:40:00,45.89,45.89,45.88,45.89,175.524
2026-08-08 19:45:00,45.89,45.94,45.88,45.94,789.599
2026-08-08 19:50:00,45.94,45.98,45.93,45.97,1296.378
2026-08-08 19:55:00,45.97,45.98,45.95,45.95,2128.73
2026-08-08 20:00:00,45.95,45.95,45.94,45.94,1341.21
2026-08-08 20:05:00,45.94,45.94,45.91,45.91,901.463
2026-08-08 20:10:00,45.91,45.95,45.91,45.94,864.575
2026-08-08 20:15:00,45.95,45.96,45.94,45.95,474.767
2026-08-08 20:20:00,45.96,45.96,45.94,45.95,452.957
2026-08-08 20:25:00,45.95,45.96,45.94,45.95,360.486
2026-08-08 20:30:00,45.95,45.99,45.95,45.98,1610.86
2026-08-08 20:35:00,45.97,46.09,45.97,46.03,17376.244
2026-08-08 20:40:00,46.02,46.07,46.02,46.03,1873.537
2026-08-08 20:45:00,46.03,46.06,46.01,46.06,1788.134
2026-08-08 20:50:00,46.05,46.07,46.04,46.05,910.026
