t,open,high,low,close,vol
2026-08-08 05:55:00,1.592,1.594,1.591,1.593,140866.0
2026-08-08 06:00:00,1.592,1.595,1.59,1.59,119467.0
2026-08-08 06:05:00,1.59,1.595,1.59,1.595,100310.0
2026-08-08 06:10:00,1.595,1.597,1.594,1.595,123190.0
2026-08-08 06:15:00,1.596,1.596,1.594,1.594,80486.0
2026-08-08 06:20:00,1.595,1.595,1.593,1.594,70469.0
2026-08-08 06:25:00,1.595,1.595,1.591,1.594,121087.0
2026-08-08 06:30:00,1.595,1.596,1.592,1.592,86475.0
2026-08-08 06:35:00,1.593,1.593,1.591,1.592,37087.0
2026-08-08 06:40:00,1.591,1.593,1.591,1.592,71700.0
2026-08-08 06:45:00,1.593,1.594,1.592,1.593,30543.0
2026-08-08 06:50:00,1.594,1.594,1.591,1.593,46378.0
2026-08-08 06:55:00,1.592,1.593,1.592,1.592,10118.0
2026-08-08 07:00:00,1.593,1.593,1.588,1.589,131049.0
2026-08-08 07:05:00,1.589,1.59,1.588,1.588,62412.0
2026-08-08 07:10:00,1.588,1.59,1.588,1.588,102997.0
2026-08-08 07:15:00,1.589,1.589,1.587,1.588,81090.0
2026-08-08 07:20:00,1.589,1.59,1.585,1.587,161060.0
2026-08-08 07:25:00,1.588,1.588,1.585,1.586,67938.0
2026-08-08 07:30:00,1.587,1.587,1.583,1.584,138015.0
2026-08-08 07:35:00,1.584,1.585,1.583,1.583,29463.0
2026-08-08 07:40:00,1.584,1.587,1.583,1.587,64202.0
2026-08-08 07:45:00,1.587,1.591,1.586,1.588,150214.0
2026-08-08 07:50:00,1.588,1.589,1.586,1.586,54627.0
2026-08-08 07:55:00,1.587,1.59,1.586,1.589,78189.0
2026-08-08 08:00:00,1.589,1.592,1.588,1.589,116021.0
2026-08-08 08:05:00,1.589,1.592,1.589,1.59,74219.0
2026-08-08 08:10:00,1.59,1.593,1.589,1.593,47654.0
2026-08-08 08:15:00,1.593,1.594,1.592,1.594,41253.0
2026-08-08 08:20:00,1.594,1.595,1.591,1.595,98145.0
2026-08-08 08:25:00,1.595,1.596,1.594,1.595,45723.0
2026-08-08 08:30:00,1.594,1.597,1.594,1.595,53431.0
2026-08-08 08:35:00,1.595,1.596,1.594,1.596,78227.0
2026-08-08 08:40:00,1.596,1.598,1.593,1.597,144427.0
2026-08-08 08:45:00,1.597,1.598,1.595,1.596,80395.0
2026-08-08 08:50:00,1.595,1.6,1.595,1.6,103786.0
2026-08-08 08:55:00,1.6,1.6,1.598,1.598,23740.0
2026-08-08 09:00:00,1.599,1.602,1.597,1.602,119025.0
