t,oi,oiv
2026-08-11 23:10:00,509185701.0,94939736.15353905
2026-08-11 23:15:00,508037652.0,94453715.05202197
2026-08-11 23:20:00,507934207.0,94475762.502
2026-08-11 23:25:00,508026277.0,94582691.32698528
2026-08-11 23:30:00,508073796.0,94654148.1948
2026-08-11 23:35:00,507841313.0,94479402.20168246
2026-08-11 23:40:00,507451643.0,94690476.5838
2026-08-11 23:45:00,507542162.0,94961138.5102
2026-08-11 23:50:00,508568877.0,95204093.7744
2026-08-11 23:55:00,508327207.0,95057187.709
2026-08-12 00:00:00,508194341.0,95012598.41685215
2026-08-12 00:05:00,507971864.0,94990738.568
2026-08-12 00:10:00,507555986.0,94912969.382
2026-08-12 00:15:00,507532796.0,94807126.2928
2026-08-12 00:20:00,507492093.0,94366348.02149892
2026-08-12 00:25:00,507959541.0,94438060.0043265
2026-08-12 00:30:00,507663657.0,94454737.47164547
2026-08-12 00:35:00,507843043.0,94515278.1443816
2026-08-12 00:40:00,508166141.0,94499571.58599636
2026-08-12 00:45:00,508156133.0,94416441.06834999
2026-08-12 00:50:00,508218956.0,94477903.9204
2026-08-12 00:55:00,508422391.0,94464880.2478
2026-08-12 01:00:00,508647491.0,94608433.326
2026-08-12 01:05:00,508540694.0,94530468.3097105
2026-08-12 01:10:00,508092073.0,94606743.9926
2026-08-12 01:15:00,508347710.0,94806847.915
2026-08-12 01:20:00,508433214.0,94873637.7324
2026-08-12 01:25:00,508254089.0,94941863.8252
2026-08-12 01:30:00,507954851.0,94835170.6817
2026-08-12 01:35:00,507791677.0,94804706.0959
2026-08-12 01:40:00,507884741.0,94822081.1447
2026-08-12 01:45:00,507890854.0,94975589.698
2026-08-12 01:50:00,508061170.0,94877136.3417301
2026-08-12 01:55:00,508049065.0,94799527.0544693
2026-08-12 02:00:00,507362230.0,94799638.2455292
2026-08-12 02:05:00,507334685.0,94822268.09027115
2026-08-12 02:10:00,507459894.0,95006225.23756692
2026-08-12 02:15:00,507153792.0,94981871.92553473
2026-08-12 02:20:00,507127732.0,94970910.83881845
2026-08-12 02:25:00,507032912.0,94916561.1264
2026-08-12 02:30:00,505686152.0,95196636.81762633
2026-08-12 02:35:00,505548553.0,94891463.3981
2026-08-12 02:40:00,505467180.0,94805899.4199492
2026-08-12 02:45:00,505662556.0,95043241.79463904
2026-08-12 02:50:00,505629913.0,95058423.644
2026-08-12 02:55:00,505499708.0,95033945.104
2026-08-12 03:00:00,505463833.0,94926107.8374
2026-08-12 03:05:00,505013239.0,94891987.6081
2026-08-12 03:10:00,504859500.0,94863100.05
2026-08-12 03:15:00,504706290.0,94633706.2819137
2026-08-12 03:20:00,504547246.0,94706848.0860236
2026-08-12 03:25:00,504425371.0,94731084.6738
2026-08-12 03:30:00,504333442.0,94612953.7192
2026-08-12 03:35:00,504277684.0,94703349.0552
2026-08-12 03:40:00,504483418.0,94792434.2422
2026-08-12 03:45:00,504525744.0,94699482.1488
2026-08-12 03:50:00,504630420.0,94668666.792
2026-08-12 03:55:00,504568533.0,94534643.41900887
2026-08-12 04:00:00,504332438.0,94592657.63449694
2026-08-12 04:05:00,504194713.0,94687767.1014
2026-08-12 04:10:00,504276300.0,94652661.51
2026-08-12 04:15:00,504176070.0,94654897.6899225
2026-08-12 04:20:00,504099824.0,94619536.9648
2026-08-12 04:25:00,504046442.0,94534948.53277051
