t,oi,oiv
2026-08-11 23:10:00,219036388.2,17371762.80595871
2026-08-11 23:15:00,219049543.4,17351247.28801997
2026-08-11 23:20:00,219041757.3,17364905.49052734
2026-08-11 23:25:00,219128639.9,17395542.41746629
2026-08-11 23:30:00,219297626.7,17499950.61066
2026-08-11 23:35:00,219252165.8,17530644.56487433
2026-08-11 23:40:00,219507735.5,17566988.95448421
2026-08-11 23:45:00,219624548.8,17613787.78646755
2026-08-11 23:50:00,219844900.3,17649843.30596895
2026-08-11 23:55:00,219930205.4,17673549.51920497
2026-08-12 00:00:00,219922632.5,17650854.13241785
2026-08-12 00:05:00,219985681.6,17656719.56168807
2026-08-12 00:10:00,219511405.3,17579246.01657066
2026-08-12 00:15:00,219446388.5,17588761.90057198
2026-08-12 00:20:00,219823206.8,17552883.06298
2026-08-12 00:25:00,219617481.7,17622106.731608
2026-08-12 00:30:00,219619737.5,17545420.828875
2026-08-12 00:35:00,220293078.1,17630055.040343
2026-08-12 00:40:00,220090402.4,17621161.7135679
2026-08-12 00:45:00,220115363.4,17605403.46698411
2026-08-12 00:50:00,220041056.6,17606054.84490259
2026-08-12 00:55:00,220125946.0,17645295.83136
2026-08-12 01:00:00,220130966.1,17663126.01116214
2026-08-12 01:05:00,219584808.4,17697121.4308739
2026-08-12 01:10:00,220924726.0,17836156.71210934
2026-08-12 01:15:00,220894282.3,17823453.79088054
2026-08-12 01:20:00,220880298.4,17768724.43999993
2026-08-12 01:25:00,220793438.3,17778287.651916
2026-08-12 01:30:00,220820593.8,17782991.56754532
2026-08-12 01:35:00,220793705.0,17774385.62246215
2026-08-12 01:40:00,220763173.2,17778058.337796
2026-08-12 01:45:00,220805293.7,17796913.29637881
2026-08-12 01:50:00,220695557.0,17818153.73339695
2026-08-12 01:55:00,220561472.9,17742644.20941253
2026-08-12 02:00:00,220590022.4,17755584.28770579
2026-08-12 02:05:00,220400551.6,17694397.64805315
2026-08-12 02:10:00,220272563.8,17709914.12952
2026-08-12 02:15:00,220232242.8,17726955.71068188
2026-08-12 02:20:00,220158495.6,17725312.73434896
2026-08-12 02:25:00,220144852.7,17701847.605607
2026-08-12 02:30:00,219963023.8,17685027.11352
2026-08-12 02:35:00,219692187.8,17628101.149072
2026-08-12 02:40:00,219599174.3,17621542.49443012
2026-08-12 02:45:00,219585109.3,17584375.552744
2026-08-12 02:50:00,219608819.6,17623741.73427996
2026-08-12 02:55:00,219574312.3,17634370.92694205
2026-08-12 03:00:00,219482556.7,17578823.2691232
2026-08-12 03:05:00,219361481.3,17597178.029886
2026-08-12 03:10:00,219307888.2,17580444.03414306
2026-08-12 03:15:00,219182952.4,17555009.24742558
2026-08-12 03:20:00,219271956.8,17570871.4744239
2026-08-12 03:25:00,219736593.4,17633861.62035
2026-08-12 03:30:00,219674782.1,17640247.46602047
2026-08-12 03:35:00,219608233.8,17623887.97871836
2026-08-12 03:40:00,219665291.2,17669452.07011598
2026-08-12 03:45:00,219649558.2,17654425.49313945
2026-08-12 03:50:00,219140361.5,17568482.781455
2026-08-12 03:55:00,219362629.6,17584108.388736
2026-08-12 04:00:00,219209675.0,17576231.7415
2026-08-12 04:05:00,219129625.9,17580226.44448477
2026-08-12 04:10:00,219066823.8,17534673.76935741
2026-08-12 04:15:00,218996845.6,17517557.679544
2026-08-12 04:20:00,219154420.5,17566548.30423062
2026-08-12 04:25:00,219174843.5,17572038.42458003
2026-08-12 04:30:00,219012860.8,17504784.68011446
2026-08-12 04:35:00,218240294.3,17365622.46417767
2026-08-12 04:40:00,218196465.9,17368438.68564
2026-08-12 04:45:00,217839153.7,17327697.4359021
2026-08-12 04:50:00,217816070.9,17353406.368603
2026-08-12 04:55:00,217856447.6,17345730.357912
2026-08-12 05:00:00,217872936.5,17336149.557305
2026-08-12 05:05:00,217836470.0,17338765.7156851
2026-08-12 05:10:00,218034394.4,17364592.76263943
2026-08-12 05:15:00,218459074.0,17411456.90246102
2026-08-12 05:20:00,218542488.4,17429338.21664449
2026-08-12 05:25:00,218524882.3,17385839.635788
2026-08-12 05:30:00,218548000.0,17400328.43824
2026-08-12 05:35:00,218669588.1,17421406.083927
2026-08-12 05:40:00,218665977.9,17401878.03989758
2026-08-12 05:45:00,218523836.4,17381385.947256
2026-08-12 05:50:00,218648727.9,17401288.01267096
2026-08-12 05:55:00,218557244.7,17402456.69130398
2026-08-12 06:00:00,218512545.3,17378302.727709
2026-08-12 06:05:00,218570910.0,17382944.4723
2026-08-12 06:10:00,219179678.1,17440126.986417
2026-08-12 06:15:00,219427194.7,17374245.276346
2026-08-12 06:20:00,219372094.9,17376463.637029
2026-08-12 06:25:00,219381723.6,17368451.057412
2026-08-12 06:30:00,219518011.2,17289238.562112
2026-08-12 06:35:00,219384033.3,17273774.45420241
2026-08-12 06:40:00,219477138.9,17262329.09739113
2026-08-12 06:45:00,219413837.4,17237151.066144
2026-08-12 06:50:00,219522798.2,17276266.40487346
2026-08-12 06:55:00,219568268.3,17266708.09542029
2026-08-12 07:00:00,219558835.0,17274889.1378
2026-08-12 07:05:00,219629072.4,17299151.97259845
2026-08-12 07:10:00,219726048.0,17296874.04924864
2026-08-12 07:15:00,219762110.3,17294344.09164123
2026-08-12 07:20:00,219750670.4,17294377.76048
2026-08-12 07:25:00,219796898.5,17313401.694845
2026-08-12 07:30:00,219769303.9,17295863.99616735
2026-08-12 07:35:00,219913074.5,17302760.70166
2026-08-12 07:40:00,219875588.4,17274433.25489887
2026-08-12 07:45:00,219259380.2,17207476.158096
2026-08-12 07:50:00,219239087.0,17230771.56891624
2026-08-12 07:55:00,219249128.8,17250591.61370522
2026-08-12 08:00:00,219419373.5,17255887.75210363
2026-08-12 08:05:00,219583424.6,17241033.94515245
2026-08-12 08:10:00,219600129.5,17204323.99753116
2026-08-12 08:15:00,219587908.7,17211300.283906
2026-08-12 08:20:00,219719264.8,17212807.204432
2026-08-12 08:25:00,219825363.5,17207929.45478
2026-08-12 08:30:00,219833764.7,17208587.100716
2026-08-12 08:35:00,219643030.9,17191460.028543
2026-08-12 08:40:00,219669066.2,17183612.703495
2026-08-12 08:45:00,220174074.4,17213409.4949997
2026-08-12 08:50:00,220389788.7,17225665.884792
2026-08-12 08:55:00,220491884.2,17233645.669072
2026-08-12 09:00:00,220455183.0,17205382.87075023
2026-08-12 09:05:00,220396363.4,17232791.654246
2026-08-12 09:10:00,220420129.9,17238965.78302444
2026-08-12 09:15:00,220373714.7,17268484.283892
2026-08-12 09:20:00,220410532.8,17297818.614144
2026-08-12 09:25:00,220145768.2,17299054.465156
2026-08-12 09:30:00,219640028.1,17283473.811189
2026-08-12 09:35:00,220014581.8,17332392.33058148
2026-08-12 09:40:00,219992331.1,17335298.89405432
2026-08-12 09:45:00,219975041.0,17340632.48203
2026-08-12 09:50:00,219916488.8,17325020.987664
2026-08-12 09:55:00,219893191.8,17324111.40034148
2026-08-12 10:00:00,219978959.1,17307944.501988
2026-08-12 10:05:00,219800732.2,17322924.31610979
2026-08-12 10:10:00,219790376.5,17306252.48543847
2026-08-12 10:15:00,219762238.5,17338730.76925668
2026-08-12 10:20:00,219661462.8,17309683.51343899
2026-08-12 10:25:00,219672397.8,17312179.57201202
2026-08-12 10:30:00,219546478.2,17267330.51043
2026-08-12 10:35:00,219520249.2,17281729.42306751
2026-08-12 10:40:00,219533332.3,17286054.585302
2026-08-12 10:45:00,219577857.7,17302735.18676
2026-08-12 10:50:00,219532298.8,17316707.729344
2026-08-12 10:55:00,219518703.5,17335392.015395
2026-08-12 11:00:00,219536099.4,17315497.11230813
2026-08-12 11:05:00,219491781.2,17275142.34278443
2026-08-12 11:10:00,219499797.6,17279024.067072
2026-08-12 11:15:00,219477179.5,17275048.798445
2026-08-12 11:20:00,219466725.4,17297537.71180599
2026-08-12 11:25:00,219417664.0,17327566.5184448
2026-08-12 11:30:00,219408523.1,17328885.154438
2026-08-12 11:35:00,219305750.9,17307609.861028
2026-08-12 11:40:00,219289178.0,17317266.38666
2026-08-12 11:45:00,219432710.0,17311046.4919
2026-08-12 11:50:00,219748342.5,17351329.1238
2026-08-12 11:55:00,219774176.1,17342380.236051
2026-08-12 12:00:00,219654513.5,17330741.11515
2026-08-12 12:05:00,219515434.9,17337329.048402
2026-08-12 12:10:00,218425506.1,17277523.06016183
2026-08-12 12:15:00,218493362.9,17236392.98084012
2026-08-12 12:20:00,218626310.8,17229218.08732236
2026-08-12 12:25:00,218456025.1,17226048.38994586
2026-08-12 12:30:00,218319913.6,17301062.83471277
2026-08-12 12:35:00,218348762.5,17287708.68374687
2026-08-12 12:40:00,218411793.9,17237126.48224411
2026-08-12 12:45:00,218344201.0,17229691.55840869
2026-08-12 12:50:00,218120365.4,17213531.38608373
2026-08-12 12:55:00,218201996.9,17246685.834976
2026-08-12 13:00:00,218545336.7,17266696.64933821
2026-08-12 13:05:00,218550391.9,17254553.440505
2026-08-12 13:10:00,218472126.6,17248005.17717605
2026-08-12 13:15:00,218343313.5,17200018.53872699
