t,oi,oiv
2026-08-11 23:10:00,622736.2,382459664.592
2026-08-11 23:15:00,622809.74,382461233.2366
2026-08-11 23:20:00,623013.82,382609839.3047357
2026-08-11 23:25:00,623072.99,382872121.6251
2026-08-11 23:30:00,622966.14,384004831.9159356
2026-08-11 23:35:00,623128.2,384239541.966
2026-08-11 23:40:00,623178.92,384023024.63155466
2026-08-11 23:45:00,622474.25,384089262.66249144
2026-08-11 23:50:00,622615.84,384172651.7552
2026-08-11 23:55:00,622716.07,384371494.2075
2026-08-12 00:00:00,623129.8,384439930.11
2026-08-12 00:05:00,623629.96,384828881.3859114
2026-08-12 00:10:00,623819.17,385058620.8742
2026-08-12 00:15:00,624242.81,384739571.0873
2026-08-12 00:20:00,624690.75,384590860.2375
2026-08-12 00:25:00,625035.34,384665499.2962
2026-08-12 00:30:00,625133.98,385051274.981
2026-08-12 00:35:00,625479.44,385783209.0032
2026-08-12 00:40:00,625729.74,386050220.3904
2026-08-12 00:45:00,625979.45,386135423.7325
2026-08-12 00:50:00,626082.03,386298873.3303
2026-08-12 00:55:00,626164.64,386575263.7968
2026-08-12 01:00:00,626599.18,387235339.92768085
2026-08-12 01:05:00,627769.13,388667919.2782812
2026-08-12 01:10:00,628391.83,389979969.698
2026-08-12 01:15:00,629002.02,389905772.1576
2026-08-12 01:20:00,629336.14,388577306.2816
2026-08-12 01:25:00,629170.44,388462413.0648
2026-08-12 01:30:00,629506.26,388172445.1038
2026-08-12 01:35:00,629366.03,388564293.2617
2026-08-12 01:40:00,629564.05,389146130.586
2026-08-12 01:45:00,629734.01,389765974.9223547
2026-08-12 01:50:00,630161.36,390174625.5913316
2026-08-12 01:55:00,630247.43,390425677.9364
2026-08-12 02:00:00,630082.4,389960623.4237276
2026-08-12 02:05:00,630158.41,390093678.16958547
2026-08-12 02:10:00,630699.62,390365222.8028
2026-08-12 02:15:00,631720.18,390516780.8724
2026-08-12 02:20:00,631824.16,390618968.6784
2026-08-12 02:25:00,632843.66,390475314.8703871
2026-08-12 02:30:00,632702.61,390655899.5184
2026-08-12 02:35:00,632750.44,390398436.3410126
2026-08-12 02:40:00,632717.86,390488974.9861208
2026-08-12 02:45:00,632917.65,390636773.58
2026-08-12 02:50:00,632852.82,390349378.108835
2026-08-12 02:55:00,632576.88,389914063.0632
2026-08-12 03:00:00,632605.98,390020704.4971701
2026-08-12 03:05:00,632355.1,389595082.9220105
2026-08-12 03:10:00,632060.54,389124131.09078455
2026-08-12 03:15:00,632070.26,389342638.7548
2026-08-12 03:20:00,632161.41,389152242.3819
2026-08-12 03:25:00,631720.2,388375261.758
2026-08-12 03:30:00,631172.11,387729027.173
2026-08-12 03:35:00,629206.1,386065587.1886851
2026-08-12 03:40:00,628898.68,386531113.07942075
2026-08-12 03:45:00,629085.3,386591789.409
2026-08-12 03:50:00,628602.24,385981620.2447125
2026-08-12 03:55:00,628571.4,385730722.2976417
2026-08-12 04:00:00,628493.08,385655923.7496
2026-08-12 04:05:00,628208.07,385462189.6713
2026-08-12 04:10:00,627971.96,385159646.1418158
2026-08-12 04:15:00,627872.26,385997029.2802
2026-08-12 04:20:00,627971.69,386393279.0387142
2026-08-12 04:25:00,627874.21,386864694.4915
2026-08-12 04:30:00,627854.05,386290269.7410635
2026-08-12 04:35:00,627981.14,386047449.99224424
