t,oi,oiv
2026-08-11 23:10:00,109213.856,6940824504.8256
2026-08-11 23:15:00,109217.576,6941141436.8020935
2026-08-11 23:20:00,109221.128,6939266068.4648
2026-08-11 23:25:00,109233.09,6943358966.789081
2026-08-11 23:30:00,109233.38,6944260896.726
2026-08-11 23:35:00,109253.204,6948263417.3512
2026-08-11 23:40:00,109233.419,6944973393.2848
2026-08-11 23:45:00,109217.497,6948033060.988893
2026-08-11 23:50:00,109242.103,6948901096.0403
2026-08-11 23:55:00,109248.983,6948136994.7153
2026-08-12 00:00:00,109259.581,6945839157.3739
2026-08-12 00:05:00,109311.972,6946232440.128989
2026-08-12 00:10:00,109332.954,6947306625.369178
2026-08-12 00:15:00,109371.501,6954681009.280137
2026-08-12 00:20:00,109401.424,6957390717.118694
2026-08-12 00:25:00,109447.053,6967319612.629518
2026-08-12 00:30:00,109445.34,6965550163.494
2026-08-12 00:35:00,109458.245,6971559811.4175
2026-08-12 00:40:00,109484.64,6972485504.544
2026-08-12 00:45:00,109472.209,6972534756.021011
2026-08-12 00:50:00,109485.397,6975158092.239796
2026-08-12 00:55:00,109498.228,6976624847.906
2026-08-12 01:00:00,109490.733,6976446964.02938
2026-08-12 01:05:00,109404.076,6970341549.7044
2026-08-12 01:10:00,109354.873,6965987831.184909
2026-08-12 01:15:00,109290.198,6968167254.955113
2026-08-12 01:20:00,109261.031,6964505711.8989
2026-08-12 01:25:00,109255.481,6963419932.6312
2026-08-12 01:30:00,109247.055,6961591320.19521
2026-08-12 01:35:00,109283.498,6962059192.029896
2026-08-12 01:40:00,109296.305,6966732284.4185
2026-08-12 01:45:00,109268.142,6971077996.5018
2026-08-12 01:50:00,109251.006,6972530304.1272
2026-08-12 01:55:00,109246.283,6970842730.469783
2026-08-12 02:00:00,109311.243,6973609127.3037
2026-08-12 02:05:00,109318.438,6974541737.964659
2026-08-12 02:10:00,109265.399,6975284541.362
2026-08-12 02:15:00,109255.753,6974504058.549468
2026-08-12 02:20:00,109245.038,6972686277.029058
2026-08-12 02:25:00,109121.815,6959953043.4225
2026-08-12 02:30:00,109128.447,6969804740.1513
2026-08-12 02:35:00,109130.093,6962598150.4837
2026-08-12 02:40:00,109129.663,6956792444.365415
2026-08-12 02:45:00,109055.938,6951864981.867363
2026-08-12 02:50:00,109020.259,6949615542.782777
2026-08-12 02:55:00,108995.467,6948025039.382
2026-08-12 03:00:00,108951.177,6942641376.3825
2026-08-12 03:05:00,108935.406,6945318425.5578
2026-08-12 03:10:00,108897.997,6940201229.67264
2026-08-12 03:15:00,108875.627,6934571760.2602
2026-08-12 03:20:00,108864.6,6934383825.339463
2026-08-12 03:25:00,108909.046,6940790792.074894
2026-08-12 03:30:00,108928.623,6941846857.9932
2026-08-12 03:35:00,108909.069,6944434312.0884
2026-08-12 03:40:00,108900.906,6948557035.111705
2026-08-12 03:45:00,108911.749,6947012148.1893
2026-08-12 03:50:00,108923.532,6948265489.7642565
2026-08-12 03:55:00,108978.382,6948575979.123622
2026-08-12 04:00:00,108984.016,6953442613.244261
2026-08-12 04:05:00,108991.338,6954966159.5898
2026-08-12 04:10:00,108937.463,6948129433.8567
2026-08-12 04:15:00,108816.353,6937913034.574
2026-08-12 04:20:00,108814.298,6939900928.26491
2026-08-12 04:25:00,108619.974,6935656889.835
2026-08-12 04:30:00,108548.877,6921836239.659
2026-08-12 04:35:00,108546.443,6915919800.8950205
2026-08-12 04:40:00,108578.779,6919068316.158487
2026-08-12 04:45:00,108609.02,6923379728.018
2026-08-12 04:50:00,108625.85,6929703896.95725
2026-08-12 04:55:00,108623.382,6929401113.8923
2026-08-12 05:00:00,108714.926,6930261259.2146
2026-08-12 05:05:00,108733.238,6927786032.6368
2026-08-12 05:10:00,108733.688,6931547588.322756
2026-08-12 05:15:00,108699.403,6934268551.202071
2026-08-12 05:20:00,108697.559,6934730348.1056
2026-08-12 05:25:00,108686.736,6932605193.1072
2026-08-12 05:30:00,108683.496,6935381367.975294
2026-08-12 05:35:00,108657.912,6935991390.187496
2026-08-12 05:40:00,108626.436,6933864388.0392
2026-08-12 05:45:00,108579.449,6929659872.5739
2026-08-12 05:50:00,108567.71,6928226262.256597
2026-08-12 05:55:00,108583.502,6926302708.8756
2026-08-12 06:00:00,108596.731,6930397597.557037
2026-08-12 06:05:00,108587.705,6923029244.606306
2026-08-12 06:10:00,108589.414,6918801010.7805395
2026-08-12 06:15:00,108626.735,6917256055.894282
2026-08-12 06:20:00,108753.791,6926376319.148788
2026-08-12 06:25:00,108747.5,6918167958.0
2026-08-12 06:30:00,108767.05,6919662156.167589
2026-08-12 06:35:00,108820.603,6925375821.1009
2026-08-12 06:40:00,108875.591,6927906281.1574
2026-08-12 06:45:00,108906.584,6929736830.5784
2026-08-12 06:50:00,108944.894,6933759246.083664
2026-08-12 06:55:00,108920.728,6928033609.3136
2026-08-12 07:00:00,108944.354,6938448017.552
2026-08-12 07:05:00,108922.442,6943338522.564418
2026-08-12 07:10:00,108870.35,6941926509.176232
2026-08-12 07:15:00,108886.333,6940061173.4158125
2026-08-12 07:20:00,108869.233,6936505198.2853
2026-08-12 07:25:00,108872.091,6935145544.457376
2026-08-12 07:30:00,108877.49,6936054383.119337
2026-08-12 07:35:00,108892.346,6940297229.2484
2026-08-12 07:40:00,108888.524,6933836097.8292
2026-08-12 07:45:00,108877.025,6931749123.959587
2026-08-12 07:50:00,108943.654,6936017569.9294
2026-08-12 07:55:00,108925.374,6942361671.81831
2026-08-12 08:00:00,108821.127,6944143768.1059885
2026-08-12 08:05:00,108746.488,6939235537.346652
2026-08-12 08:10:00,108750.932,6938915097.904553
2026-08-12 08:15:00,108773.473,6935864364.4139
2026-08-12 08:20:00,108781.616,6939715169.682031
2026-08-12 08:25:00,108787.705,6941018448.272784
2026-08-12 08:30:00,108787.794,6940293578.89437
2026-08-12 08:35:00,108758.883,6935216816.3727
2026-08-12 08:40:00,108749.336,6935607080.043026
2026-08-12 08:45:00,108752.4,6933113712.972347
2026-08-12 08:50:00,108723.397,6934697519.82435
2026-08-12 08:55:00,108684.018,6929703856.0818
2026-08-12 09:00:00,108682.319,6930671223.524831
2026-08-12 09:05:00,108670.973,6930935646.871062
2026-08-12 09:10:00,108658.699,6934598170.18
2026-08-12 09:15:00,108621.406,6933012946.019122
2026-08-12 09:20:00,108507.271,6937907942.176564
2026-08-12 09:25:00,108501.732,6939771848.798801
2026-08-12 09:30:00,108419.105,6934041437.4695
2026-08-12 09:35:00,108255.137,6925164032.618009
2026-08-12 09:40:00,108154.458,6924900002.308458
2026-08-12 09:45:00,108161.127,6923598086.990487
2026-08-12 09:50:00,108182.438,6927033404.193231
2026-08-12 09:55:00,108146.677,6924738474.565398
2026-08-12 10:00:00,108136.42,6929046570.698
2026-08-12 10:05:00,108124.839,6932110490.4519
2026-08-12 10:10:00,108167.074,6932588091.940322
2026-08-12 10:15:00,108108.3,6929125625.459397
2026-08-12 10:20:00,108098.245,6922298124.8895
2026-08-12 10:25:00,108150.957,6927879800.2839155
2026-08-12 10:30:00,108011.779,6916869104.7799
2026-08-12 10:35:00,108038.296,6924553836.793542
2026-08-12 10:40:00,108062.108,6925324498.831763
2026-08-12 10:45:00,108028.47,6926261406.075977
2026-08-12 10:50:00,108133.05,6928473792.48
2026-08-12 10:55:00,108100.898,6932748410.7156
2026-08-12 11:00:00,108033.349,6926196102.063116
2026-08-12 11:05:00,107907.757,6916887223.7
2026-08-12 11:10:00,107907.76,6916396705.4614
2026-08-12 11:15:00,107898.978,6917660726.3813505
2026-08-12 11:20:00,107888.805,6918453153.922829
2026-08-12 11:25:00,107889.012,6921470911.00113
2026-08-12 11:30:00,107900.482,6924244432.53914
2026-08-12 11:35:00,107881.117,6921238509.729604
2026-08-12 11:40:00,107875.571,6923443359.2229
2026-08-12 11:45:00,107875.896,6921264468.702338
2026-08-12 11:50:00,107841.05,6924266768.028464
2026-08-12 11:55:00,107846.109,6924054520.7379
2026-08-12 12:00:00,107874.532,6926332438.4836
2026-08-12 12:05:00,107861.652,6929122036.714233
2026-08-12 12:10:00,107789.585,6927840591.6205435
2026-08-12 12:15:00,107722.462,6919229805.222783
2026-08-12 12:20:00,107699.779,6923006413.9874
2026-08-12 12:25:00,107616.673,6913204039.952132
2026-08-12 12:30:00,107539.064,6923999420.7976
2026-08-12 12:35:00,107582.265,6910680976.2044115
2026-08-12 12:40:00,107188.664,6864501387.8232
2026-08-12 12:45:00,107248.924,6871374211.3256
2026-08-12 12:50:00,107166.092,6854343244.32
2026-08-12 12:55:00,107481.848,6892064153.282987
2026-08-12 13:00:00,107500.936,6889734988.24
2026-08-12 13:05:00,107573.908,6889323517.8716
2026-08-12 13:10:00,107581.134,6892341316.628424
2026-08-12 13:15:00,107658.675,6885321325.4925
2026-08-12 13:20:00,107679.981,6889268272.3971
2026-08-12 13:25:00,107700.771,6886614300.527953
2026-08-12 13:30:00,107802.897,6891927509.062881
2026-08-12 13:35:00,108056.009,6904130639.046
2026-08-12 13:40:00,108086.335,6909635137.545
2026-08-12 13:45:00,108123.727,6915225958.2482
2026-08-12 13:50:00,108158.064,6918758110.235636
2026-08-12 13:55:00,108143.908,6907875968.1436
2026-08-12 14:00:00,108468.76,6921857991.268
2026-08-12 14:05:00,108616.49,6910941409.23
2026-08-12 14:10:00,108630.519,6920296349.8431
2026-08-12 14:15:00,108614.199,6925816983.4947
2026-08-12 14:20:00,108682.327,6931264518.598928
2026-08-12 14:25:00,108717.412,6927732468.544765
2026-08-12 14:30:00,108798.279,6924237990.5691
2026-08-12 14:35:00,108770.949,6913002926.2644
2026-08-12 14:40:00,108849.757,6917304092.5687
2026-08-12 14:45:00,108967.335,6929434795.709649
2026-08-12 14:50:00,108984.869,6930445906.0921
2026-08-12 14:55:00,109003.21,6919013025.201169
2026-08-12 15:00:00,109138.999,6913344408.2556
2026-08-12 15:05:00,109523.678,6948860925.155714
2026-08-12 15:10:00,109620.759,6954077861.1384
2026-08-12 15:15:00,109583.251,6955840690.5254
2026-08-12 15:20:00,109706.946,6968191139.116393
2026-08-12 15:25:00,109683.42,6960619516.62
2026-08-12 15:30:00,109702.5,6962093638.5
2026-08-12 15:35:00,109823.013,6966589882.7511
2026-08-12 15:40:00,109828.141,6971527957.8147
2026-08-12 15:45:00,109820.61,6973904549.545636
2026-08-12 15:50:00,109946.007,6978624891.5124
2026-08-12 15:55:00,110016.63,6984325789.4047
2026-08-12 16:00:00,110024.509,6978024612.0681305
2026-08-12 16:05:00,110140.939,6990062713.654946
2026-08-12 16:10:00,110182.644,6985127880.7596
2026-08-12 16:15:00,110164.576,6990419996.852859
2026-08-12 16:20:00,110241.267,6999804993.496752
2026-08-12 16:25:00,110274.335,7003155982.109034
2026-08-12 16:30:00,110248.375,7005513104.58286
2026-08-12 16:35:00,110234.902,7002014696.611938
2026-08-12 16:40:00,110248.6,7003487190.7
2026-08-12 16:45:00,110296.618,7003427145.5134
2026-08-12 16:50:00,110748.591,7027512220.641917
2026-08-12 16:55:00,110758.833,7029331488.1116
2026-08-12 17:00:00,110754.373,7028767527.324548
2026-08-12 17:05:00,110772.539,7033038409.079662
2026-08-12 17:10:00,110789.887,7033152527.5453
2026-08-12 17:15:00,110777.126,7035975759.389646
2026-08-12 17:20:00,110760.143,7032027753.85471
2026-08-12 17:25:00,110796.92,7026951352.363
2026-08-12 17:30:00,110831.026,7029674362.175305
2026-08-12 17:35:00,110842.07,7034083952.018112
2026-08-12 17:40:00,110863.373,7034491657.2587
2026-08-12 17:45:00,110855.948,7034064869.2804
2026-08-12 17:50:00,110860.456,7035880786.5416
2026-08-12 17:55:00,110863.159,7034860566.89396
2026-08-12 18:00:00,110849.904,7033426408.8
2026-08-12 18:05:00,110866.625,7035537489.742481
2026-08-12 18:10:00,110859.688,7032350012.469726
2026-08-12 18:15:00,110864.178,7034688340.068458
2026-08-12 18:20:00,110900.093,7030766465.9489
2026-08-12 18:25:00,110893.325,7029228459.7725
2026-08-12 18:30:00,110895.417,7032847041.823978
2026-08-12 18:35:00,110865.501,7037301838.353249
2026-08-12 18:40:00,110872.028,7031958591.0748
2026-08-12 18:45:00,110874.464,7032168529.4144
2026-08-12 18:50:00,110861.545,7029331466.888
2026-08-12 18:55:00,110864.868,7024217186.155204
2026-08-12 19:00:00,110882.572,7025556217.377527
2026-08-12 19:05:00,110902.451,7031030275.261686
2026-08-12 19:10:00,110897.805,7030402348.777123
2026-08-12 19:15:00,110912.036,7027675803.289758
2026-08-12 19:20:00,110938.8,7035505724.52
2026-08-12 19:25:00,110968.571,7030587791.908805
2026-08-12 19:30:00,111351.022,7055367780.453
2026-08-12 19:35:00,111317.394,7053319358.031406
2026-08-12 19:40:00,111320.596,7049933344.68
2026-08-12 19:45:00,111289.648,7046407589.105333
2026-08-12 19:50:00,111235.45,7044088878.814009
2026-08-12 19:55:00,111242.806,7050769281.3308
2026-08-12 20:00:00,111194.17,7049643661.498
2026-08-12 20:05:00,111175.89,7057478168.410989
2026-08-12 20:10:00,111170.34,7048944397.278
2026-08-12 20:15:00,111175.651,7053066402.433099
2026-08-12 20:20:00,111164.988,7054832864.908481
2026-08-12 20:25:00,111159.759,7055309903.73
2026-08-12 20:30:00,111136.032,7055159810.6304
2026-08-12 20:35:00,111122.265,7058140927.347088
2026-08-12 20:40:00,111077.344,7058131459.826293
2026-08-12 20:45:00,111091.671,7056376304.4135
2026-08-12 20:50:00,111091.024,7054707794.477514
2026-08-12 20:55:00,111092.028,7054906088.815431
2026-08-12 21:00:00,111104.941,7063572199.587983
2026-08-12 21:05:00,111039.612,7057544491.1856
2026-08-12 21:10:00,111009.979,7053796085.618
2026-08-12 21:15:00,111045.414,7057724572.262748
2026-08-12 21:20:00,111031.695,7055427584.039201
2026-08-12 21:25:00,110992.58,7049007522.355608
2026-08-12 21:30:00,111022.774,7045245065.018756
2026-08-12 21:35:00,111001.109,7044020117.647169
2026-08-12 21:40:00,110893.682,7040135744.508608
2026-08-12 21:45:00,110880.46,7041829517.818
2026-08-12 21:50:00,110833.186,7037324105.777769
2026-08-12 21:55:00,110821.835,7041382404.209311
2026-08-12 22:00:00,110839.479,7031800639.0827
2026-08-12 22:05:00,110911.717,7037044732.005762
2026-08-12 22:10:00,110917.586,7037277161.356
2026-08-12 22:15:00,110903.536,7038610806.716804
2026-08-12 22:20:00,110926.663,7040704385.667302
2026-08-12 22:25:00,110938.024,7042867172.2328
2026-08-12 22:30:00,110950.247,7040635454.969828
2026-08-12 22:35:00,110940.88,7032841923.576
2026-08-12 22:40:00,110899.959,7025554719.824194
2026-08-12 22:45:00,110902.672,7028711914.1456
2026-08-12 22:50:00,110913.86,7029692383.182153
2026-08-12 22:55:00,110915.196,7032788741.2524
2026-08-12 23:00:00,110951.397,7035019910.463911
2026-08-12 23:05:00,110902.913,7028775712.11735
2026-08-12 23:10:00,110937.575,7033010501.231985
2026-08-12 23:15:00,110951.643,7033072781.09051
2026-08-12 23:20:00,110957.949,7034434380.1377
2026-08-12 23:25:00,110975.827,7031118333.063937
2026-08-12 23:30:00,110994.69,7037052246.531
2026-08-12 23:35:00,110967.109,7038831296.077388
2026-08-12 23:40:00,110963.304,7039733932.368
2026-08-12 23:45:00,111061.591,7041060533.8998
2026-08-12 23:50:00,111088.197,7041375217.271264
2026-08-12 23:55:00,111060.31,7041434668.589
2026-08-13 00:00:00,111075.705,7048264430.493
2026-08-13 00:05:00,111122.768,7049483877.347007
2026-08-13 00:10:00,111148.284,7066026943.103552
2026-08-13 00:15:00,111244.422,7072842479.6646
2026-08-13 00:20:00,111162.554,7073142551.634918
2026-08-13 00:25:00,111142.213,7067604271.254709
2026-08-13 00:30:00,111169.3,7070967794.22
2026-08-13 00:35:00,111141.923,7064431254.943037
2026-08-13 00:40:00,111132.77,7062328550.0198345
2026-08-13 00:45:00,111231.443,7061780727.578848
2026-08-13 00:50:00,111252.274,7070482520.8864
2026-08-13 00:55:00,111259.117,7071171712.810081
2026-08-13 01:00:00,111249.951,7068420171.834673
2026-08-13 01:05:00,111243.505,7068512426.8545
2026-08-13 01:10:00,111278.842,7071670258.1422
2026-08-13 01:15:00,111295.581,7079267348.274363
2026-08-13 01:20:00,111290.567,7067986006.7731
2026-08-13 01:25:00,111282.498,7057214348.197438
2026-08-13 01:30:00,111367.805,7060348111.60983
2026-08-13 01:35:00,111365.852,7066238389.518932
2026-08-13 01:40:00,111395.16,7075258814.359121
2026-08-13 01:45:00,111411.757,7062391276.23
2026-08-13 01:50:00,111502.585,7070374528.273635
2026-08-13 01:55:00,111516.135,7078348369.054732
2026-08-13 02:00:00,111535.717,7074587840.0213
2026-08-13 02:05:00,111585.796,7076280204.8176
2026-08-13 02:10:00,111577.238,7080122479.5662
2026-08-13 02:15:00,111592.863,7078826308.6872
2026-08-13 02:20:00,111604.691,7078545770.778657
2026-08-13 02:25:00,111607.303,7078405359.966906
2026-08-13 02:30:00,111617.968,7080938103.586771
2026-08-13 02:35:00,111721.183,7082083770.136894
2026-08-13 02:40:00,111733.848,7083923097.821223
2026-08-13 02:45:00,111702.818,7089420409.4424
2026-08-13 02:50:00,111700.535,7093018129.39096
2026-08-13 02:55:00,111698.12,7096963450.44
2026-08-13 03:00:00,111638.498,7091578014.401304
2026-08-13 03:05:00,111611.316,7089059702.5296
2026-08-13 03:10:00,111593.445,7084658254.081529
2026-08-13 03:15:00,111559.449,7089100966.4295
2026-08-13 03:20:00,111560.046,7090534985.077392
2026-08-13 03:25:00,111221.423,7073693624.9423
2026-08-13 03:30:00,111198.724,7066912427.5204
2026-08-13 03:35:00,111196.216,7070600427.9272
2026-08-13 03:40:00,111212.262,7070364041.5548
2026-08-13 03:45:00,111229.987,7068365352.8851
2026-08-13 03:50:00,111337.158,7083234710.183263
2026-08-13 03:55:00,111725.631,7109644853.902975
2026-08-13 04:00:00,111728.493,7108580925.662176
2026-08-13 04:05:00,111726.175,7107415932.155
2026-08-13 04:10:00,111708.461,7106177354.6696
2026-08-13 04:15:00,111681.536,7109183495.889241
2026-08-13 04:20:00,111648.845,7100766058.0395
2026-08-13 04:25:00,111624.143,7096778727.8963175
2026-08-13 04:30:00,111614.586,7095071357.0136
2026-08-13 04:35:00,111619.579,7098949414.6105
2026-08-13 04:40:00,111607.095,7104584007.1245
2026-08-13 04:45:00,111645.713,7108957753.74318
2026-08-13 04:50:00,111594.569,7108428972.3603
2026-08-13 04:55:00,111582.887,7110061559.64
2026-08-13 05:00:00,111546.489,7102496792.055889
2026-08-13 05:05:00,111508.996,7105711456.658032
2026-08-13 05:10:00,111160.663,7092792696.8038225
2026-08-13 05:15:00,111144.296,7097441339.5384
2026-08-13 05:20:00,110657.071,7070820851.2935
2026-08-13 05:25:00,110494.886,7063909396.563542
2026-08-13 05:30:00,110527.222,7064480026.7964
2026-08-13 05:35:00,110528.751,7062975087.7767
2026-08-13 05:40:00,110707.725,7075294807.729207
2026-08-13 05:45:00,110713.08,7074244744.068
2026-08-13 05:50:00,110692.182,7069067339.34742
2026-08-13 05:55:00,110664.574,7067844920.751809
2026-08-13 06:00:00,110656.137,7065515056.373931
2026-08-13 06:05:00,110612.312,7058005710.252
2026-08-13 06:10:00,110580.867,7054838152.866
2026-08-13 06:15:00,110573.535,7056062161.0155
2026-08-13 06:20:00,110561.5,7055294167.95
2026-08-13 06:25:00,110547.257,7053180310.0168
2026-08-13 06:30:00,110551.667,7053064398.368075
2026-08-13 06:35:00,110500.493,7046262837.0324
2026-08-13 06:40:00,110504.972,7044473587.156247
2026-08-13 06:45:00,110521.972,7043587379.9544
2026-08-13 06:50:00,110517.097,7047752637.6579
2026-08-13 06:55:00,110533.497,7060758201.5133
2026-08-13 07:00:00,110496.982,7062105212.9804
2026-08-13 07:05:00,110491.644,7053344586.384
2026-08-13 07:10:00,110457.007,7053894924.027
2026-08-13 07:15:00,110498.129,7054498900.3083
2026-08-13 07:20:00,110491.058,7053976430.832488
2026-08-13 07:25:00,110469.138,7057678140.309631
2026-08-13 07:30:00,110467.041,7055248180.451603
2026-08-13 07:35:00,110470.625,7055007618.5
2026-08-13 07:40:00,110476.68,7054111227.886338
2026-08-13 07:45:00,110484.853,7053515951.855991
2026-08-13 07:50:00,110485.618,7051684154.033549
2026-08-13 07:55:00,110482.877,7052099942.3346
2026-08-13 08:00:00,110498.327,7053468375.301269
2026-08-13 08:05:00,110497.057,7057794118.081369
2026-08-13 08:10:00,110509.828,7055776243.23
2026-08-13 08:15:00,110511.308,7051284002.97024
2026-08-13 08:20:00,110529.654,7049780285.4972
2026-08-13 08:25:00,110372.554,7038844072.519
2026-08-13 08:30:00,110382.074,7037861694.3734
2026-08-13 08:35:00,110365.573,7035523149.956603
2026-08-13 08:40:00,110347.823,7036718618.1361
2026-08-13 08:45:00,110352.105,7037243202.619601
2026-08-13 08:50:00,110221.255,7026153482.482682
2026-08-13 08:55:00,110228.642,7022888882.617461
2026-08-13 09:00:00,110253.318,7027954426.5966
2026-08-13 09:05:00,110239.965,7022288103.91296
2026-08-13 09:10:00,110198.941,7013931176.8739
2026-08-13 09:15:00,110188.488,7006985121.5592
2026-08-13 09:20:00,110276.437,7018279704.816021
2026-08-13 09:25:00,110223.662,7019252221.1178
2026-08-13 09:30:00,110240.992,7014877460.663742
2026-08-13 09:35:00,110258.315,7021508369.743882
2026-08-13 09:40:00,110275.359,7019263786.665001
2026-08-13 09:45:00,110280.082,7022624593.7518
2026-08-13 09:50:00,110295.089,7025918493.8979
2026-08-13 09:55:00,110264.259,7028243868.66
2026-08-13 10:00:00,110303.547,7032634276.4337
2026-08-13 10:05:00,110133.686,7012061809.48163
2026-08-13 10:10:00,110123.024,7003758252.5856
2026-08-13 10:15:00,110137.762,7004134783.800043
2026-08-13 10:20:00,110130.775,7007837575.531807
2026-08-13 10:25:00,110210.812,7009143397.604405
2026-08-13 10:30:00,110257.162,7012086807.29557
2026-08-13 10:35:00,110328.045,7012395376.1775
2026-08-13 10:40:00,110338.638,7015407841.0866
2026-08-13 10:45:00,110340.74,7018818607.696
2026-08-13 10:50:00,110346.235,7019657418.851052
2026-08-13 10:55:00,110353.471,7020279517.1773
2026-08-13 11:00:00,110359.075,7022026547.2675
2026-08-13 11:05:00,110398.731,7024299476.203084
2026-08-13 11:10:00,110413.732,7021407962.5976
2026-08-13 11:15:00,110432.969,7023536828.4
2026-08-13 11:20:00,110439.299,7022846067.3399
2026-08-13 11:25:00,110311.342,7000810039.8222
2026-08-13 11:30:00,110264.98,6991902381.8
2026-08-13 11:35:00,110264.309,6988353428.6638
2026-08-13 11:40:00,110382.7,7002858489.389
2026-08-13 11:45:00,110498.465,7009724273.7445
2026-08-13 11:50:00,110532.56,7015235069.975122
2026-08-13 11:55:00,110565.192,7015073962.9008
2026-08-13 12:00:00,110622.904,7019974615.7744
