t,oi,oiv
2026-08-11 23:10:00,2352866.6,4421219992.661342
2026-08-11 23:15:00,2353463.496,4421810691.029533
2026-08-11 23:20:00,2352643.299,4419863803.54388
2026-08-11 23:25:00,2353122.142,4422975440.54604
2026-08-11 23:30:00,2352671.021,4423539107.10462
2026-08-11 23:35:00,2352242.93,4425907742.248914
2026-08-11 23:40:00,2351191.663,4424949982.048838
2026-08-11 23:45:00,2350910.71,4427886870.968205
2026-08-11 23:50:00,2350853.131,4426169418.16039
2026-08-11 23:55:00,2350298.442,4424577834.97152
2026-08-12 00:00:00,2349889.078,4422134043.444504
2026-08-12 00:05:00,2349348.603,4418373373.424785
2026-08-12 00:10:00,2348992.526,4418977273.578709
2026-08-12 00:15:00,2348660.777,4419216631.39543
2026-08-12 00:20:00,2347900.085,4414277959.252974
2026-08-12 00:25:00,2347911.064,4419406981.24231
2026-08-12 00:30:00,2348306.883,4418151535.81386
2026-08-12 00:35:00,2347715.963,4420145322.144357
2026-08-12 00:40:00,2346732.26,4413780969.2532
2026-08-12 00:45:00,2346593.519,4414126334.8635645
2026-08-12 00:50:00,2346022.34,4415133406.188988
2026-08-12 00:55:00,2346163.962,4415714210.775966
2026-08-12 01:00:00,2345901.735,4414363182.697118
2026-08-12 01:05:00,2345720.103,4416615638.73252
2026-08-12 01:10:00,2345462.294,4414957494.48796
2026-08-12 01:15:00,2345673.362,4421782744.256779
2026-08-12 01:20:00,2345462.532,4415309761.86468
2026-08-12 01:25:00,2344985.376,4414763940.861345
2026-08-12 01:30:00,2344596.391,4413257232.74321
2026-08-12 01:35:00,2344348.101,4411989833.39104
2026-08-12 01:40:00,2344138.275,4412232589.387335
2026-08-12 01:45:00,2344430.042,4418725385.970484
2026-08-12 01:50:00,2343808.395,4419458448.088365
2026-08-12 01:55:00,2344078.92,4415251304.600249
2026-08-12 02:00:00,2343645.777,4415733317.81901
2026-08-12 02:05:00,2344784.79,4418348032.517042
2026-08-12 02:10:00,2343977.073,4422147145.9218
2026-08-12 02:15:00,2343724.01,4418814498.201503
2026-08-12 02:20:00,2343632.632,4419153690.8992
2026-08-12 02:25:00,2339710.95,4407243325.1865
2026-08-12 02:30:00,2337692.287,4409214930.20218
2026-08-12 02:35:00,2337568.071,4405637919.09441
2026-08-12 02:40:00,2335795.431,4399095953.027386
2026-08-12 02:45:00,2335321.619,4400142934.87123
