t,oi,oiv
2026-08-11 23:10:00,8422177.84,641878597.9232448
2026-08-11 23:15:00,8427286.31,642196185.8944033
2026-08-11 23:20:00,8426705.13,642030663.8547
2026-08-11 23:25:00,8434274.06,643282082.5562
2026-08-11 23:30:00,8433265.75,643120846.095
2026-08-11 23:35:00,8431005.11,642948449.6886
2026-08-11 23:40:00,8428314.2,642321825.182
2026-08-11 23:45:00,8443131.59,644252146.5985684
2026-08-11 23:50:00,8446118.2,643666515.4937503
2026-08-11 23:55:00,8445015.04,643594596.1984
2026-08-12 00:00:00,8444796.09,644084597.7843
2026-08-12 00:05:00,8444068.31,643775767.9544
2026-08-12 00:10:00,8442598.44,643832557.0344
2026-08-12 00:15:00,8447228.25,644232484.978493
2026-08-12 00:20:00,8449264.62,643885328.8979706
2026-08-12 00:25:00,8449238.42,644505109.6417135
2026-08-12 00:30:00,8447089.58,643850263.5639886
2026-08-12 00:35:00,8446183.98,644319539.069611
2026-08-12 00:40:00,8447543.07,644125159.0875
2026-08-12 00:45:00,8445948.35,643847098.7206671
2026-08-12 00:50:00,8445116.3,643986764.2215296
2026-08-12 00:55:00,8445764.83,644496314.1773
2026-08-12 01:00:00,8447817.21,644865090.1989028
2026-08-12 01:05:00,8452920.39,645132234.947936
2026-08-12 01:10:00,8452629.89,645390121.0710349
2026-08-12 01:15:00,8462005.43,647174175.2864
2026-08-12 01:20:00,8465306.82,646984947.1535285
2026-08-12 01:25:00,8470265.14,647043554.0446
2026-08-12 01:30:00,8473013.51,646838624.6505088
2026-08-12 01:35:00,8471688.94,646559299.9008
2026-08-12 01:40:00,8469422.08,646640375.808
2026-08-12 01:45:00,8467641.5,647238600.8169141
2026-08-12 01:50:00,8468146.03,647957194.0507383
2026-08-12 01:55:00,8474814.24,647645304.2208
2026-08-12 02:00:00,8470159.21,647120163.644
2026-08-12 02:05:00,8464755.91,646791999.0831
2026-08-12 02:10:00,8472798.36,648423258.4908
2026-08-12 02:15:00,8470366.44,647946472.8643717
2026-08-12 02:20:00,8469827.21,647822522.8405558
2026-08-12 02:25:00,8471561.81,647396753.5202
2026-08-12 02:30:00,8473784.64,648490558.754887
2026-08-12 02:35:00,8481606.94,648842930.91
2026-08-12 02:40:00,8482381.06,648308384.4158
2026-08-12 02:45:00,8482723.28,648673849.2216
2026-08-12 02:50:00,8483130.58,649193468.3630558
2026-08-12 02:55:00,8484483.42,649270343.5077677
2026-08-12 03:00:00,8485541.4,648295362.96
2026-08-12 03:05:00,8483003.27,648769114.4406492
2026-08-12 03:10:00,8481155.44,648014423.1288489
2026-08-12 03:15:00,8481999.53,647506317.3079679
2026-08-12 03:20:00,8487873.62,647712418.8613238
2026-08-12 03:25:00,8484394.8,647443337.4990325
2026-08-12 03:30:00,8485503.02,647104460.3052
2026-08-12 03:35:00,8489286.58,647951278.3456252
2026-08-12 03:40:00,8496927.39,649335191.1438
2026-08-12 03:45:00,8498775.3,649223602.3261466
2026-08-12 03:50:00,8507394.74,649794810.2412
2026-08-12 03:55:00,8511848.97,649879668.8595
2026-08-12 04:00:00,8515826.38,650438818.9044
2026-08-12 04:05:00,8524621.66,651728932.2425671
2026-08-12 04:10:00,8526906.0,651234331.034636
2026-08-12 04:15:00,8532414.48,651795737.173694
2026-08-12 04:20:00,8530874.62,652355982.1914
2026-08-12 04:25:00,8553410.14,654335875.71
2026-08-12 04:30:00,8557174.95,653225329.9781454
2026-08-12 04:35:00,8556489.86,652447573.0503769
2026-08-12 04:40:00,8553546.98,652773479.5169626
2026-08-12 04:45:00,8553671.03,652645099.589
2026-08-12 04:50:00,8558828.44,653466551.394
2026-08-12 04:55:00,8562726.05,653507252.136
2026-08-12 05:00:00,8566301.51,653351816.1677
2026-08-12 05:05:00,8564782.88,652715442.0249151
2026-08-12 05:10:00,8566107.65,653193110.6912448
2026-08-12 05:15:00,8566744.83,653813965.4256
2026-08-12 05:20:00,8566563.32,653679302.4518484
2026-08-12 05:25:00,8571212.86,653585807.1991874
2026-08-12 05:30:00,8572542.44,653742086.4744
2026-08-12 05:35:00,8570912.43,654132036.6576
2026-08-12 05:40:00,8566785.48,653412766.0173105
2026-08-12 05:45:00,8566457.5,653476391.3100867
2026-08-12 05:50:00,8568981.31,653685368.2822679
2026-08-12 05:55:00,8570531.3,653683152.7084141
2026-08-12 06:00:00,8569036.91,653817516.233
2026-08-12 06:05:00,8573648.46,654083641.0134
2026-08-12 06:10:00,8581091.28,654289014.5420502
2026-08-12 06:15:00,8576455.61,653440152.9259
2026-08-12 06:20:00,8575487.02,653441209.5933905
2026-08-12 06:25:00,8576168.81,653161016.5696
2026-08-12 06:30:00,8574203.14,652925569.111
2026-08-12 06:35:00,8570123.24,652100677.3316
2026-08-12 06:40:00,8574469.23,652294070.3383255
2026-08-12 06:45:00,8570804.76,651810038.0592546
2026-08-12 06:50:00,8568999.26,651586703.7304
2026-08-12 06:55:00,8587537.02,652407550.027694
2026-08-12 07:00:00,8572886.21,651710809.6842
2026-08-12 07:05:00,8576389.19,652748981.2509
2026-08-12 07:10:00,8575420.9,652503776.281
