t,oi,oiv
2026-08-11 23:15:00,115012006.7,79450294.22836
2026-08-11 23:20:00,114992919.9,79437109.06692
2026-08-11 23:25:00,114981156.3,79423603.95354828
2026-08-11 23:30:00,114980054.0,79430881.94164956
2026-08-11 23:35:00,115008029.7,79483698.5408159
2026-08-11 23:40:00,114989645.1,79471826.3550477
2026-08-11 23:45:00,115035300.4,79581420.81672
2026-08-11 23:50:00,114937008.0,79490434.7328
2026-08-11 23:55:00,114945845.8,79611492.80108
2026-08-12 00:00:00,115021938.9,79693035.48309979
2026-08-12 00:05:00,115046274.5,79674332.16673194
2026-08-12 00:10:00,115033551.6,79679621.8418372
2026-08-12 00:15:00,115055019.9,79694324.18413833
2026-08-12 00:20:00,115047688.8,79659019.72512
2026-08-12 00:25:00,115050395.5,79675023.18327135
2026-08-12 00:30:00,115041130.5,79578818.50749277
2026-08-12 00:35:00,115039280.3,79722221.2479
2026-08-12 00:40:00,115030261.5,79635450.03645
2026-08-12 00:45:00,114971626.6,79640845.74582
2026-08-12 00:50:00,114829115.9,79588060.23029
2026-08-12 00:55:00,114792659.3,79574271.42676
2026-08-12 01:00:00,114844386.0,79575675.0594
2026-08-12 01:05:00,114844515.1,79541311.15826
2026-08-12 01:10:00,114802896.1,79663629.59172046
2026-08-12 01:15:00,114748486.0,79773147.4672
2026-08-12 01:20:00,114756095.4,79663681.42668
2026-08-12 01:25:00,114773832.3,79687471.76589
2026-08-12 01:30:00,114976979.3,79729404.27229382
2026-08-12 01:35:00,114886840.9,79715192.7147181
2026-08-12 01:40:00,114881681.2,79739374.92092
2026-08-12 01:45:00,115079091.2,80049015.83872
2026-08-12 01:50:00,114731127.7,80106076.4780339
2026-08-12 01:55:00,114889620.2,80195283.71220146
2026-08-12 02:00:00,115007425.2,80275182.7896
2026-08-12 02:05:00,114914321.2,80255165.6189152
2026-08-12 02:10:00,114802859.1,80116478.23538579
2026-08-12 02:15:00,114631978.0,80057159.95730804
2026-08-12 02:20:00,114601088.7,80005880.46464396
2026-08-12 02:25:00,114550760.9,79761694.81467
2026-08-12 02:30:00,114521262.7,79832772.22817
2026-08-12 02:35:00,114463766.8,79689674.44616
2026-08-12 02:40:00,114446453.4,79592952.22639015
2026-08-12 02:45:00,114457325.9,79593624.43086
2026-08-12 02:50:00,114489005.1,79650000.84807
2026-08-12 02:55:00,114417282.4,79577219.9092
2026-08-12 03:00:00,114420276.6,79462549.06926012
2026-08-12 03:05:00,114416500.7,79494549.21681255
2026-08-12 03:10:00,114328742.0,79401311.319
2026-08-12 03:15:00,114295229.8,79327168.86112522
2026-08-12 03:20:00,114310940.9,79280591.97106148
2026-08-12 03:25:00,114056212.7,79077169.38919438
2026-08-12 03:30:00,114028820.9,79033375.76579
2026-08-12 03:35:00,114092088.6,79127954.23309334
2026-08-12 03:40:00,114059153.1,79191269.99733
2026-08-12 03:45:00,113996197.7,79077681.53388187
2026-08-12 03:50:00,113948521.0,78995458.27136406
2026-08-12 03:55:00,113931606.0,78928825.9321425
2026-08-12 04:00:00,113986678.8,78992768.4084
2026-08-12 04:05:00,113946562.6,78999151.85058
2026-08-12 04:10:00,113936792.8,78912622.69328
2026-08-12 04:15:00,113770308.1,78720914.07735853
2026-08-12 04:20:00,113799927.1,78804089.30626194
2026-08-12 04:25:00,113774405.3,78811530.55131
2026-08-12 04:30:00,113660837.6,78596469.2004
2026-08-12 04:35:00,113642642.0,78515701.3578
2026-08-12 04:40:00,113690068.7,78561831.595505
2026-08-12 04:45:00,113693727.1,78583262.33314098
2026-08-12 04:50:00,113690345.6,78654744.23651937
2026-08-12 04:55:00,113680070.6,78661525.08244278
2026-08-12 05:00:00,113698002.5,78667647.92975
2026-08-12 05:05:00,113672820.8,78582168.79370704
2026-08-12 05:10:00,113652587.8,78624860.24004
2026-08-12 05:15:00,113749092.1,78772372.3952618
2026-08-12 05:20:00,113701490.2,78704171.51644
2026-08-12 05:25:00,113766939.8,78681215.56568
2026-08-12 05:30:00,113747028.7,78672171.23796248
2026-08-12 05:35:00,113804566.3,78793030.76343092
2026-08-12 05:40:00,113791683.4,78709707.40778
2026-08-12 05:45:00,113781797.9,78693046.8248173
2026-08-12 05:50:00,113767267.5,78715572.38325
2026-08-12 05:55:00,113783397.4,78738111.0008
2026-08-12 06:00:00,113796033.4,78728667.09278168
2026-08-12 06:05:00,113915186.8,78738309.25777669
2026-08-12 06:10:00,113756586.6,78594425.68194
2026-08-12 06:15:00,113574494.5,78395749.99012375
2026-08-12 06:20:00,113600921.0,78407355.6742
2026-08-12 06:25:00,113622238.2,78274359.89598
2026-08-12 06:30:00,113643902.5,78229186.12729092
2026-08-12 06:35:00,113546948.6,78165719.41624
2026-08-12 06:40:00,113580379.1,78208724.2549654
2026-08-12 06:45:00,113527376.8,78141647.27322195
2026-08-12 06:50:00,113512558.9,78200190.08480534
2026-08-12 06:55:00,113308474.9,78062516.3468257
2026-08-12 07:00:00,113285569.3,78022695.47745363
2026-08-12 07:05:00,113337095.3,78123259.79029
2026-08-12 07:10:00,113313422.3,78163598.70254
2026-08-12 07:15:00,113336481.6,78213505.95216
