t,oi,oiv
2026-08-11 23:10:00,381832864.1,389148900.14434385
2026-08-11 23:15:00,381596584.8,388599195.0402795
2026-08-11 23:20:00,381491058.4,388625536.3181311
2026-08-11 23:25:00,381612623.8,389221956.62181455
2026-08-11 23:30:00,381459674.5,389361222.5683995
2026-08-11 23:35:00,381468685.5,389800205.7312787
2026-08-11 23:40:00,381404988.9,389757758.15691
2026-08-11 23:45:00,381331940.8,390169190.31513834
2026-08-11 23:50:00,381117742.0,389639576.63407165
2026-08-11 23:55:00,381115753.8,389690858.2605
2026-08-12 00:00:00,381120583.7,389657684.77488
2026-08-12 00:05:00,380563095.2,388783258.05632
2026-08-12 00:10:00,379937282.7,388234793.80685055
2026-08-12 00:15:00,379836757.6,388079215.23992
2026-08-12 00:20:00,379777218.3,387868611.19552904
2026-08-12 00:25:00,379652135.4,387852621.52464
2026-08-12 00:30:00,379693890.4,387612812.75675476
2026-08-12 00:35:00,379274485.2,387654922.84674466
2026-08-12 00:40:00,379301446.5,387380567.31045
2026-08-12 00:45:00,379318577.0,387587721.9786
2026-08-12 00:50:00,379145190.4,387359803.17553306
2026-08-12 00:55:00,379074765.2,387249125.8552775
2026-08-12 01:00:00,379076777.5,387346102.3735604
2026-08-12 01:05:00,378957895.0,387484447.6375
2026-08-12 01:10:00,378927580.7,387491344.02382
2026-08-12 01:15:00,378969151.4,388190929.8847949
2026-08-12 01:20:00,378918190.2,387810039.80769116
2026-08-12 01:25:00,378900972.4,387674503.9851262
2026-08-12 01:30:00,378809289.3,387575383.24936336
2026-08-12 01:35:00,378829895.2,387521029.59717315
2026-08-12 01:40:00,378807501.9,387524014.04171973
2026-08-12 01:45:00,378841809.0,387820359.8733
2026-08-12 01:50:00,378933859.4,388104058.79748
2026-08-12 01:55:00,378980864.3,387356341.40103
2026-08-12 02:00:00,378775251.9,387335572.59294
2026-08-12 02:05:00,378648516.9,387584621.89884
2026-08-12 02:10:00,378593734.6,387869281.0977
2026-08-12 02:15:00,378516070.6,387082165.5944095
2026-08-12 02:20:00,378468645.6,386913586.8001633
2026-08-12 02:25:00,377737163.4,385381301.94509023
2026-08-12 02:30:00,377799764.1,385634432.04399544
2026-08-12 02:35:00,378057633.6,385732203.56208
2026-08-12 02:40:00,378939241.4,386294827.225423
2026-08-12 02:45:00,378882520.2,386550435.5756124
2026-08-12 02:50:00,378886491.0,386811735.5095452
2026-08-12 02:55:00,378989242.8,387137511.5202
2026-08-12 03:00:00,378946464.3,386830972.22534686
2026-08-12 03:05:00,378966537.1,387038524.34023
2026-08-12 03:10:00,378990851.3,386684365.58139
2026-08-12 03:15:00,378857799.7,386394508.835304
2026-08-12 03:20:00,378855327.4,386374082.65047383
2026-08-12 03:25:00,378789635.3,386365428.006
