t,close
2023-12-17 00:00:00,102.56
2023-12-17 08:00:00,103.41
2023-12-17 16:00:00,100.17
2023-12-18 00:00:00,96.86
2023-12-18 08:00:00,95.36
2023-12-18 16:00:00,99.38
2023-12-19 00:00:00,106.0
2023-12-19 08:00:00,102.59
2023-12-19 16:00:00,101.43
2023-12-20 00:00:00,102.01
2023-12-20 08:00:00,104.16
2023-12-20 16:00:00,100.18
2023-12-21 00:00:00,100.42
2023-12-21 08:00:00,99.44
2023-12-21 16:00:00,101.79
2023-12-22 00:00:00,99.13
2023-12-22 08:00:00,100.18
2023-12-22 16:00:00,100.16
2023-12-23 00:00:00,96.27
2023-12-23 08:00:00,98.06
2023-12-23 16:00:00,99.44
2023-12-24 00:00:00,102.03
2023-12-24 08:00:00,101.58
2023-12-24 16:00:00,99.65
2023-12-25 00:00:00,103.11
2023-12-25 08:00:00,101.78
2023-12-25 16:00:00,102.81
2023-12-26 00:00:00,100.35
2023-12-26 08:00:00,105.12
2023-12-26 16:00:00,102.97
2023-12-27 00:00:00,101.35
2023-12-27 08:00:00,110.71
2023-12-27 16:00:00,112.08
2023-12-28 00:00:00,122.21
2023-12-28 08:00:00,114.23
2023-12-28 16:00:00,119.03
2023-12-29 00:00:00,109.38
2023-12-29 08:00:00,111.49
2023-12-29 16:00:00,112.53
2023-12-30 00:00:00,115.5
2023-12-30 08:00:00,112.64
2023-12-30 16:00:00,111.12
2023-12-31 00:00:00,113.63
2023-12-31 08:00:00,116.3
2023-12-31 16:00:00,108.78
2024-01-01 00:00:00,109.75
2024-01-01 08:00:00,112.55
2024-01-01 16:00:00,116.32
2024-01-02 00:00:00,116.11
2024-01-02 08:00:00,112.77
2024-01-02 16:00:00,110.4
2024-01-03 00:00:00,111.15
2024-01-03 08:00:00,101.68
2024-01-03 16:00:00,102.54
2024-01-04 00:00:00,102.36
2024-01-04 08:00:00,105.12
2024-01-04 16:00:00,103.81
2024-01-05 00:00:00,104.35
2024-01-05 08:00:00,101.79
2024-01-05 16:00:00,102.94
2024-01-06 00:00:00,98.95
2024-01-06 08:00:00,99.91
2024-01-06 16:00:00,99.38
2024-01-07 00:00:00,99.89
2024-01-07 08:00:00,97.86
2024-01-07 16:00:00,94.86
2024-01-08 00:00:00,93.75
2024-01-08 08:00:00,95.57
2024-01-08 16:00:00,99.01
2024-01-09 00:00:00,97.35
2024-01-09 08:00:00,93.45
2024-01-09 16:00:00,96.43
2024-01-10 00:00:00,98.63
2024-01-10 08:00:00,102.44
2024-01-10 16:00:00,106.99
2024-01-11 00:00:00,108.85
2024-01-11 08:00:00,109.47
2024-01-11 16:00:00,109.58
2024-01-12 00:00:00,109.13
2024-01-12 08:00:00,109.01
2024-01-12 16:00:00,102.99
2024-01-13 00:00:00,104.28
2024-01-13 08:00:00,105.84
2024-01-13 16:00:00,105.97
2024-01-14 00:00:00,103.77
2024-01-14 08:00:00,103.61
2024-01-14 16:00:00,99.36
2024-01-15 00:00:00,101.34
2024-01-15 08:00:00,101.1
2024-01-15 16:00:00,101.82
2024-01-16 00:00:00,106.3
2024-01-16 08:00:00,105.04
2024-01-16 16:00:00,103.51
2024-01-17 00:00:00,101.04
2024-01-17 08:00:00,101.01
2024-01-17 16:00:00,101.28
2024-01-18 00:00:00,101.49
2024-01-18 08:00:00,99.84
2024-01-18 16:00:00,96.84
2024-01-19 00:00:00,96.35
2024-01-19 08:00:00,94.99
2024-01-19 16:00:00,97.0
2024-01-20 00:00:00,97.57
2024-01-20 08:00:00,96.66
2024-01-20 16:00:00,97.36
2024-01-21 00:00:00,97.36
2024-01-21 08:00:00,97.54
2024-01-21 16:00:00,96.42
2024-01-22 00:00:00,94.41
2024-01-22 08:00:00,93.21
2024-01-22 16:00:00,91.72
2024-01-23 00:00:00,91.42
2024-01-23 08:00:00,86.88
2024-01-23 16:00:00,89.57
2024-01-24 00:00:00,88.7
2024-01-24 08:00:00,89.41
2024-01-24 16:00:00,89.95
2024-01-25 00:00:00,89.16
2024-01-25 08:00:00,87.53
2024-01-25 16:00:00,88.79
2024-01-26 00:00:00,87.66
2024-01-26 08:00:00,91.02
2024-01-26 16:00:00,91.27
2024-01-27 00:00:00,90.6
2024-01-27 08:00:00,91.27
2024-01-27 16:00:00,91.53
2024-01-28 00:00:00,91.87
2024-01-28 08:00:00,91.33
2024-01-28 16:00:00,91.14
2024-01-29 00:00:00,91.93
2024-01-29 08:00:00,92.05
2024-01-29 16:00:00,93.58
2024-01-30 00:00:00,92.64
