t,close
2023-12-17 00:00:00,8.073
2023-12-17 08:00:00,8.157
2023-12-17 16:00:00,8.05
2023-12-18 00:00:00,7.809
2023-12-18 08:00:00,7.727
2023-12-18 16:00:00,7.89
2023-12-19 00:00:00,7.955
2023-12-19 08:00:00,7.868
2023-12-19 16:00:00,8.095
2023-12-20 00:00:00,8.291
2023-12-20 08:00:00,8.265
2023-12-20 16:00:00,8.117
2023-12-21 00:00:00,8.22
2023-12-21 08:00:00,8.473
2023-12-21 16:00:00,8.528
2023-12-22 00:00:00,8.391
2023-12-22 08:00:00,8.803
2023-12-22 16:00:00,9.264
2023-12-23 00:00:00,9.21
2023-12-23 08:00:00,9.203
2023-12-23 16:00:00,9.318
2023-12-24 00:00:00,9.475
2023-12-24 08:00:00,9.367
2023-12-24 16:00:00,9.32
2023-12-25 00:00:00,9.389
2023-12-25 08:00:00,10.322
2023-12-25 16:00:00,10.422
2023-12-26 00:00:00,10.153
2023-12-26 08:00:00,9.917
2023-12-26 16:00:00,10.756
2023-12-27 00:00:00,10.119
2023-12-27 08:00:00,10.262
2023-12-27 16:00:00,10.151
2023-12-28 00:00:00,10.042
2023-12-28 08:00:00,9.752
2023-12-28 16:00:00,9.629
2023-12-29 00:00:00,9.799
2023-12-29 08:00:00,9.784
2023-12-29 16:00:00,9.687
2023-12-30 00:00:00,9.623
2023-12-30 08:00:00,9.565
2023-12-30 16:00:00,9.393
2023-12-31 00:00:00,9.634
2023-12-31 08:00:00,9.619
2023-12-31 16:00:00,9.4
2024-01-01 00:00:00,9.358
2024-01-01 08:00:00,9.692
2024-01-01 16:00:00,9.953
2024-01-02 00:00:00,10.177
2024-01-02 08:00:00,10.12
2024-01-02 16:00:00,10.264
2024-01-03 00:00:00,10.082
2024-01-03 08:00:00,9.074
2024-01-03 16:00:00,9.061
2024-01-04 00:00:00,9.443
2024-01-04 08:00:00,10.912
2024-01-04 16:00:00,10.322
2024-01-05 00:00:00,10.523
2024-01-05 08:00:00,10.139
2024-01-05 16:00:00,9.644
2024-01-06 00:00:00,9.107
2024-01-06 08:00:00,9.159
2024-01-06 16:00:00,9.047
2024-01-07 00:00:00,9.149
2024-01-07 08:00:00,8.838
2024-01-07 16:00:00,8.475
2024-01-08 00:00:00,8.209
2024-01-08 08:00:00,8.615
2024-01-08 16:00:00,8.807
2024-01-09 00:00:00,8.597
2024-01-09 08:00:00,8.112
2024-01-09 16:00:00,8.28
2024-01-10 00:00:00,8.233
2024-01-10 08:00:00,8.33
2024-01-10 16:00:00,8.885
2024-01-11 00:00:00,9.312
2024-01-11 08:00:00,9.132
2024-01-11 16:00:00,9.445
2024-01-12 00:00:00,9.569
2024-01-12 08:00:00,9.488
2024-01-12 16:00:00,9.019
2024-01-13 00:00:00,9.163
2024-01-13 08:00:00,10.288
2024-01-13 16:00:00,10.004
2024-01-14 00:00:00,9.693
2024-01-14 08:00:00,9.999
2024-01-14 16:00:00,9.678
2024-01-15 00:00:00,10.189
2024-01-15 08:00:00,9.763
2024-01-15 16:00:00,9.509
2024-01-16 00:00:00,9.537
2024-01-16 08:00:00,9.385
2024-01-16 16:00:00,9.437
2024-01-17 00:00:00,9.158
2024-01-17 08:00:00,9.235
2024-01-17 16:00:00,9.341
2024-01-18 00:00:00,9.386
2024-01-18 08:00:00,9.149
2024-01-18 16:00:00,8.724
2024-01-19 00:00:00,8.612
2024-01-19 08:00:00,8.435
2024-01-19 16:00:00,8.581
2024-01-20 00:00:00,8.493
2024-01-20 08:00:00,8.375
2024-01-20 16:00:00,8.571
2024-01-21 00:00:00,8.556
2024-01-21 08:00:00,8.603
2024-01-21 16:00:00,8.445
2024-01-22 00:00:00,8.342
2024-01-22 08:00:00,8.171
2024-01-22 16:00:00,8.049
2024-01-23 00:00:00,8.146
2024-01-23 08:00:00,7.795
2024-01-23 16:00:00,8.74
2024-01-24 00:00:00,8.611
2024-01-24 08:00:00,8.472
2024-01-24 16:00:00,8.574
2024-01-25 00:00:00,8.377
2024-01-25 08:00:00,8.247
2024-01-25 16:00:00,8.332
2024-01-26 00:00:00,8.444
2024-01-26 08:00:00,8.646
2024-01-26 16:00:00,8.719
2024-01-27 00:00:00,8.858
2024-01-27 08:00:00,9.1
2024-01-27 16:00:00,9.12
2024-01-28 00:00:00,9.032
2024-01-28 08:00:00,8.885
2024-01-28 16:00:00,8.867
2024-01-29 00:00:00,9.179
2024-01-29 08:00:00,9.104
2024-01-29 16:00:00,9.212
2024-01-30 00:00:00,9.145
2024-01-30 08:00:00,9.383
2024-01-30 16:00:00,9.066
2024-01-31 00:00:00,9.0
2024-01-31 08:00:00,8.938
2024-01-31 16:00:00,8.849
2024-02-01 00:00:00,8.969
2024-02-01 08:00:00,9.09
2024-02-01 16:00:00,9.228
2024-02-02 00:00:00,9.383
2024-02-02 08:00:00,9.376
2024-02-02 16:00:00,9.408
2024-02-03 00:00:00,9.627
2024-02-03 08:00:00,9.47
2024-02-03 16:00:00,9.155
2024-02-04 00:00:00,8.92
2024-02-04 08:00:00,9.041
2024-02-04 16:00:00,8.834
2024-02-05 00:00:00,8.939
2024-02-05 08:00:00,8.743
2024-02-05 16:00:00,8.665
2024-02-06 00:00:00,8.653
2024-02-06 08:00:00,8.619
2024-02-06 16:00:00,8.593
2024-02-07 00:00:00,8.553
2024-02-07 08:00:00,8.637
2024-02-07 16:00:00,8.788
2024-02-08 00:00:00,8.826
2024-02-08 08:00:00,8.892
2024-02-08 16:00:00,8.757
2024-02-09 00:00:00,8.915
2024-02-09 08:00:00,8.986
2024-02-09 16:00:00,9.093
2024-02-10 00:00:00,9.168
2024-02-10 08:00:00,9.081
2024-02-10 16:00:00,9.08
2024-02-11 00:00:00,9.164
2024-02-11 08:00:00,9.067
2024-02-11 16:00:00,9.045
2024-02-12 00:00:00,9.007
2024-02-12 08:00:00,9.111
2024-02-12 16:00:00,9.168
2024-02-13 00:00:00,9.137
2024-02-13 08:00:00,9.125
2024-02-13 16:00:00,9.212
2024-02-14 00:00:00,9.365
2024-02-14 08:00:00,9.455
2024-02-14 16:00:00,9.452
2024-02-15 00:00:00,9.955
2024-02-15 08:00:00,10.633
2024-02-15 16:00:00,10.174
2024-02-16 00:00:00,10.018
2024-02-16 08:00:00,9.884
2024-02-16 16:00:00,9.815
2024-02-17 00:00:00,9.706
2024-02-17 08:00:00,9.411
2024-02-17 16:00:00,9.705
2024-02-18 00:00:00,9.768
2024-02-18 08:00:00,9.63
2024-02-18 16:00:00,9.698
2024-02-19 00:00:00,10.007
2024-02-19 08:00:00,9.93
2024-02-19 16:00:00,10.127
2024-02-20 00:00:00,10.014
2024-02-20 08:00:00,9.469
2024-02-20 16:00:00,9.643
2024-02-21 00:00:00,9.235
2024-02-21 08:00:00,9.135
2024-02-21 16:00:00,9.243
2024-02-22 00:00:00,9.299
2024-02-22 08:00:00,9.392
2024-02-22 16:00:00,9.236
2024-02-23 00:00:00,9.148
2024-02-23 08:00:00,9.068
2024-02-23 16:00:00,9.126
2024-02-24 00:00:00,9.425
2024-02-24 08:00:00,9.377
2024-02-24 16:00:00,9.48
2024-02-25 00:00:00,9.467
2024-02-25 08:00:00,9.591
2024-02-25 16:00:00,9.667
2024-02-26 00:00:00,9.59
2024-02-26 08:00:00,10.015
2024-02-26 16:00:00,10.156
2024-02-27 00:00:00,9.989
2024-02-27 08:00:00,9.862
2024-02-27 16:00:00,9.959
2024-02-28 00:00:00,10.23
2024-02-28 08:00:00,11.333
2024-02-28 16:00:00,12.388
2024-02-29 00:00:00,12.139
2024-02-29 08:00:00,11.947
2024-02-29 16:00:00,11.724
2024-03-01 00:00:00,11.631
2024-03-01 08:00:00,11.572
2024-03-01 16:00:00,11.866
2024-03-02 00:00:00,12.141
2024-03-02 08:00:00,12.074
2024-03-02 16:00:00,12.154
2024-03-03 00:00:00,11.399
2024-03-03 08:00:00,11.712
2024-03-03 16:00:00,11.614
2024-03-04 00:00:00,11.916
2024-03-04 08:00:00,11.959
2024-03-04 16:00:00,12.102
2024-03-05 00:00:00,12.241
2024-03-05 08:00:00,12.772
2024-03-05 16:00:00,13.672
2024-03-06 00:00:00,14.363
2024-03-06 08:00:00,13.459
2024-03-06 16:00:00,13.699
2024-03-07 00:00:00,13.295
2024-03-07 08:00:00,13.531
2024-03-07 16:00:00,13.259
2024-03-08 00:00:00,13.177
2024-03-08 08:00:00,12.86
2024-03-08 16:00:00,13.235
2024-03-09 00:00:00,13.527
2024-03-09 08:00:00,13.382
2024-03-09 16:00:00,13.164
2024-03-10 00:00:00,13.443
2024-03-10 08:00:00,12.667
2024-03-10 16:00:00,12.756
2024-03-11 00:00:00,13.246
2024-03-11 08:00:00,13.144
2024-03-11 16:00:00,13.492
2024-03-12 00:00:00,13.338
2024-03-12 08:00:00,13.093
2024-03-12 16:00:00,13.389
2024-03-13 00:00:00,13.693
2024-03-13 08:00:00,13.007
2024-03-13 16:00:00,13.165
2024-03-14 00:00:00,13.224
2024-03-14 08:00:00,13.607
2024-03-14 16:00:00,14.318
2024-03-15 00:00:00,13.317
2024-03-15 08:00:00,12.858
2024-03-15 16:00:00,15.133
2024-03-16 00:00:00,14.958
2024-03-16 08:00:00,14.69
2024-03-16 16:00:00,13.322
2024-03-17 00:00:00,13.894
2024-03-17 08:00:00,13.984
2024-03-17 16:00:00,14.036
2024-03-18 00:00:00,14.774
2024-03-18 08:00:00,15.159
2024-03-18 16:00:00,14.435
2024-03-19 00:00:00,15.178
2024-03-19 08:00:00,16.543
2024-03-19 16:00:00,15.449
2024-03-20 00:00:00,14.969
2024-03-20 08:00:00,14.645
2024-03-20 16:00:00,15.602
2024-03-21 00:00:00,15.207
2024-03-21 08:00:00,14.961
2024-03-21 16:00:00,15.038
2024-03-22 00:00:00,15.972
2024-03-22 08:00:00,16.48
2024-03-22 16:00:00,16.271
2024-03-23 00:00:00,15.809
2024-03-23 08:00:00,15.85
2024-03-23 16:00:00,16.155
2024-03-24 00:00:00,16.584
2024-03-24 08:00:00,16.165
2024-03-24 16:00:00,16.358
2024-03-25 00:00:00,16.157
2024-03-25 08:00:00,16.608
2024-03-25 16:00:00,17.356
2024-03-26 00:00:00,17.963
2024-03-26 08:00:00,18.796
