t,close
2023-12-17 00:00:00,72.38
2023-12-17 08:00:00,72.68
2023-12-17 16:00:00,70.87
2023-12-18 00:00:00,68.94
2023-12-18 08:00:00,70.73
2023-12-18 16:00:00,74.42
2023-12-19 00:00:00,75.71
2023-12-19 08:00:00,73.67
2023-12-19 16:00:00,73.0
2023-12-20 00:00:00,76.07
2023-12-20 08:00:00,80.68
2023-12-20 16:00:00,82.21
2023-12-21 00:00:00,86.83
2023-12-21 08:00:00,87.5
2023-12-21 16:00:00,93.84
2023-12-22 00:00:00,93.78
2023-12-22 08:00:00,96.31
2023-12-22 16:00:00,97.9
2023-12-23 00:00:00,95.36
2023-12-23 08:00:00,96.77
2023-12-23 16:00:00,107.88
2023-12-24 00:00:00,114.51
2023-12-24 08:00:00,113.55
2023-12-24 16:00:00,112.45
2023-12-25 00:00:00,112.93
2023-12-25 08:00:00,123.15
2023-12-25 16:00:00,120.91
2023-12-26 00:00:00,113.4
2023-12-26 08:00:00,110.51
2023-12-26 16:00:00,112.49
2023-12-27 00:00:00,111.36
2023-12-27 08:00:00,107.8
2023-12-27 16:00:00,106.91
2023-12-28 00:00:00,105.85
2023-12-28 08:00:00,99.71
2023-12-28 16:00:00,101.8
2023-12-29 00:00:00,105.12
2023-12-29 08:00:00,105.98
2023-12-29 16:00:00,106.17
2023-12-30 00:00:00,103.44
2023-12-30 08:00:00,104.26
2023-12-30 16:00:00,101.9
2023-12-31 00:00:00,103.98
2023-12-31 08:00:00,102.49
2023-12-31 16:00:00,101.72
2024-01-01 00:00:00,102.51
2024-01-01 08:00:00,105.98
2024-01-01 16:00:00,109.91
2024-01-02 00:00:00,114.47
2024-01-02 08:00:00,109.61
2024-01-02 16:00:00,106.73
2024-01-03 00:00:00,107.81
2024-01-03 08:00:00,102.06
2024-01-03 16:00:00,98.52
2024-01-04 00:00:00,98.88
2024-01-04 08:00:00,103.66
2024-01-04 16:00:00,104.91
2024-01-05 00:00:00,101.15
2024-01-05 08:00:00,98.03
2024-01-05 16:00:00,99.94
2024-01-06 00:00:00,94.5
2024-01-06 08:00:00,95.18
2024-01-06 16:00:00,93.77
2024-01-07 00:00:00,95.25
2024-01-07 08:00:00,93.96
2024-01-07 16:00:00,89.44
2024-01-08 00:00:00,89.68
2024-01-08 08:00:00,94.67
2024-01-08 16:00:00,97.88
2024-01-09 00:00:00,101.87
2024-01-09 08:00:00,99.8
2024-01-09 16:00:00,99.36
2024-01-10 00:00:00,98.12
2024-01-10 08:00:00,94.78
2024-01-10 16:00:00,102.0
2024-01-11 00:00:00,99.72
2024-01-11 08:00:00,100.79
2024-01-11 16:00:00,99.9
2024-01-12 00:00:00,98.83
2024-01-12 08:00:00,95.32
2024-01-12 16:00:00,92.12
2024-01-13 00:00:00,92.56
2024-01-13 08:00:00,92.89
2024-01-13 16:00:00,95.85
2024-01-14 00:00:00,98.28
2024-01-14 08:00:00,99.49
2024-01-14 16:00:00,93.81
2024-01-15 00:00:00,95.59
2024-01-15 08:00:00,93.51
2024-01-15 16:00:00,94.36
2024-01-16 00:00:00,97.73
2024-01-16 08:00:00,97.25
2024-01-16 16:00:00,97.61
2024-01-17 00:00:00,97.32
2024-01-17 08:00:00,99.38
2024-01-17 16:00:00,102.1
2024-01-18 00:00:00,100.76
2024-01-18 08:00:00,98.25
2024-01-18 16:00:00,94.4
2024-01-19 00:00:00,94.48
2024-01-19 08:00:00,91.2
2024-01-19 16:00:00,93.62
2024-01-20 00:00:00,91.9
2024-01-20 08:00:00,90.84
2024-01-20 16:00:00,92.88
2024-01-21 00:00:00,92.35
2024-01-21 08:00:00,92.5
2024-01-21 16:00:00,91.09
2024-01-22 00:00:00,89.22
2024-01-22 08:00:00,87.26
2024-01-22 16:00:00,83.84
2024-01-23 00:00:00,82.83
2024-01-23 08:00:00,82.71
2024-01-23 16:00:00,84.35
