T,p,q,sell_agg
1789044600387,0.2093,624.0,True
1789044600534,0.2093,5888.0,True
1789044600960,0.2094,239.0,False
1789044601249,0.2094,68747.0,False
1789044601319,0.2094,380.0,True
1789044601386,0.2095,267.0,False
1789044601531,0.2095,31298.0,False
1789044601581,0.2096,152.0,False
1789044601778,0.2096,71512.0,False
1789044602037,0.2097,2414.0,False
1789044602476,0.2096,33.0,True
1789044603030,0.2096,4817.0,True
1789044603401,0.2096,2662.0,True
1789044603999,0.2096,1087.0,True
1789044604311,0.2097,930.0,False
1789044604447,0.2096,36573.0,True
1789044604468,0.2096,225491.0,False
1789044604480,0.2096,113803.0,False
1789044606015,0.2096,500.0,True
1789044606127,0.2096,425.0,True
1789044606612,0.2097,33.0,False
1789044607281,0.2096,47058.0,True
1789044607339,0.2096,37701.0,False
1789044607443,0.2096,95723.0,True
1789044607649,0.2096,34639.0,False
1789044608103,0.2096,161998.0,True
1789044609254,0.2096,1114.0,False
1789044609690,0.2096,7057.0,False
1789044609795,0.2095,28108.0,True
1789044609836,0.2096,25.0,False
1789044610006,0.2096,55.0,False
1789044610222,0.2095,11075.0,True
1789044610334,0.2094,39314.0,True
1789044610377,0.2094,179.0,False
1789044611340,0.2094,208747.0,False
1789044611907,0.2095,14292.0,False
1789044611914,0.2094,258.0,True
1789044612073,0.2094,69.0,True
1789044612453,0.2095,160.0,False
1789044613118,0.2095,308.0,False
1789044613822,0.2095,9546.0,False
1789044613935,0.2094,34.0,True
1789044614150,0.2094,47307.0,True
1789044614190,0.2094,117862.0,False
1789044614316,0.2095,352.0,False
1789044614764,0.2095,451.0,False
1789044615040,0.2095,372.0,False
1789044615321,0.2094,2518.0,True
1789044615370,0.2095,138021.0,False
1789044615469,0.2096,4675.0,False
1789044615571,0.2096,95.0,False
1789044615676,0.2096,158.0,False
1789044615874,0.2096,47.0,False
1789044616687,0.2096,174.0,False
1789044616913,0.2095,53877.0,True
1789044616921,0.2094,24284.0,True
1789044616934,0.2095,61.0,False
1789044617166,0.2095,75.0,False
1789044617682,0.2094,578.0,True
1789044618938,0.2095,19817.0,False
1789044618994,0.2094,47.0,True
1789044620046,0.2095,1028.0,False
1789044620095,0.2094,27926.0,True
1789044620536,0.2093,45.0,True
1789044620633,0.2094,2387.0,False
1789044620794,0.2094,30273.0,False
1789044620886,0.2094,66.0,True
1789044621314,0.2095,1274.0,False
1789044623414,0.2094,29693.0,True
1789044623695,0.2094,248.0,True
1789044623702,0.2095,38.0,False
1789044623721,0.2094,2597.0,True
1789044623891,0.2094,595.0,True
1789044623988,0.2095,3711.0,False
1789044624121,0.2095,501.0,False
1789044624126,0.2094,2593.0,True
1789044624272,0.2094,139.0,True
1789044624346,0.2095,97832.0,False
1789044624514,0.2095,289.0,True
1789044624840,0.2095,53.0,True
1789044625035,0.2095,16431.0,True
1789044625058,0.2095,30697.0,False
1789044626038,0.2094,68.0,True
1789044626533,0.2094,5610.0,True
1789044626641,0.2094,19406.0,True
1789044626657,0.2093,117.0,True
1789044626685,0.2094,12321.0,False
1789044626704,0.2094,315.0,True
1789044627064,0.2095,280.0,False
1789044627973,0.2095,25.0,False
1789044628774,0.2095,11866.0,False
1789044629754,0.2094,190.0,True
1789044630712,0.2094,3021.0,True
1789044631405,0.2095,719.0,False
1789044632018,0.2095,17949.0,False
1789044633034,0.2095,257.0,False
1789044633564,0.2094,34.0,True
1789044634036,0.2095,47.0,False
1789044634145,0.2095,483.0,False
1789044634840,0.2095,57.0,False
1789044635868,0.2095,317.0,False
1789044636056,0.2094,19994.0,True
1789044636377,0.2093,16719.0,True
1789044636570,0.2094,47110.0,False
1789044636624,0.2094,2482.0,True
1789044636847,0.2094,66.0,False
1789044637144,0.2094,31.0,False
1789044637865,0.2094,35.0,False
1789044638245,0.2094,3695.0,False
1789044638526,0.2094,4869.0,False
1789044638582,0.2093,7385.0,True
1789044639804,0.2093,76.0,True
1789044639993,0.2093,272.0,True
1789044641846,0.2094,2000.0,False
1789044641951,0.2094,1425.0,False
1789044642616,0.2094,500.0,False
1789044642762,0.2094,238.0,False
1789044643128,0.2093,47573.0,True
1789044643466,0.2094,757.0,False
1789044643486,0.2093,43.0,True
1789044643515,0.2094,274.0,False
1789044643706,0.2094,4775.0,False
1789044644368,0.2094,4496.0,False
1789044644396,0.2093,57.0,True
1789044644656,0.2094,47755.0,False
1789044645657,0.2093,77.0,True
1789044645816,0.2094,446.0,False
1789044645974,0.2094,4864.0,False
1789044646650,0.2094,875.0,False
1789044647525,0.2093,41.0,True
1789044647633,0.2094,12298.0,False
1789044647824,0.2094,264.0,False
1789044648022,0.2094,710.0,False
1789044648049,0.2093,2407.0,True
1789044648589,0.2093,9730.0,True
1789044648942,0.2094,295.0,False
1789044650103,0.2094,1260.0,False
1789044650897,0.2094,369.0,False
1789044651204,0.2094,51491.0,False
1789044651205,0.2095,95.0,False
1789044651503,0.2095,52278.0,False
1789044651826,0.2096,65.0,False
1789044652248,0.2096,24.0,False
1789044652605,0.2096,14960.0,False
1789044653109,0.2096,650.0,False
1789044654036,0.2095,1603.0,True
1789044655178,0.2096,341.0,False
1789044655898,0.2096,507.0,False
1789044656242,0.2096,14390.0,False
1789044656675,0.2097,19872.0,False
1789044656924,0.2097,55.0,False
1789044657267,0.2097,789.0,False
1789044657366,0.2096,70.0,True
1789044658164,0.2097,778.0,False
1789044658325,0.2097,71906.0,False
1789044659633,0.2098,300.0,False
1789044660040,0.2097,39130.0,True
1789044660700,0.2097,572.0,True
1789044660819,0.2098,3995.0,False
1789044660958,0.2097,37034.0,True
1789044661091,0.2097,5204.0,False
1789044661366,0.2097,208.0,False
1789044662042,0.2097,96.0,False
1789044662546,0.2096,257.0,True
1789044663134,0.2097,1647.0,False
1789044663240,0.2097,66743.0,False
1789044663481,0.2097,1453.0,True
1789044663555,0.2098,2735.0,False
1789044663754,0.2098,5159.0,False
1789044663895,0.2097,50.0,True
1789044664058,0.2097,1000.0,True
1789044664757,0.2097,3182.0,True
1789044665013,0.2098,94.0,False
1789044665710,0.2097,56574.0,True
1789044665750,0.2097,194.0,False
1789044666039,0.2096,711.0,True
1789044667606,0.2097,7020.0,False
1789044667712,0.2096,1690.0,True
1789044667741,0.2097,517.0,False
1789044668590,0.2096,169.0,True
1789044668858,0.2097,445.0,False
1789044668908,0.2096,32.0,True
1789044669069,0.2096,40029.0,True
1789044669498,0.2096,11333.0,False
1789044670407,0.2097,1544.0,False
1789044670801,0.2097,106.0,False
1789044671616,0.2096,99.0,True
1789044671718,0.2096,82.0,True
1789044671820,0.2096,71.0,True
1789044671945,0.2097,1310.0,False
1789044672183,0.2097,95.0,False
1789044672613,0.2097,59548.0,False
1789044673713,0.2096,44134.0,True
1789044673988,0.2096,1701.0,False
1789044674345,0.2095,30.0,True
1789044674503,0.2095,147.0,True
1789044674903,0.2096,3888.0,False
1789044675312,0.2096,1230.0,False
1789044675454,0.2096,317.0,False
1789044675485,0.2095,76.0,True
1789044675649,0.2095,47.0,True
1789044675947,0.2095,50.0,True
1789044676165,0.2096,83.0,False
1789044676928,0.2096,66795.0,False
1789044676940,0.2096,24.0,True
1789044677092,0.2097,55.0,False
1789044677366,0.2096,76.0,True
1789044677954,0.2097,1191.0,False
1789044677981,0.2096,32.0,True
1789044678118,0.2096,30.0,True
1789044678347,0.2097,4770.0,False
1789044678386,0.2096,82.0,True
1789044678547,0.2097,63.0,False
1789044679330,0.2097,72.0,False
1789044679625,0.2097,1351.0,False
1789044679722,0.2096,750.0,True
1789044680549,0.2096,51.0,True
1789044681422,0.2096,76.0,True
1789044681703,0.2097,60.0,False
1789044681972,0.2096,265.0,True
1789044682370,0.2096,353.0,True
1789044682667,0.2096,159700.0,True
1789044682740,0.2096,53512.0,False
1789044682858,0.2097,70.0,False
1789044684154,0.2097,817.0,False
1789044684629,0.2096,28747.0,True
1789044684837,0.2096,106.0,False
1789044684991,0.2096,31068.0,False
1789044685412,0.2096,605.0,False
1789044685611,0.2096,61.0,True
1789044685938,0.2096,17051.0,True
1789044686554,0.2096,296819.0,False
1789044686868,0.2095,42.0,True
1789044687009,0.2096,1191.0,False
1789044687070,0.2095,103038.0,True
1789044687092,0.2094,2894.0,True
1789044687416,0.2094,1827.0,True
1789044688475,0.2094,2771.0,True
1789044688713,0.2094,5531.0,True
1789044688991,0.2095,16982.0,False
1789044689423,0.2095,2395.0,True
1789044690122,0.2095,16466.0,True
1789044690877,0.2094,87.0,True
1789044691099,0.2094,27352.0,True
1789044691578,0.2094,28660.0,False
1789044692333,0.2095,14591.0,False
1789044692889,0.2095,477.0,False
1789044693101,0.2094,681.0,True
1789044693411,0.2095,1901.0,False
1789044693797,0.2094,26.0,True
1789044693872,0.2095,1076.0,False
1789044693913,0.2094,30.0,True
1789044694768,0.2094,36.0,True
1789044695108,0.2095,216.0,False
1789044695567,0.2094,94.0,True
1789044695662,0.2095,39.0,False
1789044697592,0.2095,368.0,False
1789044697849,0.2094,1197.0,True
1789044698264,0.2095,4878.0,False
1789044698891,0.2095,24254.0,False
1789044699176,0.2095,950.0,True
1789044699558,0.2096,4413.0,False
1789044699761,0.2095,22120.0,True
1789044700018,0.2095,9274.0,False
1789044700117,0.2096,299.0,False
1789044700599,0.2095,10601.0,True
1789044700734,0.2095,12550.0,True
1789044701128,0.2096,9541.0,False
1789044701581,0.2096,376.0,False
