T,p,q,sell_agg
1789044600547,7.617,129.0,True
1789044600742,7.617,2.0,True
1789044601214,7.618,28.0,False
1789044601258,7.619,6.0,False
1789044601523,7.62,22.0,False
1789044601601,7.621,15.0,False
1789044601675,7.622,11.0,False
1789044601777,7.623,897.0,False
1789044601810,7.624,10.0,False
1789044601853,7.624,2.0,True
1789044601922,7.625,10.0,False
1789044602201,7.624,72.0,True
1789044602644,7.623,125.0,True
1789044602724,7.622,119.0,True
1789044602863,7.621,3.0,True
1789044602942,7.622,1.0,False
1789044603193,7.623,1.0,False
1789044603221,7.622,59.0,True
1789044603431,7.621,303.0,True
1789044603636,7.621,47.0,False
1789044603888,7.621,5.0,True
1789044604852,7.621,3.0,True
1789044604868,7.622,12.0,False
1789044604877,7.623,6.0,False
1789044605098,7.623,42.0,False
1789044605628,7.626,13.0,False
1789044605850,7.625,4.0,True
1789044606599,7.625,95.0,True
1789044606910,7.625,3.0,True
1789044606966,7.626,165.0,False
1789044607031,7.625,642.0,True
1789044607166,7.624,453.0,True
1789044607208,7.623,216.0,True
1789044607228,7.623,94.0,False
1789044607282,7.623,258.0,True
1789044607328,7.623,156.0,False
1789044607604,7.624,101.0,False
1789044607628,7.624,13.0,True
1789044608044,7.625,338.0,False
1789044608054,7.625,66.0,True
1789044609120,7.624,6.0,True
1789044609414,7.624,573.0,True
1789044609661,7.624,26.0,False
1789044609794,7.623,134.0,True
1789044610012,7.623,65.0,False
1789044610026,7.622,4.0,True
1789044610055,7.623,29.0,False
1789044610232,7.622,179.0,True
1789044610333,7.621,16.0,True
1789044610364,7.619,10.0,True
1789044610964,7.619,4.0,True
1789044611232,7.619,3.0,True
1789044611349,7.62,24.0,False
1789044611351,7.621,64.0,False
1789044611387,7.621,1.0,True
1789044612084,7.621,3.0,True
1789044613118,7.621,3.0,True
1789044613903,7.621,4.0,True
1789044614298,7.621,5.0,True
1789044614653,7.622,5.0,False
1789044615390,7.622,169.0,False
1789044615432,7.622,3.0,True
1789044615455,7.623,652.0,False
1789044615463,7.624,43.0,False
1789044615680,7.624,108.0,True
1789044615769,7.623,43.0,True
1789044615833,7.622,2.0,True
1789044616042,7.623,5.0,False
1789044616286,7.623,60.0,True
1789044616450,7.622,4.0,True
1789044616833,7.622,14.0,True
1789044616917,7.621,302.0,True
1789044616919,7.62,298.0,True
1789044617057,7.621,10.0,False
1789044617474,7.621,4.0,True
1789044617744,7.621,226.0,True
1789044617787,7.621,41.0,False
1789044618381,7.622,14.0,False
1789044618466,7.622,4.0,True
1789044618774,7.622,1.0,True
1789044618900,7.621,16.0,True
1789044619336,7.621,29.0,False
1789044619466,7.62,2.0,True
1789044620037,7.62,14.0,True
1789044620070,7.619,101.0,True
1789044620602,7.618,3.0,True
1789044620696,7.619,81.0,False
1789044620923,7.62,5.0,False
1789044621512,7.621,1.0,False
1789044621774,7.62,36.0,False
1789044621799,7.621,53.0,True
1789044622335,7.621,29.0,True
1789044622610,7.621,36.0,False
1789044622806,7.621,5.0,True
1789044623298,7.622,11.0,False
1789044623701,7.623,306.0,False
1789044623908,7.623,5.0,True
1789044624003,7.624,483.0,False
1789044624328,7.624,58.0,False
1789044624802,7.624,14.0,True
1789044625079,7.624,13.0,True
1789044625202,7.624,211.0,True
1789044625438,7.623,194.0,True
1789044625780,7.622,2.0,True
1789044625903,7.622,40.0,True
1789044626389,7.622,1.0,True
1789044626617,7.622,380.0,True
1789044626850,7.622,2.0,True
1789044627495,7.622,41.0,False
1789044627916,7.622,5.0,True
1789044628021,7.622,125.0,True
1789044629096,7.621,4.0,True
1789044630150,7.621,3.0,True
1789044631116,7.622,32.0,False
1789044631358,7.621,2.0,True
1789044631702,7.621,7.0,True
1789044631977,7.621,221.0,True
1789044632017,7.622,256.0,False
1789044632278,7.621,3.0,True
1789044633396,7.621,5.0,True
1789044633896,7.621,2.0,True
1789044634127,7.621,2.0,True
1789044634440,7.621,3.0,True
1789044635492,7.621,10.0,True
1789044635964,7.622,1.0,False
1789044636566,7.622,195.0,False
1789044636590,7.622,3.0,True
1789044637025,7.623,235.0,False
1789044637131,7.622,151.0,True
