T,p,q,sell_agg
1789044300042,712.44,5.58,True
1789044300355,712.44,7.81,True
1789044300356,712.4,0.08,True
1789044300382,712.4,7.29,False
1789044300518,712.4,0.45,False
1789044300521,712.39,0.03,True
1789044300789,712.38,1.31,True
1789044301013,712.39,1.33,False
1789044301015,712.4,0.02,False
1789044301028,712.41,0.03,False
1789044301031,712.44,0.02,False
1789044301054,712.45,0.05,False
1789044301083,712.47,0.01,False
1789044301092,712.49,0.03,False
1789044301174,712.49,2.09,True
1789044301725,712.5,0.65,False
1789044301728,712.53,0.05,False
1789044301812,712.56,0.05,False
1789044301814,712.57,0.01,False
1789044301950,712.6,0.07,False
1789044301992,712.59,0.1,True
1789044302049,712.58,1.36,False
1789044302542,712.58,19.23,False
1789044302577,712.59,0.01,False
1789044302866,712.61,2.0,False
1789044302951,712.6,0.1,True
1789044303049,712.61,7.01,False
1789044303523,712.6,1.68,True
1789044303546,712.59,0.02,True
1789044303706,712.57,0.05,True
1789044303708,712.55,0.05,True
1789044303898,712.51,0.16,False
1789044303957,712.52,0.01,False
1789044304002,712.53,0.01,True
1789044304120,712.54,1.09,False
1789044304169,712.55,0.03,False
1789044304211,712.56,0.41,False
1789044304213,712.57,0.04,False
1789044304567,712.58,0.6,False
1789044304569,712.61,0.1,False
1789044304587,712.63,4.73,False
1789044304667,712.64,0.86,False
1789044304676,712.69,1.04,True
1789044304800,712.69,5.6,True
1789044304933,712.7,0.11,False
1789044304937,712.71,0.01,False
1789044304961,712.72,0.05,False
1789044304963,712.74,0.02,False
1789044305042,712.74,1.58,True
1789044305322,712.73,0.59,True
1789044305471,712.71,0.01,True
1789044305473,712.67,0.01,True
1789044305475,712.64,0.01,True
1789044305664,712.63,0.01,True
1789044305666,712.6,0.17,True
1789044305670,712.59,0.03,True
1789044305673,712.54,0.03,True
1789044305717,712.55,18.4,False
1789044305749,712.56,0.01,False
1789044306327,712.56,6.4,False
1789044306383,712.59,0.05,False
1789044306410,712.58,0.02,True
1789044306460,712.56,5.26,False
1789044306825,712.56,9.05,False
1789044306826,712.58,0.03,False
1789044307031,712.58,0.72,True
1789044307036,712.55,0.2,True
1789044307038,712.53,0.05,True
1789044307087,712.53,0.55,False
1789044307111,712.52,10.33,True
1789044307113,712.51,0.06,True
1789044307222,712.49,10.55,False
1789044307493,712.48,0.11,True
1789044307995,712.49,6.83,False
1789044308006,712.53,0.56,False
1789044308015,712.56,0.01,False
1789044308149,712.59,0.02,False
1789044308165,712.62,0.09,False
1789044308168,712.63,0.05,False
1789044308298,712.64,0.54,False
1789044308816,712.64,0.21,False
1789044308916,712.63,0.1,True
1789044309471,712.64,7.01,False
1789044310184,712.63,0.04,True
1789044310186,712.64,7.01,False
1789044310361,712.63,0.01,True
1789044311236,712.63,7.28,True
1789044311237,712.62,0.01,True
