T,p,q,sell_agg
1789135500009,79507.8,0.072,False
1789135500012,79507.7,0.031,True
1789135500116,79507.7,2.618,True
1789135500157,79507.6,0.024,True
1789135500158,79506.3,0.001,False
1789135500160,79504.9,0.054,True
1789135500161,79504.5,0.001,True
1789135500162,79502.5,0.044,True
1789135500165,79502.6,0.039,False
1789135500168,79502.4,0.001,True
1789135500170,79499.9,0.001,False
1789135500191,79499.8,0.343,True
1789135500193,79499.7,0.002,True
1789135500194,79499.2,0.001,False
1789135500195,79499.1,0.001,True
1789135500197,79497.1,0.001,False
1789135500215,79497.0,0.051,True
1789135500266,79497.1,0.001,False
1789135500268,79497.0,0.518,True
1789135500269,79496.9,0.001,True
1789135500270,79495.4,0.038,True
1789135500273,79495.3,2.506,True
1789135500274,79495.2,0.001,True
1789135500275,79494.9,0.001,False
1789135500276,79494.2,0.001,True
1789135500277,79492.5,0.001,True
1789135500278,79490.1,0.001,True
1789135500279,79489.0,0.002,True
1789135500296,79484.2,0.001,True
1789135500310,79484.3,0.182,False
1789135500410,79484.2,0.551,True
1789135500418,79484.1,0.001,True
1789135500419,79480.9,0.002,True
1789135500420,79478.5,0.077,True
1789135500484,79478.6,0.019,False
1789135500487,79478.5,0.436,True
1789135500494,79478.4,0.001,True
1789135500505,79473.7,0.035,False
1789135500510,79473.6,0.254,True
1789135500516,79473.7,0.027,False
1789135500528,79473.6,0.001,True
1789135500530,79473.7,0.225,False
1789135500599,79473.6,0.059,True
1789135500605,79473.6,0.377,True
1789135500606,79473.5,0.001,True
1789135500607,79471.0,0.015,True
1789135500609,79469.8,0.019,True
1789135500613,79469.9,0.558,False
1789135500662,79469.8,0.012,True
1789135500664,79469.9,0.222,False
1789135500666,79470.0,0.004,False
1789135500677,79473.2,0.005,False
1789135500691,79473.1,0.052,True
1789135500726,79473.2,0.49,False
1789135500739,79473.1,0.002,True
1789135500751,79473.2,0.035,False
1789135500753,79473.6,0.002,False
1789135500754,79476.3,0.004,False
1789135500755,79476.4,0.001,False
1789135500756,79478.3,0.001,False
1789135500757,79478.6,0.041,False
1789135500759,79479.7,0.001,False
1789135500761,79480.4,0.014,False
1789135500767,79480.5,0.002,False
1789135500768,79481.1,0.001,False
1789135500770,79483.3,0.034,False
1789135500773,79483.4,0.002,False
1789135500774,79488.4,0.002,False
1789135500779,79488.7,0.001,False
1789135500780,79488.6,0.001,False
1789135500781,79490.7,0.001,False
1789135500784,79491.7,0.002,False
1789135500786,79492.8,0.002,False
1789135500792,79493.4,0.006,False
1789135500793,79494.2,0.001,False
1789135500794,79495.0,0.002,False
1789135500796,79495.6,0.001,False
1789135500798,79496.7,0.006,False
1789135500800,79497.0,0.002,False
1789135500803,79497.7,0.821,False
1789135500823,79498.0,0.001,False
1789135500824,79499.9,0.013,False
1789135500826,79500.0,0.009,False
1789135500827,79502.2,0.001,False
1789135500828,79502.9,0.002,False
1789135500836,79503.6,0.002,False
1789135500838,79505.8,0.001,False
1789135500839,79506.8,0.001,False
1789135500840,79507.2,0.001,False
1789135500931,79507.7,5.147,True
1789135500957,79507.6,0.003,True
1789135500958,79506.0,0.001,True
1789135500959,79505.6,0.001,True
1789135500960,79505.0,0.003,True
1789135500961,79504.0,0.001,True
1789135500962,79501.8,0.001,True
1789135500965,79500.6,0.001,True
1789135501021,79500.1,2.131,False
1789135501023,79500.2,0.001,False
1789135501024,79501.9,0.002,False
1789135501025,79504.0,0.002,False
1789135501028,79505.5,0.002,True
1789135501055,79505.6,0.038,False
1789135501056,79509.6,0.001,False
1789135501057,79510.3,0.012,False
1789135501059,79510.7,0.017,False
1789135501090,79510.6,0.14,True
1789135501107,79510.7,0.005,False
1789135501112,79510.6,0.005,True
1789135501130,79510.7,0.063,False
1789135501133,79510.9,0.001,False
1789135501134,79513.3,0.001,False
1789135501135,79514.0,0.007,True
1789135501136,79514.7,0.002,False
1789135501142,79515.1,0.32,False
1789135501144,79515.2,0.001,False
1789135501145,79516.5,0.001,False
1789135501147,79516.6,0.001,False
1789135501148,79517.8,0.01,False
1789135501149,79518.0,0.003,False
1789135501150,79518.7,0.002,False
1789135501183,79519.3,0.003,True
1789135501198,79519.4,0.051,False
1789135501237,79519.3,2.42,True
1789135501308,79519.2,0.015,True
1789135501309,79518.8,0.451,True
1789135501311,79517.2,0.001,False
1789135501332,79517.2,9.321,False
1789135501351,79517.3,0.282,False
1789135501388,79517.2,0.005,True
1789135501475,79517.3,0.564,False
1789135501477,79518.0,0.001,False
1789135501478,79518.4,0.115,False
1789135501480,79519.0,0.001,False
1789135501482,79519.6,0.003,False
1789135501484,79520.0,0.626,False
