T,p,q,sell_agg
1789130400075,0.08488,136042.0,False
1789130400115,0.08489,28416.0,False
1789130400226,0.08489,86444.0,True
1789130400334,0.08488,73680.0,True
1789130400527,0.08488,26891.0,False
1789130400565,0.08487,34393.0,True
1789130400567,0.08486,115319.0,True
1789130400608,0.08486,88464.0,False
1789130400750,0.08486,20390.0,False
1789130401001,0.08486,1139.0,True
1789130401013,0.08487,30994.0,False
1789130401216,0.08488,1183.0,False
1789130401226,0.08487,2219.0,True
1789130401238,0.08486,114268.0,True
1789130401277,0.08486,533.0,False
1789130401402,0.08486,155.0,True
1789130401415,0.08487,8307.0,False
1789130401501,0.08487,206.0,True
1789130401877,0.08487,9564.0,True
1789130401888,0.08487,470.0,False
1789130401894,0.08486,1978.0,True
1789130402087,0.08486,340.0,True
1789130402126,0.08487,4338.0,False
1789130402183,0.08488,1364.0,False
1789130402819,0.08487,56088.0,True
1789130402845,0.08486,130301.0,True
1789130402858,0.08485,78520.0,True
1789130402934,0.08484,9817.0,True
1789130403091,0.08485,3068.0,False
1789130403286,0.08484,180320.0,True
1789130403412,0.08484,5017.0,False
1789130403467,0.08484,4997.0,True
1789130403544,0.08484,251.0,False
1789130403547,0.08485,19008.0,False
1789130403549,0.08486,17674.0,False
1789130403596,0.08485,265.0,True
1789130403643,0.08485,25430.0,False
1789130403858,0.08484,1791.0,True
1789130403966,0.08484,92819.0,True
1789130404102,0.08484,3212.0,False
1789130404138,0.08483,58359.0,True
1789130404290,0.08483,4784.0,True
1789130404342,0.08484,20784.0,False
1789130404357,0.08485,5461.0,False
1789130404417,0.08485,61956.0,True
1789130404467,0.08484,185.0,True
1789130404826,0.08484,105335.0,True
1789130404857,0.08483,327419.0,True
1789130404892,0.08482,1024037.0,True
1789130404940,0.08481,28528.0,True
1789130404967,0.0848,151854.0,True
1789130405014,0.08479,2171.0,True
1789130405100,0.0848,1325.0,False
1789130405101,0.08479,87500.0,True
1789130405117,0.08478,14906.0,True
1789130405124,0.08479,35360.0,False
1789130405246,0.08478,445037.0,True
1789130405247,0.08477,101264.0,True
1789130405267,0.08477,8445.0,False
1789130405297,0.08476,13205.0,True
1789130405338,0.08477,3944.0,False
1789130405341,0.08476,1000.0,True
1789130405357,0.08477,399.0,False
1789130405526,0.08477,30238.0,False
1789130405538,0.08478,16179.0,False
1789130405543,0.08479,11299.0,False
1789130405614,0.08479,69.0,True
1789130405647,0.0848,513997.0,False
1789130405688,0.08481,34962.0,False
1789130405704,0.08482,46025.0,False
1789130405720,0.08483,33660.0,False
1789130405747,0.08484,27294.0,False
1789130405771,0.08484,65.0,True
1789130405847,0.08485,2068.0,False
1789130406040,0.08484,2131.0,True
1789130406042,0.08485,1074.0,False
1789130406262,0.08485,61082.0,False
1789130406359,0.08486,44.0,False
1789130406533,0.08485,9138.0,True
1789130406619,0.08484,1282.0,True
1789130406859,0.08484,31721.0,False
1789130406874,0.08485,314.0,False
1789130406892,0.08486,11294.0,False
1789130406902,0.08487,447.0,False
1789130406972,0.08488,45188.0,False
1789130407027,0.08488,11822.0,True
1789130407040,0.08489,41694.0,False
1789130407066,0.08489,2274.0,True
1789130407136,0.0849,1431.0,False
1789130407159,0.08489,154253.0,True
1789130407219,0.08488,146035.0,True
1789130407359,0.08488,44.0,False
1789130407546,0.08487,1305.0,True
1789130407692,0.08487,13223.0,True
1789130407860,0.08487,28474.0,False
