T,p,q,sell_agg
1789081801030,52.23,2.175,True
1789081801690,52.23,0.828,True
1789081805970,52.23,10.045,True
1789081806185,52.22,38.571,True
1789081806888,52.22,34.863,False
1789081807160,52.23,16.587,False
1789081811664,52.23,0.153,True
1789081813031,52.23,2.496,True
1789081814819,52.24,1.79,False
1789081815031,52.23,3.491,True
1789081815918,52.23,0.011,True
1789081822718,52.23,0.557,True
1789081822719,52.24,0.46,False
1789081824830,52.23,2.53,True
1789081826063,52.24,0.485,False
1789081830473,52.24,2.041,False
1789081830738,52.23,0.079,True
1789081833218,52.23,0.956,True
1789081834181,52.23,0.06,True
1789081838800,52.23,6.0,True
1789081840245,52.24,71.0,False
1789081843031,52.24,3.448,False
1789081843894,52.24,82.469,False
1789081843900,52.25,88.986,False
1789081847662,52.25,0.153,True
1789081849030,52.25,3.301,True
1789081850211,52.25,0.406,False
1789081851127,52.24,1.194,True
1789081857031,52.23,2.537,True
1789081858030,52.23,1.891,True
1789081859033,52.23,5.378,True
1789081859646,52.22,16.371,True
1789081860250,52.21,38.565,True
1789081860469,52.2,5.397,True
1789081861448,52.19,6.044,True
1789081861764,52.18,19.589,True
1789081861959,52.18,20.133,False
1789081861965,52.19,69.88,False
1789081861988,52.21,154.399,False
1789081862040,52.22,87.729,False
1789081862172,52.23,0.383,False
1789081862214,52.22,162.346,True
1789081862400,52.22,4.44,True
1789081862477,52.21,39.909,True
1789081862650,52.22,2.444,False
1789081862951,52.21,0.608,True
1789081863031,52.22,3.554,False
1789081863236,52.22,48.558,False
1789081863268,52.23,7.819,False
1789081864150,52.23,4.678,True
1789081864866,52.24,14.418,False
1789081865031,52.25,3.56,False
1789081866030,52.25,3.558,False
1789081866991,52.25,18.199,False
1789081867095,52.26,3.434,False
1789081867714,52.27,1.959,False
1789081867880,52.28,15.325,False
1789081868790,52.29,0.383,False
1789081870221,52.29,7.756,False
1789081870701,52.29,33.66,True
1789081870886,52.28,36.356,True
1789081872113,52.27,1.198,True
1789081876190,52.27,0.232,False
1789081877099,52.26,3.155,True
1789081877108,52.25,40.469,True
1789081881652,52.24,87.307,True
1789081883662,52.23,0.153,True
1789081885194,52.23,4.87,True
1789081886083,52.22,1.755,True
1789081886475,52.22,1.593,True
1789081888716,52.22,23.824,True
1789081893422,52.23,0.718,False
1789081893798,52.22,3.566,True
1789081894032,52.21,9.697,True
1789081903328,52.21,67.63,True
1789081903350,52.2,33.122,True
1789081904165,52.19,11.291,True
1789081906033,52.18,0.423,True
1789081909030,52.18,0.761,True
1789081910383,52.19,2.772,False
1789081912070,52.19,0.615,False
1789081912830,52.18,0.392,True
1789081914673,52.18,1.868,True
1789081919313,52.17,4.754,True
1789081919663,52.17,0.153,True
1789081920827,52.18,64.162,False
1789081921197,52.18,1.193,True
1789081921198,52.19,10.11,False
1789081921484,52.19,0.381,True
1789081921587,52.19,0.403,True
1789081922685,52.18,1.918,True
1789081922788,52.18,0.584,True
1789081923689,52.19,2.876,False
1789081925316,52.19,0.383,False
1789081925499,52.19,0.584,False
1789081926353,52.18,2.531,True
1789081929031,52.18,2.528,False
1789081929184,52.18,29.642,False
1789081929460,52.18,0.478,True
1789081930587,52.18,7.754,True
1789081934880,52.19,33.897,False
1789081936377,52.2,0.192,False
1789081942370,52.19,0.028,True
1789081943519,52.2,32.496,False
1789081943692,52.2,244.603,True
1789081944558,52.19,0.293,True
1789081946474,52.19,0.263,True
