T,p,q,sell_agg
1789135500015,105.28,59.98,False
1789135500034,105.27,1.16,True
1789135500126,105.28,4.12,False
1789135500158,105.27,28.89,True
1789135500165,105.26,14.54,True
1789135500194,105.25,16.22,True
1789135500198,105.24,3.28,True
1789135500228,105.24,39.38,False
1789135500276,105.23,125.77,True
1789135500409,105.24,0.17,False
1789135500415,105.23,396.39,True
1789135500442,105.22,110.06,True
1789135500528,105.22,608.07,False
1789135500553,105.23,62.57,False
1789135500733,105.25,292.54,False
1789135500771,105.25,4.99,True
1789135500773,105.26,289.22,False
1789135500785,105.26,5.13,True
1789135500786,105.27,4.5,False
1789135500787,105.27,29.04,True
1789135500795,105.28,20.34,False
1789135500829,105.29,114.87,False
1789135500868,105.29,2.08,True
1789135501035,105.3,0.48,False
1789135501050,105.29,1.16,True
1789135501057,105.3,775.72,False
1789135501138,105.31,2.89,False
1789135501314,105.31,0.12,True
1789135501388,105.32,0.46,False
1789135501406,105.31,20.23,True
1789135501531,105.32,0.05,False
1789135501642,105.31,33.76,True
1789135501663,105.32,0.14,False
1789135501693,105.31,49.26,True
1789135501778,105.32,89.74,False
1789135501794,105.33,0.54,False
1789135501902,105.33,3.59,False
1789135501911,105.32,1.24,True
1789135502010,105.32,22.58,True
1789135502031,105.31,22.55,True
1789135502057,105.32,0.05,False
1789135502064,105.31,1.16,True
1789135502069,105.32,60.34,False
1789135502189,105.32,4.01,False
1789135502206,105.33,5.68,False
1789135502212,105.32,0.09,True
1789135502214,105.33,114.14,False
1789135502270,105.34,9.8,False
1789135502324,105.33,3.39,True
1789135502326,105.34,0.05,False
1789135502333,105.33,35.73,True
1789135502403,105.34,0.4,False
1789135502441,105.33,2.72,True
1789135502561,105.34,4.65,False
1789135502587,105.33,479.07,True
1789135502596,105.32,2.0,True
1789135502618,105.3,41.57,True
1789135502678,105.31,0.36,False
1789135502742,105.3,17.54,True
1789135502761,105.31,9.29,False
1789135502809,105.3,18.59,True
1789135502823,105.3,0.55,False
1789135502826,105.29,90.36,True
1789135502831,105.29,6.67,False
1789135502903,105.28,17.78,True
1789135502909,105.27,4.5,True
1789135502923,105.26,0.32,True
1789135502949,105.27,5.15,False
1789135503016,105.26,0.18,True
1789135503051,105.27,0.68,False
1789135503052,105.26,301.16,True
1789135503092,105.27,0.05,False
1789135503124,105.26,347.48,True
1789135503145,105.26,73.32,False
1789135503164,105.25,22.53,True
1789135503168,105.25,0.15,False
1789135503189,105.24,10.69,True
1789135503281,105.24,0.31,False
1789135503408,105.23,2.34,True
1789135503436,105.24,3.64,False
1789135503582,105.24,13.5,False
1789135503765,105.23,5.55,True
1789135503789,105.24,5.81,False
1789135503887,105.23,496.68,True
1789135503933,105.23,0.21,False
1789135503990,105.22,83.32,True
1789135504081,105.22,4.41,False
1789135504093,105.21,23.15,True
1789135504119,105.21,19.03,False
1789135504138,105.2,55.04,True
1789135504204,105.19,9.97,True
1789135504214,105.2,0.5,False
1789135504228,105.19,3.37,True
1789135504232,105.2,0.05,False
1789135504235,105.19,19.66,True
1789135504426,105.19,986.54,True
1789135504432,105.18,99.08,True
1789135504635,105.18,0.05,False
1789135504649,105.17,171.57,True
1789135504688,105.17,5.04,False
1789135504743,105.16,7.19,True
1789135504744,105.15,2.18,True
1789135504769,105.16,263.43,False
1789135504982,105.16,98.47,True
1789135505030,105.15,16.22,True
1789135505032,105.14,117.2,True
1789135505039,105.13,19.43,True
1789135505107,105.12,1.16,True
1789135505128,105.13,93.55,False
1789135505233,105.13,6.61,False
1789135505234,105.12,500.0,True
1789135505285,105.13,217.11,True
1789135505329,105.13,1.48,False
1789135505354,105.12,346.89,True
1789135505379,105.11,43.34,True
1789135505380,105.11,1.48,False
1789135505392,105.1,471.51,True
1789135505452,105.1,1244.16,False
1789135505534,105.11,165.4,False
1789135505562,105.12,24.72,False
1789135505585,105.12,99.48,True
1789135505637,105.13,0.86,False
1789135505641,105.12,0.46,True
1789135505724,105.13,83.14,False
1789135505829,105.14,2.29,False
1789135505901,105.13,28.07,True
1789135505918,105.14,9.55,False
1789135506013,105.13,195.58,True
1789135506026,105.12,216.58,True
1789135506034,105.12,0.44,False
1789135506048,105.11,237.76,True
1789135506074,105.1,27.13,True
1789135506172,105.11,9.86,False
1789135506222,105.1,0.51,True
1789135506262,105.11,18.85,False
1789135506286,105.1,23.0,True
1789135506303,105.11,0.5,False
1789135506344,105.1,16.38,True
1789135506352,105.11,64.59,False
1789135506377,105.1,0.5,True
1789135506390,105.11,0.62,False
1789135506524,105.11,0.05,False
1789135506572,105.1,2.0,True
1789135506687,105.11,0.05,False
1789135506711,105.1,35.91,True
1789135506718,105.11,339.6,False
1789135506772,105.11,58.7,True
1789135506811,105.12,28.32,False
1789135506971,105.12,0.54,False
1789135506994,105.11,27.05,True
1789135507079,105.12,344.9,False
1789135507127,105.13,123.2,False
1789135507131,105.12,5.26,False
1789135507135,105.12,1.16,True
1789135507201,105.13,0.05,False
1789135507229,105.12,10.8,True
1789135507293,105.13,6.44,False
1789135507435,105.12,5.7,True
1789135507467,105.13,0.05,False
1789135507551,105.12,0.94,True
1789135507787,105.13,0.05,False
1789135507921,105.12,285.54,True
1789135507929,105.11,15.07,True
1789135507948,105.12,0.95,False
1789135508065,105.11,9.31,True
1789135508229,105.12,188.83,False
1789135508353,105.12,22.12,True
1789135508473,105.13,6.64,False
1789135508591,105.13,22.99,False
1789135508742,105.14,0.05,False
1789135508754,105.13,2.7,True
1789135508793,105.14,203.66,False
1789135508843,105.15,0.05,False
1789135508863,105.14,32.94,True
1789135508912,105.14,0.05,False
1789135508916,105.13,61.68,True
1789135508923,105.13,4.49,False
1789135508943,105.12,1.0,True
1789135508963,105.12,0.09,False
