T,p,q,sell_agg
1789124700493,0.7222,95.1,False
1789124700676,0.7221,14935.9,True
1789124703003,0.7221,2769.6,False
1789124703043,0.722,51.7,True
1789124703155,0.722,9.0,True
1789124703576,0.7221,919.6,False
1789124703850,0.7222,10469.3,False
1789124706793,0.7222,18.0,False
1789124708592,0.7222,2265.3,False
1789124709685,0.7223,158.8,False
1789124709935,0.7223,161.2,False
1789124710172,0.7222,17.7,True
1789124712650,0.7222,7055.8,True
1789124713770,0.7221,196.6,True
1789124714352,0.7221,9.3,True
1789124715863,0.7222,36.4,False
1789124716030,0.7222,17.4,False
1789124716162,0.7222,18.3,False
1789124716370,0.7222,1831.2,False
1789124716390,0.7222,62.2,True
1789124716665,0.7223,2485.4,False
1789124717219,0.7223,7.9,True
1789124717684,0.7223,37.3,True
1789124717722,0.7224,4541.3,False
1789124718346,0.7225,72.9,False
1789124718643,0.7224,11.3,True
1789124719011,0.7225,7.1,False
1789124719416,0.7224,1446.8,True
1789124719417,0.7224,430.8,False
1789124719633,0.7224,10.0,False
1789124719665,0.7223,50.6,True
1789124719892,0.7224,8.3,False
1789124720812,0.7224,1059.3,False
1789124721510,0.7224,53.7,True
1789124721811,0.7224,7.0,False
1789124722434,0.7225,13.8,False
1789124723666,0.7224,11.1,True
1789124724061,0.7225,138.6,False
1789124725102,0.7225,2083.6,False
1789124725302,0.7225,2136.3,False
1789124725565,0.7224,8.8,True
1789124725805,0.7224,166.4,True
1789124726151,0.7224,8.0,True
1789124726352,0.7224,83.0,True
1789124726373,0.7225,885.9,False
1789124726485,0.7224,17.4,True
1789124727505,0.7225,8348.4,False
1789124728100,0.7225,31.0,False
1789124728590,0.7225,317.2,False
1789124728688,0.7224,224.2,True
1789124729037,0.7224,69.2,True
1789124729850,0.7224,57.2,True
1789124729999,0.7225,168.2,False
1789124730313,0.7224,18.3,True
1789124730943,0.7224,15.0,True
1789124732277,0.7225,2852.9,False
1789124732496,0.7225,2761.3,True
1789124734142,0.7225,23.0,True
1789124735012,0.7226,169.7,False
1789124735452,0.7225,5882.5,True
1789124735455,0.7224,2748.5,True
1789124735465,0.7223,2540.9,True
1789124735820,0.7223,9434.2,False
1789124735850,0.7222,479.5,True
1789124736092,0.7223,360.8,False
1789124736231,0.7223,337.2,False
1789124736386,0.7223,1489.7,False
1789124736553,0.7224,55.0,False
1789124736720,0.7223,14.1,True
1789124738370,0.7222,11.1,True
1789124738508,0.7223,25.6,False
1789124739471,0.7222,9.1,True
1789124743129,0.7222,133.2,True
1789124743132,0.7223,158.6,False
1789124743399,0.7222,5225.0,True
1789124743638,0.7222,158.6,False
1789124744475,0.7221,38.5,True
1789124746265,0.7221,8337.3,True
1789124746354,0.7221,7.4,False
1789124746409,0.722,6286.7,True
1789124746666,0.7219,6356.4,True
1789124747455,0.7219,305.9,False
1789124748180,0.7219,3597.5,False
1789124748731,0.7219,136.0,True
1789124749002,0.722,5127.1,False
1789124752502,0.722,3971.1,False
1789124752505,0.7221,127.1,False
1789124753231,0.722,27.0,True
1789124753540,0.722,96.1,True
1789124754161,0.7221,17.6,False
1789124754868,0.7221,119.3,False
1789124756342,0.7221,1000.0,False
1789124757012,0.7221,30.2,False
1789124757818,0.722,83.0,True
1789124759667,0.722,11.1,True
1789124761046,0.722,10.2,True
1789124761815,0.722,16.1,True
1789124761837,0.7221,53.6,False
1789124762837,0.722,19.5,True
1789124763101,0.7221,5313.8,False
1789124763109,0.7222,127.1,False
1789124763337,0.7222,4988.8,False
1789124763976,0.7223,1409.4,False
1789124764231,0.7224,0.1,False
1789124764448,0.7223,355.6,True
1789124765055,0.7223,94.7,True
1789124765969,0.7224,55.2,False
1789124766194,0.7223,7276.0,True
1789124766327,0.7222,1288.9,True
1789124766614,0.7221,65.4,True
1789124766674,0.7222,33.9,False
1789124766824,0.7221,68.8,True
1789124766947,0.7221,14.0,True
1789124768692,0.7222,158.8,False
1789124769736,0.7222,29.3,False
1789124770991,0.7221,3049.6,True
1789124771020,0.722,3867.4,True
1789124771197,0.722,8.1,True
1789124771231,0.7221,7739.1,False
1789124772526,0.722,17.6,True
1789124773025,0.7221,694.1,False
1789124773179,0.722,2863.4,True
1789124774612,0.722,73.7,True
1789124775729,0.722,36.7,True
1789124776621,0.722,61.5,True
1789124776681,0.7221,1540.5,False
1789124776757,0.7222,20.0,False
1789124779082,0.7222,58.0,False
1789124779499,0.7221,68.7,True
1789124779714,0.7221,8351.2,True
1789124779718,0.722,1612.7,True
1789124779753,0.7219,147.2,True
1789124779862,0.722,270.7,False
1789124780401,0.722,6147.6,False
1789124780806,0.722,51.7,False
1789124780920,0.7219,8.2,True
1789124782001,0.7219,34.4,True
1789124782406,0.7219,5867.2,True
1789124782510,0.7218,19947.1,True
1789124782527,0.7217,3263.5,True
1789124783493,0.7217,3127.1,False
1789124784000,0.7217,7.0,False
1789124784018,0.7216,2856.7,True
1789124786129,0.7216,3085.5,True
1789124786490,0.7217,100.0,False
1789124787232,0.7217,4265.7,False
1789124787237,0.7218,2206.4,False
1789124787341,0.7219,6487.1,False
1789124787680,0.7218,115.8,True
1789124788180,0.7219,1102.4,False
1789124788868,0.722,50.0,False
1789124789857,0.722,13975.6,False
1789124790236,0.7219,19.5,True
1789124790445,0.722,553.1,False
1789124792000,0.722,20.3,False
1789124792989,0.7219,2596.0,True
1789124794939,0.722,33.8,False
1789124795144,0.7219,111.7,True
1789124795660,0.7219,11.1,True
1789124796405,0.7219,3206.7,True
1789124796694,0.7218,90.3,True
1789124796957,0.7219,17.2,False
1789124797223,0.7218,1364.0,True
1789124797435,0.7217,1133.9,True
