open_time,close_time,symbol,side,lots,open_price,close_price,pnl
2026-01-02 18:51:10,2026-01-02 18:55:50,NASDAQ,SELL,0.01,25780.00,25741.75,38.25
2026-01-06 19:33:13,2026-01-06 19:36:16,NASDAQ,SELL,0.01,25757.50,25752.75,4.75
2026-01-16 19:45:05,2026-01-16 19:45:31,NASDAQ,SELL,0.02,25624.50,25617.50,14.00
2026-01-19 18:54:21,2026-01-19 19:07:17,NASDAQ,BUY,0.01,25280.00,25328.00,48.00
2026-01-21 18:52:45,2026-01-21 18:53:26,NASDAQ,BUY,0.03,25270.75,25284.50,41.25
2026-01-26 19:19:54,2026-01-26 19:20:51,NASDAQ,BUY,0.02,25871.00,25876.00,10.00
2026-02-04 17:54:41,2026-02-04 17:54:51,NASDAQ,BUY,0.03,25367.75,25360.25,-24.00
2026-02-11 19:14:14,2026-02-11 19:14:34,NASDAQ,BUY,0.03,25159.50,25173.50,40.50
2026-03-04 01:02:10,2026-03-04 01:02:29,NASDAQ,SELL,0.05,24752.25,24744.25,37.50
2026-03-06 15:54:33,2026-03-06 15:55:20,NASDAQ,SELL,0.01,24880.75,24865.25,15.00
2026-03-16 21:04:28,2026-03-16 21:15:15,NASDAQ,BUY,0.04,24691.25,24707.50,63.00
2026-07-01 20:39:33,2026-07-01 20:40:03,NASDAQ,SELL,0.10,30305.75,30299.25,60.00
2026-07-01 20:40:20,2026-07-01 20:41:11,NASDAQ,SELL,0.10,30305.25,30290.00,147.50
2026-07-10 14:11:46,2026-07-10 14:13:25,NASDAQ,BUY,0.20,29786.25,29790.50,75.00
2026-07-10 21:18:29,2026-07-10 21:20:13,NASDAQ,BUY,0.10,30005.00,30012.00,65.00
2026-07-24 23:57:02,2026-07-24 23:57:58,NASDAQ,SELL,0.20,28323.75,28317.50,115.00
2026-08-07 21:59:59,2026-08-07 22:02:28,NASDAQ,BUY,0.15,29742.50,29751.25,123.75
2026-08-07 22:03:15,2026-08-07 22:04:39,NASDAQ,SELL,0.15,29752.25,29745.25,97.50
2026-08-11 03:30:21,2026-08-11 03:34:05,NASDAQ,SELL,0.15,29748.75,29730.00,273.75
2026-09-14 23:14:37,2026-09-15 00:02:32,NASDAQ,BUY,0.15,29284.00,29252.25,-483.75
2026-09-14 23:30:13,2026-09-14 23:34:38,NASDAQ,BUY,0.20,29267.00,29272.25,95.00
2026-09-14 23:38:07,2026-09-14 23:45:16,NASDAQ,SELL,0.20,29275.75,29273.25,40.00
2026-09-14 23:46:11,2026-09-14 23:48:24,NASDAQ,SELL,0.20,29274.75,29266.00,165.00
2026-09-14 23:49:02,2026-09-14 23:58:01,NASDAQ,SELL,0.25,29271.25,29264.50,156.25
2026-09-15 00:00:16,2026-09-15 00:02:03,NASDAQ,SELL,0.25,29259.75,29251.00,206.25
2026-09-15 00:02:30,2026-09-15 00:08:21,NASDAQ,SELL,0.25,29251.25,29234.00,418.75
